Point in Time[s],State of Active Resource[]
0.11,1
1.6144540146823094,2
2.11,2
2.6055459853176908,1
3.5461308002588168,2
4.11,2
4.673869199741183,1
7.11,0
7.80150402251782,1
8.828677576671392,2
10.80150402251782,2
10.828677576671392,1
11.80150402251782,0
12.763783471961236,1
13.763783471961236,0
18.477115604199355,1
19.725060220937003,2
20.477115604199355,2
21.229170987461707,1
21.24175842368419,2
21.477115604199355,2
21.71247278471452,1
23.04404708470756,2
23.477115604199355,2
23.91018412369115,1
26.477115604199355,0
28.629409500701637,1
29.067377582914737,2
29.363738322613226,3
30.629409500701637,3
31.942330803008343,4
32.03252789872671,5
32.19144141848854,5
32.94099197356634,6
33.02363693484682,7
33.60529296642619,7
33.74217884018269,8
33.846326399402535,9
34.159613687565475,9
34.69138513477517,9
35.041463767016936,9
35.37776823904528,9
35.61142386745423,9
35.83206105096069,8
37.12894476050739,9
41.14162527473387,9
41.643210339012185,8
42.1235141460444,9
44.8041558021777,10
45.55953893254597,11
45.62953893254597,12
45.6305298247857,12
46.06890678462836,12
46.20943467156732,12
46.27442424546946,12
46.333050183007956,11
47.079792267674044,12
47.57161175557784,13
49.09762189403692,14
49.36748398672535,14
49.57545596118456,14
49.74244297831845,14
49.792044600186266,13
49.89229015660528,12
51.05680180378325,13
51.57792023502481,13
51.62134677096161,12
52.5310114186935,13
53.13632294212569,14
53.78369780530616,14
53.88808833752388,14
53.945916444862206,13
54.11515622859446,12
56.98634090429766,13
57.92825310816642,13
58.006745791822155,12
58.083109428185786,11
62.09529372117596,10
63.91222187085522,9
64.02051411539114,8
64.51475143120985,7
68.05858965853236,6
69.9349445087623,5
72.31447595881193,4
72.32629344128753,3
72.97170512961259,4
73.07448890626203,4
73.10875016514518,3
73.46090635094343,2
74.10120595875831,1
75.62940950070164,0
99.3554042988746,1
102.3554042988746,0
110.49156627816652,1
111.49156627816652,0
111.8090420421942,1
112.8090420421942,0
113.23138228026751,1
115.23138228026751,0
127.14582543602121,1
129.1458254360212,0
134.71117177245893,1
136.71117177245893,0
140.9407465559171,1
143.9407465559171,0
151.89672131544685,1
153.89672131544685,0
160.9746286864279,1
162.9746286864279,0
178.70982121979728,1
181.70982121979728,0
278.29630993237896,1
281.29630993237896,0
298.5852622175561,1
299.5852622175561,0
310.5274024792793,1
312.5274024792793,0
316.4543222927739,1
319.4543222927739,0
343.72766457107076,1
346.72766457107076,0
356.33132706965677,1
358.33132706965677,0
367.48835185851266,1
370.48835185851266,0
394.69541776872495,1
395.69541776872495,0
404.58900705359645,1
407.58900705359645,0
409.8582517781114,1
410.8582517781114,0
415.0983662081538,1
417.0983662081538,0
471.85960587924677,1
474.85960587924677,0
493.00115715600793,1
494.00115715600793,0
502.42638539774515,1
504.42638539774515,0
517.6660442518368,1
520.3171572128376,2
520.6660442518368,2
521.0149312908359,1
521.6660442518368,0
543.827648960363,1
545.827648960363,0
570.1558067862563,1
571.1558067862563,0
572.7163074010122,1
573.7163074010122,0
