Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
1.5594540146823095,1
1.5994540146823095,0
3.4911308002588166,1
3.5311308002588166,0
7.74650402251782,1
7.78650402251782,0
8.773677576671393,1
8.813677576671392,0
12.708783471961237,1
12.748783471961236,0
18.422115604199355,1
18.462115604199354,0
19.670060220937003,1
19.710060220937002,0
21.18675842368419,1
21.22675842368419,0
22.98904708470756,1
23.02904708470756,0
28.574409500701638,1
28.614409500701637,0
29.012377582914738,1
29.052377582914737,0
29.308738322613227,1
29.348738322613226,0
31.887330803008343,1
31.927330803008342,0
31.977527898726713,1
32.01752789872671,0
32.88599197356634,1
32.92599197356634,0
32.96863693484682,1
33.00863693484682,0
33.68717884018269,1
33.72717884018269,0
33.791326399402536,1
33.831326399402535,0
37.07394476050739,1
37.11394476050739,0
42.0685141460444,1
42.1085141460444,0
44.749155802177704,1
44.7891558021777,0
45.50453893254597,1
45.54453893254597,0
45.57453893254597,1
45.61453893254597,0
47.024792267674044,1
47.064792267674044,0
47.51661175557784,1
47.55661175557784,0
49.04262189403692,1
49.08262189403692,0
51.00180180378325,1
51.04180180378325,0
52.4760114186935,1
52.5160114186935,0
53.08132294212569,1
53.12132294212569,0
56.93134090429766,1
56.97134090429766,0
64.25362879625094,1
64.29362879625094,0
72.91670512961258,1
72.95670512961259,0
73.59957070258093,1
73.63957070258094,0
74.30507022209973,1
74.34507022209974,0
74.44159546233799,1
74.48159546233799,0
74.90676186334444,1
74.94676186334445,0
76.83391423733865,1
76.87391423733865,0
77.31190473323781,1
77.35190473323782,0
78.90139743579954,1
78.94139743579954,0
86.806625729411,1
86.846625729411,0
90.39336944602599,1
90.43336944602599,0
90.83080367051618,1
90.87080367051618,0
93.83892297476466,1
93.87892297476466,0
99.3004042988746,1
99.3404042988746,0
99.68523055675806,1
99.72523055675806,0
100.74421266714725,1
100.78421266714726,0
101.62418713049676,1
101.66418713049677,0
101.9042693150226,1
101.94426931502261,0
105.43979631714434,1
105.47979631714435,0
110.43656627816651,1
110.47656627816652,0
111.7540420421942,1
111.7940420421942,0
113.1763822802675,1
113.21638228026751,0
114.31125785776429,1
114.3512578577643,0
118.27186836398212,1
118.31186836398213,0
121.56416217593384,1
121.60416217593385,0
122.09209879480905,1
122.13209879480905,0
123.96232357558183,1
124.00232357558184,0
127.0908254360212,1
127.13082543602121,0
129.19082543602116,1
129.23082543602115,0
130.69190873476998,1
130.73190873476997,0
134.65617177245895,1
134.69617177245894,0
136.61801068510695,1
136.65801068510694,0
137.32709697676853,1
137.36709697676852,0
139.03546381718917,1
139.07546381718916,0
140.8457465559171,1
140.86074655591707,2
140.88574655591708,2
140.91074655591711,1
140.9257465559171,0
141.21585677340042,1
141.2558567734004,0
141.83850086123496,1
141.87850086123495,0
144.44532406933743,1
144.48532406933742,0
150.64733390138966,1
150.68733390138965,0
151.17551968364202,1
151.21551968364201,0
151.84172131544688,1
151.88172131544687,0
152.55769013748224,1
152.59769013748223,0
154.0116522416236,1
154.0516522416236,0
159.6931663077128,1
159.7331663077128,0
160.91962868642793,1
160.95962868642792,0
166.13523772037726,1
166.17523772037725,0
166.57377156213036,1
166.61377156213035,0
168.72855358803966,1
168.76855358803965,0
171.02129099109504,1
171.06129099109503,0
172.4994615868228,1
172.5394615868228,0
172.84006386538607,1
172.88006386538606,0
178.6548212197973,1
178.6948212197973,0
182.5298223405581,1
182.5698223405581,0
183.3982617525533,1
183.4382617525533,0
186.64848014043713,1
186.68848014043712,0
189.03553666472519,1
189.07553666472518,0
193.5877079671584,1
193.6277079671584,0
197.10509262691667,1
197.14509262691666,0
197.368472426594,1
197.408472426594,0
197.80428378874336,1
197.84428378874335,0
202.1198198944676,1
202.1598198944676,0
212.75683773986782,1
212.7968377398678,0
214.60208763569744,1
214.64208763569744,0
