Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
1.5044540146823095,1
1.5444540146823096,0
3.4361308002588165,1
3.4761308002588165,0
7.691504022517821,1
7.731504022517821,0
8.718677576671393,1
8.758677576671392,0
12.653783471961237,1
12.693783471961236,0
18.367115604199356,1
18.407115604199355,0
19.615060220937004,1
19.655060220937003,0
21.13175842368419,1
21.17175842368419,0
22.93404708470756,1
22.97404708470756,0
28.519409500701638,1
28.559409500701637,0
28.957377582914738,1
28.997377582914737,0
29.253738322613227,1
29.293738322613226,0
31.832330803008343,1
31.872330803008342,0
31.922527898726713,1
31.962527898726712,0
32.83099197356634,1
32.87099197356634,0
32.91363693484682,1
32.95363693484682,0
33.63217884018269,1
33.67217884018269,0
33.736326399402536,1
33.776326399402535,0
37.01894476050739,1
37.05894476050739,0
42.0135141460444,1
42.0535141460444,0
44.694155802177704,1
44.7341558021777,0
45.44953893254597,1
45.48953893254597,0
45.51679114815762,1
45.55679114815762,0
46.969792267674045,1
47.009792267674044,0
47.46161175557784,1
47.50161175557784,0
48.98762189403692,1
49.02762189403692,0
50.94680180378325,1
50.98680180378325,0
52.4210114186935,1
52.4610114186935,0
53.02632294212569,1
53.06632294212569,0
56.87634090429766,1
56.91634090429766,0
64.19862879625093,1
64.23862879625094,0
72.86170512961257,1
72.90170512961258,0
73.54457070258093,1
73.58457070258093,0
74.25007022209972,1
74.29007022209973,0
74.38659546233798,1
74.42659546233799,0
74.85176186334444,1
74.89176186334444,0
76.77891423733864,1
76.81891423733865,0
77.2569047332378,1
77.29690473323781,0
78.84639743579953,1
78.88639743579954,0
86.75162572941099,1
86.791625729411,0
90.33836944602598,1
90.37836944602599,0
90.77580367051617,1
90.81580367051617,0
93.78392297476465,1
93.82392297476466,0
99.24540429887459,1
99.2854042988746,0
99.63023055675805,1
99.67023055675806,0
100.68921266714725,1
100.72921266714725,0
101.56918713049676,1
101.60918713049676,0
101.8492693150226,1
101.8892693150226,0
105.38479631714434,1
105.42479631714434,0
110.3815662781665,1
110.42156627816651,0
111.6990420421942,1
111.7390420421942,0
113.1213822802675,1
113.1613822802675,0
114.25625785776428,1
114.29625785776429,0
118.21686836398212,1
118.25686836398212,0
121.50916217593384,1
121.54916217593384,0
122.03709879480904,1
122.07709879480905,0
123.90732357558183,1
123.94732357558183,0
127.0358254360212,1
127.0758254360212,0
129.128114167082,1
129.168114167082,0
130.63690873477,1
130.67690873477,0
134.60117177245897,1
134.64117177245896,0
136.56301068510697,1
136.60301068510697,0
137.27209697676855,1
