Point in Time[s],State of Active Resource[]
0.11,1
0.5169042798574586,2
1.1086652922092772,3
1.11,3
1.7030957201425414,3
1.7306367650352288,4
1.7706367650352288,5
2.0003109341091734,5
2.0902023238004883,5
2.1700937134918035,4
3.797710832921638,3
5.337323824275318,2
6.902676175724682,1
8.11,0
12.389267556106944,1
14.389267556106944,0
19.840278840369066,1
20.625019729982675,2
22.840278840369066,2
23.791314381343213,3
25.055537950755458,3
25.68764973546158,2
26.423426166049335,1
26.840278840369066,0
27.948905926401444,1
28.494439094449998,2
29.948905926401444,2
31.27514092886112,3
31.40337275835289,3
31.467488673098778,2
33.339256843607004,1
33.948905926401444,0
34.26277782379374,1
35.773129654944356,2
37.26277782379374,2
37.302179935443085,3
37.773129654944356,3
38.008604514694994,2
38.64604329331683,3
38.987900852393764,3
39.15882963193223,2
39.70858357473219,1
40.26277782379374,0
40.4571917651708,1
40.83081314107117,2
41.10965205072496,3
41.4571917651708,3
42.08357038927043,3
42.57052955854316,2
43.217768957410314,3
43.3177723103439,3
43.36777398681069,2
43.64661289646448,1
45.25024169913811,2
45.45719176517079,2
45.66414183120348,1
46.45719176517079,0
46.55719176517079,1
46.84743244010251,2
48.20231860931478,3
48.51774068919088,4
48.55719176517079,4
49.066757645196596,5
49.38686655600451,6
49.57933476022682,7
50.266951090239075,7
51.29926733070123,7
52.226442877871335,7
53.01636418604002,7
53.375080416100104,8
53.74226371204713,8
54.436085204017175,8
54.58765731657676,7
56.50636063452704,6
56.603201840159954,5
58.60743075325543,6
59.530523968821235,7
59.990417263190636,7
60.267014565177675,7
60.389762997903745,6
61.020607157655945,5
61.70687835266309,4
64.2602751350995,3
65.56270567271486,4
65.6335269968681,4
65.65713410491918,3
66.81185795348176,2
67.1195556920037,1
67.55719176517078,0
68.2916610440678,1
69.2916610440678,0
70.09020739178126,1
71.09020739178126,0
79.48596918656831,1
80.48596918656831,0
89.81199786385426,1
92.81199786385426,0
93.53784916276024,1
94.53784916276024,0
96.282790610213,1
97.42073771084256,2
98.282790610213,2
99.14484350958344,1
100.282790610213,0
111.12626424499767,1
112.11085971000877,2
112.12626424499767,2
112.14166877998657,1
113.12626424499767,0
113.93133231759181,1
115.93133231759181,0
136.00818029699064,1
138.00818029699064,0
141.52105305627862,1
142.52105305627862,0
155.05614976539587,1
157.05614976539587,0
181.79208526323856,1
182.79208526323856,0
193.96577785986,1
196.96577785986,0
216.74063135978673,1
217.74063135978673,0
223.44907019414052,1
226.44907019414052,0
230.87690183074,1
231.87690183074,0
242.19565335097545,1
244.19565335097545,0
250.50194274417657,1
253.50194274417657,0
254.93486140914456,1
256.93486140914456,0
266.7416430524135,1
268.7416430524135,0
279.34760810247604,1
280.34760810247604,0
299.2507633717577,1
302.2507633717577,0
305.33612726386093,1
306.33612726386093,0
318.26373244107714,1
320.26373244107714,0
327.93377663910314,1
329.93377663910314,0
343.03824809698676,1
346.03824809698676,0
346.211003552793,1
349.211003552793,0
375.4598155492687,1
376.4598155492687,0
383.6769924590369,1
384.6769924590369,0
388.19077012287795,1
390.19077012287795,0
440.19581025355535,1
442.19581025355535,0
453.77993086630806,1
454.77993086630806,0
458.4121785555668,1
459.4121785555668,0
465.32824607112116,1
466.32824607112116,0
525.7235855433964,1
526.7235855433964,0
527.5024843285656,1
530.5024843285656,0
565.8599834521441,1
567.8599834521441,0
568.5153760753008,1
570.5153760753008,0
584.2373514349192,1
585.2373514349192,0
