Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.4619042798574586,1
0.5019042798574586,0
1.0536652922092773,1
1.0936652922092773,0
1.6727421096993442,1
1.7127421096993443,0
1.7156367650352289,1
1.755636765035229,0
12.334267556106944,1
12.374267556106943,0
19.785278840369067,1
19.825278840369066,0
20.570019729982675,1
20.610019729982675,0
23.736314381343213,1
23.776314381343212,0
27.893905926401445,1
27.933905926401444,0
28.439439094449998,1
28.479439094449997,0
31.22014092886112,1
31.26014092886112,0
34.20777782379374,1
34.24777782379374,0
35.718129654944356,1
35.758129654944355,0
37.247179935443086,1
37.287179935443085,0
38.59104329331683,1
38.63104329331683,0
40.4021917651708,1
40.4421917651708,0
40.77581314107117,1
40.81581314107117,0
41.05465205072496,1
41.09465205072496,0
43.162768957410314,1
43.20276895741031,0
45.19524169913811,1
45.23524169913811,0
46.50219176517079,1
46.54219176517079,0
46.79243244010251,1
46.83243244010251,0
48.14731860931478,1
48.18731860931478,0
48.46274068919088,1
48.50274068919088,0
49.011757645196596,1
49.051757645196595,0
49.33186655600451,1
49.37186655600451,0
49.52433476022682,1
49.56433476022682,0
53.320080416100105,1
53.360080416100104,0
58.55243075325543,1
58.59243075325543,0
59.475523968821236,1
59.515523968821235,0
63.18089494145426,1
63.22089494145426,0
65.50770567271485,1
65.54770567271486,0
68.23666104406779,1
68.2766610440678,0
70.03520739178126,1
70.07520739178126,0
70.71734052490528,1
70.75734052490529,0
72.68971099834252,1
72.72971099834253,0
79.4309691865683,1
79.47096918656831,0
81.67013664599031,1
81.71013664599032,0
81.85765512671149,1
81.8976551267115,0
87.69400019564586,1
87.73400019564586,0
89.37430224110722,1
89.41430224110722,0
89.75699786385425,1
89.79699786385426,0
92.38072468432489,1
92.4207246843249,0
93.06774617451396,1
93.10774617451396,0
93.48284916276023,1
93.52284916276024,0
96.22779061021299,1
96.267790610213,0
97.36573771084255,1
97.40573771084256,0
110.95128607310342,1
110.99128607310342,0
111.07126424499766,1
111.11126424499767,0
112.05585971000876,1
112.09585971000877,0
113.35371058468543,1
113.39371058468544,0
113.8763323175918,1
113.91633231759181,0
116.05128607310343,1
116.09128607310343,0
116.62512261825633,1
116.66512261825633,0
119.49625205519807,1
119.53625205519808,0
124.52671387673391,1
124.56671387673391,0
124.63216876156295,1
124.67216876156296,0
126.54289646619249,1
126.5828964661925,0
131.3448362237621,1
131.38483622376208,0
134.6701840232664,1
134.71018402326638,0
135.95318029699067,1
135.99318029699066,0
136.89039395563466,1
136.93039395563466,0
138.35164157967014,1
138.39164157967014,0
138.62477157469178,1
138.66477157469177,0
139.4366415796701,1
139.4766415796701,0
139.77018402326632,1
139.81018402326632,0
141.19945557138152,1
141.2394555713815,0
141.46605305627864,1
141.50605305627863,0
147.86954258880328,1
147.90954258880328,0
151.70436091363533,1
151.74436091363532,0
155.0011497653959,1
155.0411497653959,0
160.3162553526365,1
160.35625535263648,0
161.5871463424441,1
161.6271463424441,0
162.4180832720371,1
162.4580832720371,0
166.9835443377895,1
167.0235443377895,0
167.22227507018306,1
167.26227507018305,0
167.60893542544315,1
167.64893542544314,0
170.4897974551566,1
170.5297974551566,0
170.85886335236614,1
170.89886335236613,0
173.3884696064891,1
173.4284696064891,0
174.02037456196655,1
174.06037456196654,0
175.06123886181908,1
175.10123886181907,0
177.56512928492498,1
177.60512928492497,0
178.24606795623524,1
178.28606795623523,0
181.73708526323858,1
181.77708526323858,0
182.07855177157276,1
182.11855177157275,0
183.29523721882603,1
183.33523721882602,0
183.45955620181567,1
183.49955620181566,0
183.57050707899685,1
183.61050707899685,0
185.14910224960997,1
185.18910224960996,0
187.3465252240618,1
187.38652522406178,0
188.73108399168592,1
188.7710839916859,0
189.4433871747231,1
189.4833871747231,0
189.57802174896725,1
189.61802174896724,0
190.0730679272206,1
