Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.4069042798574586,1
0.44690427985745856,0
0.9986652922092775,1
1.0386652922092774,0
1.6177421096993443,1
1.6577421096993443,0
1.660636765035229,1
1.700636765035229,0
12.279267556106944,1
12.319267556106944,0
19.730278840369067,1
19.770278840369066,0
20.515019729982676,1
20.555019729982675,0
23.681314381343213,1
23.721314381343213,0
27.838905926401445,1
27.878905926401444,0
28.38443909445,1
28.424439094449998,0
31.16514092886112,1
31.20514092886112,0
34.15277782379374,1
34.19277782379374,0
35.663129654944356,1
35.703129654944355,0
37.192179935443086,1
37.232179935443085,0
38.53604329331683,1
38.57604329331683,0
40.3471917651708,1
40.3871917651708,0
40.72081314107117,1
40.76081314107117,0
40.99965205072496,1
41.03965205072496,0
43.107768957410315,1
43.147768957410314,0
45.14024169913811,1
45.18024169913811,0
46.438626778375365,1
46.478626778375364,0
46.73743244010251,1
46.77743244010251,0
48.09231860931478,1
48.13231860931478,0
48.40774068919088,1
48.44774068919088,0
48.956757645196596,1
48.996757645196595,0
49.276866556004514,1
49.31686655600451,0
49.46933476022682,1
49.50933476022682,0
53.265080416100105,1
53.305080416100104,0
58.49743075325543,1
58.53743075325543,0
59.420523968821236,1
59.460523968821235,0
63.12589494145426,1
63.16589494145426,0
65.45270567271484,1
65.49270567271485,0
68.18166104406778,1
68.22166104406779,0
69.98020739178125,1
70.02020739178126,0
70.66234052490528,1
70.70234052490528,0
72.63471099834251,1
72.67471099834252,0
79.3759691865683,1
79.4159691865683,0
81.6151366459903,1
81.65513664599031,0
81.80265512671149,1
81.84265512671149,0
87.63900019564585,1
87.67900019564586,0
89.31930224110721,1
89.35930224110722,0
89.70199786385425,1
89.74199786385425,0
92.32572468432488,1
92.36572468432489,0
93.01274617451395,1
93.05274617451396,0
93.42784916276022,1
93.46784916276023,0
96.17279061021299,1
96.21279061021299,0
97.31073771084255,1
97.35073771084255,0
110.89628607310341,1
110.93628607310342,0
111.01626424499766,1
111.05626424499766,0
112.00085971000875,1
112.04085971000876,0
113.29871058468542,1
113.33871058468543,0
113.8213323175918,1
113.8613323175918,0
115.9932376090789,1
116.03323760907891,0
116.57012261825632,1
116.61012261825633,0
119.44125205519806,1
119.48125205519807,0
124.4717138767339,1
124.51171387673391,0
124.57716876156294,1
124.61716876156295,0
126.48789646619248,1
126.52789646619249,0
131.2898362237621,1
131.3298362237621,0
134.6151840232664,1
134.6551840232664,0
135.8981802969907,1
135.93818029699068,0
136.8353939556347,1
136.87539395563468,0
138.29664157967017,1
