Point in Time[s],State of Active Resource[]
0.11,1
2.11,0
5.539645915663384,1
6.539645915663384,0
7.123495227334062,1
8.123495227334061,0
8.80568423345112,1
9.80568423345112,0
10.074538922743463,1
11.471397956125141,2
12.670676562923207,3
13.074538922743463,3
13.933104926941105,4
14.339614434677145,5
14.677679889361784,5
15.565902188430732,6
15.681181552581073,6
16.263873761127726,6
16.74493859274037,6
16.980745873602302,5
17.24793885525561,6
18.965041040510695,6
19.308461477561714,5
19.88538411207235,6
19.91884215259009,6
19.92553376069364,5
20.7529277493055,6
21.151821514447224,6
21.23160026747557,5
22.39312835568877,4
22.66602249551281,5
25.14479087300483,5
25.764482967377834,4
26.239085872050506,5
27.186310205439604,6
27.285714589885814,6
27.547371769344643,6
27.619584082125648,5
29.38251368070876,4
29.762256756030613,3
31.38584186417118,2
32.88509405606565,1
34.074538922743464,0
36.72190681344121,1
38.68324555642607,2
38.9112723954642,3
39.72190681344121,3
40.760568070456344,3
41.68521590795241,2
41.83592023296027,1
42.0158835559573,2
42.72190681344121,2
43.42793007092511,1
44.86522259849549,2
45.479226913547464,3
45.72190681344121,3
46.57859102838692,3
46.66856234969704,4
47.12827308580664,4
47.28150999784318,3
47.71145735300604,2
48.52983649113353,3
50.497265607954816,4
52.32546166805801,4
54.223274256520256,4
55.4652771393754,3
56.65461257552498,2
56.75461257552498,3
57.3777165190483,3
57.689268490809965,2
57.79349046498162,3
58.37764907959577,3
58.66972838690285,2
59.35824385459372,1
60.869558997593465,2
61.72190681344121,2
62.57425462928895,1
62.72190681344121,0
63.863893706347454,1
65.86389370634745,0
70.29301518783544,1
73.29301518783544,0
74.07795194915973,1
74.80052688412115,2
75.87958298858165,3
77.07795194915973,3
78.19896702607994,4
78.27012487928039,5
78.80052688412115,5
80.2609988318909,5
80.26133549293385,6
80.94834276716124,6
81.61789723913144,6
81.88920958837096,5
83.27633491356382,4
83.48841676552868,3
84.11566433813006,2
86.08618557338139,3
86.49398353519052,3
86.6978825160951,2
86.82039889134454,3
87.8658193440335,3
88.38852957037797,2
90.81279478063044,1
91.07795194915973,0
100.3201319800639,1
101.3201319800639,0
111.09041045269018,1
114.0789076322797,2
114.09041045269018,2
114.10191327310066,1
117.09041045269018,0
121.38032826085268,1
124.38032826085268,0
130.16965663726208,1
132.59665121919699,2
133.16965663726208,2
133.74266205532717,1
135.16965663726208,0
138.6881243614612,1
139.61623729694136,2
141.61623729694136,1
141.6881243614612,1
142.6881243614612,0
147.02446059463978,1
149.02446059463978,0
157.67876081971542,1
159.67876081971542,0
181.16108923195873,1
182.16108923195873,0
187.8215118296912,1
189.8215118296912,0
211.60891620496363,1
214.60891620496363,0
222.44542645886392,1
225.44542645886392,0
265.54546798045345,1
268.54546798045345,0
277.8379339473146,1
279.8379339473146,0
282.5137805899226,1
283.5137805899226,0
305.2511924759746,1
306.2511924759746,0
310.9214037469562,1
311.9214037469562,0
345.1967282514334,1
348.1967282514334,0
372.4381246382088,1
375.4381246382088,0
375.63114056805057,1
376.63114056805057,0
418.8106671838814,1
420.8106671838814,0
438.31869778477136,1
439.31869778477136,0
459.72182857170736,1
462.72182857170736,0
484.8172877967334,1
485.8172877967334,0
504.35171673073825,1
506.35171673073825,0
510.9663221295996,1
513.9663221295996,0
