Point in Time[s],Utilization of Active Resource[]
0.11,1.0
2.11,0.0
5.539645915663384,1.0
6.539645915663384,0.0
7.123495227334062,1.0
8.123495227334061,0.0
8.80568423345112,1.0
9.80568423345112,0.0
10.074538922743463,1.0
11.471397956125141,1.0
12.670676562923207,1.0
13.074538922743463,1.0
13.933104926941105,1.0
14.339614434677145,1.0
14.677679889361784,1.0
15.565902188430732,1.0
15.681181552581073,1.0
16.263873761127726,1.0
16.74493859274037,1.0
16.980745873602302,1.0
17.24793885525561,1.0
18.965041040510695,1.0
19.308461477561714,1.0
19.88538411207235,1.0
19.91884215259009,1.0
19.92553376069364,1.0
20.7529277493055,1.0
21.151821514447224,1.0
21.23160026747557,1.0
22.39312835568877,1.0
22.66602249551281,1.0
25.14479087300483,1.0
25.764482967377834,1.0
26.239085872050506,1.0
27.186310205439604,1.0
27.285714589885814,1.0
27.547371769344643,1.0
27.619584082125648,1.0
29.38251368070876,1.0
29.762256756030613,1.0
31.38584186417118,1.0
32.88509405606565,1.0
34.074538922743464,0.0
36.72190681344121,1.0
38.68324555642607,1.0
38.9112723954642,1.0
39.72190681344121,1.0
40.760568070456344,1.0
41.68521590795241,1.0
41.83592023296027,1.0
42.0158835559573,1.0
42.72190681344121,1.0
43.42793007092511,1.0
44.86522259849549,1.0
45.479226913547464,1.0
45.72190681344121,1.0
46.57859102838692,1.0
46.66856234969704,1.0
47.12827308580664,1.0
47.28150999784318,1.0
47.71145735300604,1.0
48.52983649113353,1.0
50.497265607954816,1.0
52.32546166805801,1.0
54.223274256520256,1.0
55.4652771393754,1.0
56.65461257552498,1.0
56.75461257552498,1.0
57.3777165190483,1.0
57.689268490809965,1.0
57.79349046498162,1.0
58.37764907959577,1.0
58.66972838690285,1.0
59.35824385459372,1.0
60.869558997593465,1.0
61.72190681344121,1.0
62.57425462928895,1.0
62.72190681344121,0.0
63.863893706347454,1.0
65.86389370634745,0.0
70.29301518783544,1.0
73.29301518783544,0.0
74.07795194915973,1.0
74.80052688412115,1.0
75.87958298858165,1.0
77.07795194915973,1.0
78.19896702607994,1.0
78.27012487928039,1.0
78.80052688412115,1.0
80.2609988318909,1.0
80.26133549293385,1.0
80.94834276716124,1.0
81.61789723913144,1.0
81.88920958837096,1.0
83.27633491356382,1.0
83.48841676552868,1.0
84.11566433813006,1.0
86.08618557338139,1.0
86.49398353519052,1.0
86.6978825160951,1.0
86.82039889134454,1.0
87.8658193440335,1.0
88.38852957037797,1.0
90.81279478063044,1.0
91.07795194915973,0.0
100.3201319800639,1.0
101.3201319800639,0.0
111.09041045269018,1.0
114.0789076322797,1.0
114.09041045269018,1.0
114.10191327310066,1.0
117.09041045269018,0.0
121.38032826085268,1.0
124.38032826085268,0.0
130.16965663726208,1.0
132.59665121919699,1.0
133.16965663726208,1.0
133.74266205532717,1.0
135.16965663726208,0.0
138.6881243614612,1.0
139.61623729694136,1.0
141.61623729694136,1.0
141.6881243614612,1.0
142.6881243614612,0.0
147.02446059463978,1.0
149.02446059463978,0.0
157.67876081971542,1.0
159.67876081971542,0.0
181.16108923195873,1.0
182.16108923195873,0.0
187.8215118296912,1.0
189.8215118296912,0.0
211.60891620496363,1.0
214.60891620496363,0.0
222.44542645886392,1.0
225.44542645886392,0.0
265.54546798045345,1.0
268.54546798045345,0.0
277.8379339473146,1.0
279.8379339473146,0.0
282.5137805899226,1.0
283.5137805899226,0.0
305.2511924759746,1.0
306.2511924759746,0.0
310.9214037469562,1.0
311.9214037469562,0.0
345.1967282514334,1.0
348.1967282514334,0.0
372.4381246382088,1.0
375.4381246382088,0.0
375.63114056805057,1.0
376.63114056805057,0.0
418.8106671838814,1.0
420.8106671838814,0.0
438.31869778477136,1.0
439.31869778477136,0.0
459.72182857170736,1.0
462.72182857170736,0.0
484.8172877967334,1.0
485.8172877967334,0.0
504.35171673073825,1.0
506.35171673073825,0.0
510.9663221295996,1.0
513.9663221295996,0.0
