Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
5.484645915663385,1
5.524645915663385,0
7.068495227334062,1
7.108495227334062,0
8.75068423345112,1
8.790684233451119,0
10.019538922743463,1
10.059538922743462,0
11.416397956125142,1
11.45639795612514,0
12.615676562923207,1
12.655676562923206,0
13.878104926941106,1
13.918104926941105,0
14.284614434677145,1
14.324614434677144,0
15.510902188430732,1
15.550902188430731,0
17.192938855255612,1
17.23293885525561,0
19.830384112072352,1
19.87038411207235,0
20.6979277493055,1
20.7379277493055,0
22.61102249551281,1
22.65102249551281,0
26.184085872050506,1
26.224085872050505,0
27.131310205439604,1
27.171310205439603,0
36.66690681344121,1
36.70690681344121,0
38.62824555642607,1
38.66824555642607,0
38.8562723954642,1
38.8962723954642,0
41.9608835559573,1
42.0008835559573,0
44.81022259849549,1
44.85022259849549,0
45.424226913547464,1
45.46422691354746,0
46.61356234969704,1
46.65356234969704,0
48.47483649113353,1
48.51483649113353,0
50.442265607954816,1
50.482265607954815,0
56.69961257552498,1
56.73961257552498,0
57.73849046498162,1
57.77849046498162,0
60.814558997593466,1
60.854558997593465,0
63.539407467334385,1
63.579407467334384,0
63.808893706347455,1
63.848893706347454,0
66.44684992158248,1
66.48684992158249,0
70.23801518783543,1
70.27801518783544,0
71.83877638929208,1
71.87877638929209,0
74.02295194915972,1
74.06295194915973,0
74.74552688412115,1
74.78552688412115,0
75.82458298858164,1
75.86458298858165,0
78.14396702607993,1
78.18396702607994,0
78.21512487928038,1
78.25512487928039,0
79.1249012815031,1
79.1399012815031,2
79.1649012815031,2
79.1899012815031,1
79.2049012815031,0
80.20633549293385,1
80.24633549293385,0
83.94618557338137,1
83.98618557338138,0
84.238455992854,1
84.278455992854,0
86.03118557338138,1
86.07118557338138,0
86.76539889134453,1
86.80539889134454,0
88.4541324510797,1
88.49413245107971,0
90.99146853680108,1
91.03146853680109,0
92.53770250521674,1
92.57770250521675,0
93.55783084361096,1
93.59783084361096,0
97.17520735305105,1
97.21520735305106,0
99.27520735305106,1
99.31520735305106,0
100.2651319800639,1
100.3051319800639,0
100.35523734308008,1
100.39523734308008,0
102.17196252852092,1
102.21196252852093,0
103.70890299793487,1
103.74890299793488,0
106.38434631045686,1
106.42434631045687,0
109.98779369164924,1
110.02779369164925,0
111.03541045269017,1
111.07541045269018,0
112.4424306642543,1
112.48243066425431,0
114.02390763227969,1
114.0639076322797,0
117.18224719882832,1
117.22224719882833,0
117.51458815632104,1
117.55458815632105,0
117.91694969838319,1
117.9569496983832,0
118.2334717955447,1
118.27347179554471,0
120.92516626326477,1
120.96516626326478,0
121.04883721835007,1
121.08883721835008,0
121.32532826085267,1
121.36532826085268,0
122.42649767478088,1
122.46649767478088,0
123.79605374290959,1
123.8360537429096,0
125.3724531586288,1
125.41245315862881,0
125.93738285860103,1
125.97738285860103,0
127.24338161019004,1
127.28338161019005,0
128.61048975741238,1
128.65048975741237,0
130.1146566372621,1
130.1546566372621,0
130.74241145524476,1
130.78241145524476,0
132.541651219197,1
132.581651219197,0
133.28927853361992,1
133.3292785336199,0
133.61122651229155,1
133.65122651229154,0
137.6212412075832,1
137.6612412075832,0
138.36607157443837,1
138.40607157443836,0
138.63312436146123,1
138.67312436146122,0
139.3094915831104,1
139.3494915831104,0
139.56123729694139,1
139.60123729694138,0
140.17839329539152,1
140.2183932953915,0
142.29011729838106,1
142.33011729838105,0
146.5065044676358,1
146.5465044676358,0
146.9694605946398,1
147.0094605946398,0
154.24298165617327,1
154.28298165617326,0
154.64727032672232,1
154.6872703267223,0
157.38741903823401,1
157.427419038234,0
157.62154354494862,1
157.66154354494861,0
157.66376081971543,1
157.6995471333865,2
157.70376081971543,2
157.7079745060444,1
157.74376081971545,0
158.5059841062994,1
158.5459841062994,0
159.836614515604,1
159.876614515604,0
