Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
5.429645915663385,1
5.469645915663385,0
7.0134952273340625,1
7.0534952273340625,0
8.69568423345112,1
8.735684233451119,0
9.964538922743463,1
10.004538922743462,0
11.361397956125142,1
11.401397956125141,0
12.560676562923208,1
12.600676562923207,0
13.823104926941106,1
13.863104926941105,0
14.229614434677146,1
14.269614434677145,0
15.455902188430732,1
15.495902188430732,0
17.137938855255612,1
17.17793885525561,0
19.775384112072352,1
19.81538411207235,0
20.6429277493055,1
20.6829277493055,0
22.55602249551281,1
22.59602249551281,0
26.129085872050506,1
26.169085872050506,0
27.076310205439604,1
27.116310205439603,0
36.61190681344121,1
36.65190681344121,0
38.57324555642607,1
38.61324555642607,0
38.8012723954642,1
38.8412723954642,0
41.9058835559573,1
41.9458835559573,0
44.75522259849549,1
44.79522259849549,0
45.369226913547465,1
45.409226913547464,0
46.55856234969704,1
46.59856234969704,0
48.41983649113353,1
48.45983649113353,0
50.38726560795482,1
50.427265607954816,0
56.636746565415876,1
56.676746565415876,0
57.683490464981624,1
57.72349046498162,0
60.759558997593466,1
60.799558997593465,0
63.484407467334385,1
63.524407467334385,0
63.753893706347455,1
63.793893706347454,0
66.39184992158248,1
66.43184992158248,0
70.18301518783542,1
70.22301518783543,0
71.78377638929207,1
71.82377638929208,0
73.96795194915971,1
74.00795194915972,0
74.69052688412114,1
74.73052688412115,0
75.76958298858163,1
75.80958298858164,0
78.08896702607993,1
78.12896702607993,0
78.16012487928037,1
78.20012487928038,0
79.04140431924387,1
79.05290735698463,2
79.08140431924387,2
79.1099012815031,1
79.12140431924387,0
80.15133549293384,1
80.19133549293385,0
83.89118557338136,1
83.93118557338137,0
84.183455992854,1
84.223455992854,0
85.96578555871587,1
86.00578555871587,0
86.71039889134452,1
86.75039889134453,0
88.3991324510797,1
88.4391324510797,0
90.93646853680107,1
90.97646853680108,0
92.48270250521674,1
92.52270250521674,0
93.50283084361095,1
93.54283084361096,0
97.12020735305104,1
97.16020735305105,0
99.20708359062937,1
99.24708359062937,0
100.21013198006389,1
100.2501319800639,0
100.30023734308007,1
100.34023734308008,0
102.11696252852092,1
102.15696252852092,0
103.65390299793486,1
103.69390299793487,0
106.32934631045686,1
106.36934631045686,0
109.93279369164924,1
109.97279369164924,0
110.98041045269017,1
111.02041045269017,0
112.3874306642543,1
112.4274306642543,0
113.96890763227968,1
114.00890763227969,0
117.12724719882831,1
117.16724719882832,0
117.45958815632103,1
117.49958815632104,0
117.86194969838319,1
117.90194969838319,0
