Point in Time[s],State of Active Resource[]
429.5026950080907,1
432.5026950080907,0
441.9134839731859,1
443.9134839731859,0
481.178072718933,1
482.178072718933,0
489.39217977681534,1
490.39217977681534,0
512.0823733871304,1
514.0823733871304,0
521.2983478165341,1
522.2983478165341,0
527.2805716389191,1
528.4893453216707,2
529.2805716389191,2
530.0717979561675,1
532.2805716389191,0
563.1344507148923,1
564.1344507148923,0
566.1999468247099,1
569.1999468247099,0
572.7156995718334,1
573.7156995718334,0
577.9784661839146,1
579.9784661839146,0
586.7571172674653,1
589.7571172674653,0
