Point in Time[s],Utilization of Active Resource[]
429.5026950080907,1.0
432.5026950080907,0.0
441.9134839731859,1.0
443.9134839731859,0.0
481.178072718933,1.0
482.178072718933,0.0
489.39217977681534,1.0
490.39217977681534,0.0
512.0823733871304,1.0
514.0823733871304,0.0
521.2983478165341,1.0
522.2983478165341,0.0
527.2805716389191,1.0
528.4893453216707,1.0
529.2805716389191,1.0
530.0717979561675,1.0
532.2805716389191,0.0
563.1344507148923,1.0
564.1344507148923,0.0
566.1999468247099,1.0
569.1999468247099,0.0
572.7156995718334,1.0
573.7156995718334,0.0
577.9784661839146,1.0
579.9784661839146,0.0
586.7571172674653,1.0
589.7571172674653,0.0
