Point in Time[s],Utilization of Active Resource[]
0.11,1.0
0.9852505689317199,1.0
1.4153052622029079,1.0
1.6799531060230697,1.0
2.11,1.0
2.990550446522549,1.0
3.2347494310682805,1.0
3.718839632651025,1.0
4.144471515500967,1.0
4.965977651993599,1.0
5.005268498862844,1.0
5.459834453361362,1.0
5.808033417503428,1.0
5.941827570610192,1.0
6.290260128442558,1.0
7.470845917842942,1.0
8.341654302232092,1.0
11.139062651969608,1.0
11.947196405890784,1.0
12.016371588322196,1.0
12.586675047040476,1.0
13.117302640141524,1.0
13.239628312565895,1.0
13.347044115905614,1.0
14.143996566380908,1.0
15.568832921038696,1.0
16.05022046209308,1.0
16.067871066927584,1.0
16.35057338944724,1.0
16.571231071753875,1.0
16.662358176364346,1.0
16.71189876881741,1.0
16.821177635527288,1.0
18.596911452235254,1.0
18.74488927029425,1.0
19.205600768031132,1.0
20.59118404512614,1.0
20.79166860837484,1.0
20.923840928403486,1.0
20.94942991942482,1.0
22.410900949568063,1.0
24.574716903398844,1.0
25.74782573331808,1.0
25.8662821262877,1.0
26.00451225514501,1.0
26.106640494555446,1.0
26.122664385773298,1.0
26.166019894095584,1.0
27.34957018082896,1.0
28.332454698801104,1.0
28.685056089559563,1.0
28.78044794018318,1.0
28.810314156275318,1.0
29.249734145147862,1.0
29.29049033853369,1.0
30.5556831006901,1.0
31.025204340814337,1.0
35.02965096042449,1.0
35.70101647207261,1.0
35.762049700404255,1.0
37.58646727811616,1.0
39.181720971799905,1.0
39.32674403486207,1.0
39.925409108349086,1.0
41.99927945602906,1.0
42.78518932287544,1.0
43.850941033668704,1.0
44.207807572334126,1.0
44.39185158202621,1.0
44.51544098657627,1.0
45.90102426367128,1.0
47.0964835625247,1.0
47.40522817389235,1.0
47.59920753155906,1.0
49.06093586596684,1.0
49.22464022458702,1.0
49.364594997717376,1.0
49.49069410244297,1.0
49.900084273176745,1.0
50.5593320610631,1.0
52.30136434500968,1.0
52.388742822935775,1.0
52.43536682839019,1.0
52.43869711449407,1.0
53.42387285400269,1.0
53.65635926338716,1.0
54.733588978269665,1.0
54.81645280249139,1.0
57.20228014533328,1.0
58.816091755260196,1.0
60.61744998214094,1.0
60.68234588481838,1.0
60.950043249394156,1.0
61.10246835611801,1.0
61.13480291438315,1.0
61.71062638322474,1.0
61.755626383224744,1.0
65.07990321175178,1.0
65.31735155664657,1.0
67.93343032430845,1.0
68.21638864979381,1.0
68.41344272701446,1.0
69.80331681133455,1.0
69.92538820837616,1.0
70.03338431418771,1.0
70.87974878617612,1.0
72.41978007027328,1.0
74.74672597206632,1.0
74.92572181066578,1.0
75.37451435437013,1.0
75.48376695992134,1.0
75.49217100650219,1.0
75.66321972606107,1.0
75.82948774691826,1.0
78.02812495189143,1.0
78.08989013723085,1.0
79.82932591629235,1.0
82.19231880697025,1.0
82.9992246119337,1.0
83.27844408183132,1.0
83.92690292285724,1.0
84.03497939636156,1.0
84.2714668276035,1.0
85.38532390241967,1.0
85.93510463899234,1.0
86.04506078630688,1.0
91.61180867017218,1.0
91.66810983509237,1.0
92.52885380274476,1.0
93.48026246034121,1.0
94.11,0.0
99.13428401557357,1.0
101.13428401557357,0.0
107.97230019561991,1.0
108.10871265268554,1.0
109.97230019561991,1.0
111.83588773855428,1.0
112.97230019561991,0.0
117.90435087510951,1.0
119.90435087510951,0.0
123.21272306124078,1.0
124.21272306124078,0.0
161.52302574908947,1.0
163.52302574908947,0.0
180.57820249089346,1.0
182.57820249089346,0.0
187.9580628630043,1.0
189.9580628630043,0.0
191.04808687724767,1.0
193.04808687724767,0.0
206.64935579346164,1.0
208.64935579346164,0.0
216.51869187337664,1.0
217.51869187337664,0.0
223.7339329280133,1.0
224.7339329280133,0.0
289.28560478100616,1.0
290.28560478100616,0.0
294.04342534382783,1.0
296.04342534382783,0.0
296.24668829221997,1.0
299.24668829221997,0.0
303.03718419107037,1.0
304.03718419107037,0.0
311.71322170237164,1.0
314.71322170237164,0.0
316.4642374983775,1.0
317.4642374983775,0.0
335.7824476820809,1.0
337.7824476820809,0.0
340.16514273068884,1.0
343.0695830961252,1.0
343.16514273068884,1.0
343.2607023652525,1.0
344.16514273068884,0.0
344.97527089012107,1.0
346.97527089012107,0.0
350.7514169814591,1.0
351.7514169814591,0.0
359.17348676966606,1.0
361.17348676966606,0.0
361.2303072368153,1.0
363.2303072368153,0.0
384.6261052522789,1.0
387.6261052522789,0.0
394.9469281923994,1.0
395.3451107643321,1.0
395.9469281923994,1.0
396.3317713102252,1.0
396.5487456204667,1.0
396.6572327755875,1.0
398.44025846534595,1.0
398.9469281923994,0.0
401.49175098538797,1.0
401.6530185187787,1.0
402.49175098538797,1.0
403.3304834519972,1.0
403.49175098538797,0.0
417.5164402744159,1.0
419.5164402744159,0.0
443.77471038756676,1.0
444.77471038756676,0.0
524.2216371236354,1.0
526.2216371236354,0.0
593.8129332074748,1.0
594.8129332074748,0.0
