Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.9302505689317199,1
0.9702505689317199,0
1.360305262202908,1
1.400305262202908,0
1.6249531060230697,1
1.6649531060230698,0
2.935550446522549,1
2.975550446522549,0
3.6638396326510247,1
3.703839632651025,0
4.950268498862845,1
4.990268498862845,0
6.235260128442558,1
6.275260128442558,0
7.415845917842942,1
7.455845917842942,0
8.286654302232092,1
8.326654302232091,0
11.961371588322196,1
12.001371588322195,0
13.292044115905615,1
13.332044115905614,0
14.088996566380908,1
14.128996566380907,0
15.513832921038697,1
15.553832921038696,0
16.012871066927584,1
16.052871066927583,0
16.76617763552729,1
16.806177635527288,0
19.150600768031133,1
19.190600768031132,0
20.53618404512614,1
20.57618404512614,0
22.355900949568063,1
22.395900949568063,0
24.519716903398844,1
24.559716903398844,0
25.8112821262877,1
25.8512821262877,0
27.29457018082896,1
27.33457018082896,0
28.277454698801105,1
28.317454698801104,0
34.97465096042449,1
35.01465096042449,0
37.53146727811616,1
37.57146727811616,0
39.87040910834909,1
39.910409108349086,0
41.94427945602906,1
41.98427945602906,0
42.73018932287544,1
42.77018932287544,0
47.041483562524704,1
47.0814835625247,0
47.35022817389235,1
47.390228173892346,0
47.54420753155906,1
47.58420753155906,0
50.5043320610631,1
50.5443320610631,0
52.333742822935776,1
52.373742822935775,0
53.60135926338716,1
53.64135926338716,0
57.14728014533328,1
57.18728014533328,0
58.761091755260196,1
58.801091755260195,0
60.56244998214094,1
60.60244998214094,0
61.686399372860635,1
61.726399372860634,0
62.0760710645169,1
62.1160710645169,0
62.262296694883666,1
62.302296694883665,0
64.25883311934379,1
64.2988331193438,0
68.1613886497938,1
68.20138864979381,0
68.35844272701445,1
68.39844272701446,0
71.56555547326803,1
71.60555547326804,0
72.36478007027327,1
72.40478007027328,0
73.0639319626856,1
73.1039319626856,0
73.25012994302205,1
73.29012994302205,0
75.21844812149129,1
75.2584481214913,0
75.31951435437013,1
75.35951435437013,0
76.58292598443337,1
76.62292598443338,0
78.11989013723085,1
78.15989013723086,0
83.22344408183132,1
83.26344408183132,0
85.2434744537434,1
85.28347445374341,0
85.33032390241966,1
85.37032390241967,0
87.31144803531753,1
87.35144803531753,0
89.11704355663699,1
89.15704355663699,0
94.1184592965985,1
94.15845929659851,0
98.19982402666945,1
98.23982402666945,0
99.07928401557356,1
99.11928401557357,0
99.9388110697527,1
99.97881106975271,0
100.68833111814754,1
100.72833111814755,0
103.05659535773223,1
103.09659535773224,0
104.9326583288609,1
104.9726583288609,0
107.77567135615263,1
107.81567135615263,0
107.9173001956199,1
107.95730019561991,0
108.05371265268553,1
108.09371265268554,0
108.23936618233755,1
108.27936618233755,0
109.37696588775925,1
109.41696588775926,0
111.14074709509879,1
111.1807470950988,0
112.17541589680755,1
112.21541589680756,0
115.00926230218973,1
115.04926230218973,0
116.76781223637549,1
116.8078122363755,0
117.84935087510951,1
117.88935087510951,0
123.15772306124077,1
123.19772306124078,0
124.97428349598871,1
125.01428349598872,0
126.82546377966314,1
126.86546377966314,0
130.51103956770243,1
130.55103956770242,0
130.64739299405272,1
130.68739299405271,0
134.5453486767577,1
134.5853486767577,0
139.4397588532236,1
139.4797588532236,0
144.55463964387525,1
144.59463964387524,0
145.51981198940285,1
145.55981198940285,0
152.0385905412776,1
152.0785905412776,0
154.93772537051422,1
154.9777253705142,0
156.34279534597908,1
156.38279534597908,0
157.82443683491414,1
157.83943683491412,2
157.86443683491413,2
157.88943683491416,1
157.90443683491415,0
159.19381906636485,1
159.23381906636484,0
159.71913146794844,1
159.75913146794844,0
161.4680257490895,1
161.50802574908948,0
170.9315783019171,1
170.9715783019171,0
172.32952992966187,1
172.36952992966187,0
172.81217841562653,1
172.85217841562653,0
177.90000847436247,1
177.94000847436246,0
180.069800368874,1
180.109800368874,0
