Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.8752505689317198,1
0.9152505689317199,0
1.305305262202908,1
1.345305262202908,0
1.5699531060230698,1
1.6099531060230698,0
2.8805504465225487,1
2.9205504465225487,0
3.6088396326510246,1
3.6488396326510246,0
4.895268498862845,1
4.935268498862845,0
6.1802601284425585,1
6.2202601284425585,0
7.360845917842942,1
7.400845917842942,0
8.231654302232092,1
8.271654302232092,0
11.906371588322196,1
11.946371588322195,0
13.237044115905615,1
13.277044115905614,0
14.033996566380909,1
14.073996566380908,0
15.458832921038697,1
15.498832921038696,0
15.957871066927586,1
15.997871066927585,0
16.71117763552729,1
16.751177635527288,0
19.095600768031133,1
19.135600768031132,0
20.48118404512614,1
20.52118404512614,0
22.300900949568064,1
22.340900949568063,0
24.464716903398845,1
24.504716903398844,0
25.7562821262877,1
25.7962821262877,0
27.23957018082896,1
27.27957018082896,0
28.222454698801105,1
28.262454698801104,0
34.91965096042449,1
34.95965096042449,0
37.47646727811616,1
37.51646727811616,0
39.81540910834909,1
39.855409108349086,0
41.88927945602906,1
41.92927945602906,0
42.67518932287544,1
42.71518932287544,0
46.986483562524704,1
47.0264835625247,0
47.29522817389235,1
47.33522817389235,0
47.48920753155906,1
47.52920753155906,0
50.4493320610631,1
50.4893320610631,0
52.278742822935776,1
52.318742822935775,0
53.54635926338716,1
53.58635926338716,0
57.092280145333284,1
57.13228014533328,0
58.706091755260196,1
58.746091755260196,0
60.50744998214094,1
60.54744998214094,0
61.631399372860635,1
61.671399372860634,0
62.0210710645169,1
62.0610710645169,0
62.20729669488367,1
62.247296694883666,0
64.20383311934378,1
64.24383311934379,0
68.1063886497938,1
68.1463886497938,0
68.30344272701444,1
68.34344272701445,0
71.51055547326803,1
71.55055547326803,0
72.30978007027326,1
72.34978007027327,0
73.0089319626856,1
73.0489319626856,0
73.19512994302204,1
73.23512994302205,0
75.16344812149129,1
75.20344812149129,0
75.26451435437012,1
75.30451435437013,0
76.52792598443337,1
76.56792598443337,0
78.05734813266464,1
78.09734813266465,0
83.16844408183131,1
83.20844408183132,0
85.1884744537434,1
85.2284744537434,0
85.27532390241966,1
85.31532390241966,0
87.25644803531752,1
87.29644803531752,0
89.06204355663698,1
89.10204355663699,0
94.0634592965985,1
94.1034592965985,0
98.14482402666944,1
98.18482402666945,0
99.02428401557356,1
99.06428401557356,0
99.8838110697527,1
99.9238110697527,0
100.63333111814754,1
100.67333111814754,0
103.00159535773223,1
103.04159535773223,0
104.87765832886089,1
104.9176583288609,0
