Point in Time[s],State of Active Resource[]
475.76139361604737,1
477.76139361604737,0
488.34797929079724,1
490.34797929079724,0
503.8807323614629,1
503.8957323614629,2
505.8807323614629,2
505.8957323614629,1
506.8807323614629,0
520.2729657105793,1
521.2729657105793,0
522.1925761617617,1
524.1925761617617,0
528.2553367078752,1
531.2553367078752,0
532.6033917543289,1
534.6033917543289,0
540.3930865772539,1
542.3930865772539,0
556.7390501212165,1
557.7390501212165,0
584.2566861494961,1
586.2566861494961,0
