Point in Time[s],Utilization of Active Resource[]
475.76139361604737,1.0
477.76139361604737,0.0
488.34797929079724,1.0
490.34797929079724,0.0
503.8807323614629,1.0
503.8957323614629,1.0
505.8807323614629,1.0
505.8957323614629,1.0
506.8807323614629,0.0
520.2729657105793,1.0
521.2729657105793,0.0
522.1925761617617,1.0
524.1925761617617,0.0
528.2553367078752,1.0
531.2553367078752,0.0
532.6033917543289,1.0
534.6033917543289,0.0
540.3930865772539,1.0
542.3930865772539,0.0
556.7390501212165,1.0
557.7390501212165,0.0
584.2566861494961,1.0
586.2566861494961,0.0
