Point in Time[s],State of Active Resource[]
0.11,1
2.11,0
2.3114939108309165,1
2.8926307572373933,2
3.1687516103870528,3
3.3114939108309165,3
3.7303570644244397,3
4.011159791443133,2
7.173433484256087,1
7.311493910830917,0
8.369931900422612,1
8.970962091613565,2
9.453344499168397,3
9.882622708341936,4
10.970962091613565,4
11.369931900422612,4
11.72977088783615,4
12.345486947667553,3
12.582540560963384,4
12.769791773351793,5
13.49833876817334,5
13.726847950590013,6
13.803604837243325,6
14.06205810321621,6
14.129100133741447,5
16.196923572493464,6
17.60276978839152,6
17.88393903157113,5
18.013209029866005,6
18.118003047056643,6
18.13896185049477,5
19.504657523561445,4
22.328265771355596,3
22.358265771355597,4
22.73722377041509,4
22.863543103434917,3
24.53351537585967,2
24.77390990695867,3
24.7895555699759,4
25.57230193930838,4
25.971497955483237,4
26.36547875065235,3
26.804999188505946,4
30.804999188505946,3
31.183536365145013,3
31.24977995106461,4
31.969700107032942,5
32.18353636514501,5
32.49478850317181,5
32.62606060220653,4
33.3925036273399,3
33.403687295001646,4
33.94999437352356,5
34.88391494440947,5
35.37732416087874,5
35.512578071545086,6
35.568417648080334,7
35.583417648080335,8
35.734156607717544,8
35.77847231495203,8
35.81348142609732,8
35.84634768009974,7
37.98860609924714,6
41.24103823256103,7
43.232264831073294,7
43.564135930825344,6
48.218361453465896,5
48.26489443391194,4
50.0985002514613,5
50.43129401261597,5
50.51449245290464,4
51.060799531426554,3
52.032698109935666,2
53.79464849642059,1
54.327579472393005,2
54.369931900422614,2
54.41228432845222,1
55.98532337376508,2
56.10705240436196,3
56.369931900422614,3
56.75454042708015,3
57.07828443843925,2
58.04908685360239,3
58.38498162257467,4
58.430796415721055,4
58.62165119678039,4
58.70054105484896,3
59.51730582419003,4
61.12797671167096,4
61.66486700749794,3
65.05483780478062,2
67.01878711924036,1
67.36993190042261,0
70.93552075273813,1
73.60925957105984,2
73.93552075273813,2
74.26178193441642,1
74.93552075273813,0
76.74941510844913,1
78.74941510844913,0
79.71082830824213,1
82.71082830824213,0
84.9790687384838,1
86.9790687384838,0
89.37572274414642,1
91.37572274414642,0
96.62888979042718,1
97.62888979042718,0
97.76863503397243,1
98.76863503397243,0
99.21273956404485,1
100.1463285282871,2
100.24033238329987,3
102.21273956404485,3
102.45932323167004,4
103.20031733457397,5
104.2791505998026,5
106.24033238329987,5
106.3485970404756,6
107.50066876717648,6
108.20031733457397,6
108.57066139339364,5
108.65566139339364,6
108.94610068414678,6
109.00418854229741,5
109.10123408355425,4
112.83558994052323,3
113.23400013195663,4
115.19558657141256,4
115.84944871789787,3
116.45619429507582,2
116.74397295065323,1
117.21273956404485,0
139.70715957654514,1
140.70715957654514,0
153.67609766369367,1
154.67609766369367,0
160.5216657292299,1
162.5216657292299,0
166.35640666125414,1
167.71341797019454,2
169.35640666125414,2
170.99939535231374,1
172.35640666125414,0
175.18629252321452,1
178.18629252321452,0
178.4327325498315,1
181.4327325498315,0
188.37111609209956,1
189.03215583921786,2
190.37111609209956,2
191.03215583921786,1
191.37111609209956,0
198.05479921686165,1
199.05479921686165,0
202.6237619120906,1
204.6237619120906,0
206.36783783055108,1
207.1871546151758,2
207.36783783055108,2
207.54852104592635,1
210.36783783055108,0
218.11290634105018,1
219.11290634105018,0
223.64030631944433,1
225.64030631944433,0
228.8082170482648,1
229.8082170482648,0
231.25167100573705,1
232.25167100573705,0
249.023145370313,1
250.023145370313,0
265.4688763878458,1
266.4688763878458,0
270.4743860597305,1
271.95729158221945,2
273.4743860597305,2
274.9914805372415,1
276.4743860597305,0
285.6863667222605,1
286.6863667222605,0
306.18573080518206,1
307.05940217910666,2
307.18573080518206,2
307.31205943125747,1
310.18573080518206,0
331.56146175675764,1
333.56146175675764,0
344.55741765652635,1
345.55741765652635,0
355.5555552864476,1
356.5555552864476,0
360.83969595007807,1
361.83969595007807,0
371.98097212922465,1
374.98097212922465,0
377.88937159762264,1
378.17506204751095,2
379.88937159762264,2
381.60368114773433,1
381.88937159762264,0
412.1976575854972,1
413.1976575854972,0
432.70851415206516,1
433.70851415206516,0
441.502939695131,1
442.502939695131,0
446.6293983961327,1
448.05809129031286,2
448.6293983961327,2
449.2007055019525,1
450.6293983961327,0
464.11730260918654,1
467.11730260918654,0
467.7193801758767,1
468.7193801758767,0
503.484807997843,1
504.484807997843,0
528.9268935228331,1
531.9268935228331,0
540.7535892338225,1
543.7535892338225,0
550.4548294956118,1
551.4548294956118,0
573.1162850358222,1
575.1162850358222,0
586.2208306121952,1
589.2208306121952,0
