Point in Time[s],Utilization of Active Resource[]
0.11,1.0
2.11,0.0
2.3114939108309165,1.0
2.8926307572373933,1.0
3.1687516103870528,1.0
3.3114939108309165,1.0
3.7303570644244397,1.0
4.011159791443133,1.0
7.173433484256087,1.0
7.311493910830917,0.0
8.369931900422612,1.0
8.970962091613565,1.0
9.453344499168397,1.0
9.882622708341936,1.0
10.970962091613565,1.0
11.369931900422612,1.0
11.72977088783615,1.0
12.345486947667553,1.0
12.582540560963384,1.0
12.769791773351793,1.0
13.49833876817334,1.0
13.726847950590013,1.0
13.803604837243325,1.0
14.06205810321621,1.0
14.129100133741447,1.0
16.196923572493464,1.0
17.60276978839152,1.0
17.88393903157113,1.0
18.013209029866005,1.0
18.118003047056643,1.0
18.13896185049477,1.0
19.504657523561445,1.0
22.328265771355596,1.0
22.358265771355597,1.0
22.73722377041509,1.0
22.863543103434917,1.0
24.53351537585967,1.0
24.77390990695867,1.0
24.7895555699759,1.0
25.57230193930838,1.0
25.971497955483237,1.0
26.36547875065235,1.0
26.804999188505946,1.0
30.804999188505946,1.0
31.183536365145013,1.0
31.24977995106461,1.0
31.969700107032942,1.0
32.18353636514501,1.0
32.49478850317181,1.0
32.62606060220653,1.0
33.3925036273399,1.0
33.403687295001646,1.0
33.94999437352356,1.0
34.88391494440947,1.0
35.37732416087874,1.0
35.512578071545086,1.0
35.568417648080334,1.0
35.583417648080335,1.0
35.734156607717544,1.0
35.77847231495203,1.0
35.81348142609732,1.0
35.84634768009974,1.0
37.98860609924714,1.0
41.24103823256103,1.0
43.232264831073294,1.0
43.564135930825344,1.0
48.218361453465896,1.0
48.26489443391194,1.0
50.0985002514613,1.0
50.43129401261597,1.0
50.51449245290464,1.0
51.060799531426554,1.0
52.032698109935666,1.0
53.79464849642059,1.0
54.327579472393005,1.0
54.369931900422614,1.0
54.41228432845222,1.0
55.98532337376508,1.0
56.10705240436196,1.0
56.369931900422614,1.0
56.75454042708015,1.0
57.07828443843925,1.0
58.04908685360239,1.0
58.38498162257467,1.0
58.430796415721055,1.0
58.62165119678039,1.0
58.70054105484896,1.0
59.51730582419003,1.0
61.12797671167096,1.0
61.66486700749794,1.0
65.05483780478062,1.0
67.01878711924036,1.0
67.36993190042261,0.0
70.93552075273813,1.0
73.60925957105984,1.0
73.93552075273813,1.0
74.26178193441642,1.0
74.93552075273813,0.0
76.74941510844913,1.0
78.74941510844913,0.0
79.71082830824213,1.0
82.71082830824213,0.0
84.9790687384838,1.0
86.9790687384838,0.0
89.37572274414642,1.0
91.37572274414642,0.0
96.62888979042718,1.0
97.62888979042718,0.0
97.76863503397243,1.0
98.76863503397243,0.0
99.21273956404485,1.0
100.1463285282871,1.0
100.24033238329987,1.0
102.21273956404485,1.0
102.45932323167004,1.0
103.20031733457397,1.0
104.2791505998026,1.0
106.24033238329987,1.0
106.3485970404756,1.0
107.50066876717648,1.0
108.20031733457397,1.0
108.57066139339364,1.0
108.65566139339364,1.0
108.94610068414678,1.0
109.00418854229741,1.0
109.10123408355425,1.0
112.83558994052323,1.0
113.23400013195663,1.0
115.19558657141256,1.0
115.84944871789787,1.0
116.45619429507582,1.0
116.74397295065323,1.0
117.21273956404485,0.0
139.70715957654514,1.0
140.70715957654514,0.0
153.67609766369367,1.0
154.67609766369367,0.0
160.5216657292299,1.0
162.5216657292299,0.0
166.35640666125414,1.0
167.71341797019454,1.0
169.35640666125414,1.0
170.99939535231374,1.0
172.35640666125414,0.0
175.18629252321452,1.0
178.18629252321452,0.0
178.4327325498315,1.0
181.4327325498315,0.0
188.37111609209956,1.0
189.03215583921786,1.0
190.37111609209956,1.0
191.03215583921786,1.0
191.37111609209956,0.0
198.05479921686165,1.0
199.05479921686165,0.0
202.6237619120906,1.0
204.6237619120906,0.0
206.36783783055108,1.0
207.1871546151758,1.0
207.36783783055108,1.0
207.54852104592635,1.0
210.36783783055108,0.0
218.11290634105018,1.0
219.11290634105018,0.0
223.64030631944433,1.0
225.64030631944433,0.0
228.8082170482648,1.0
229.8082170482648,0.0
231.25167100573705,1.0
232.25167100573705,0.0
249.023145370313,1.0
250.023145370313,0.0
265.4688763878458,1.0
266.4688763878458,0.0
270.4743860597305,1.0
271.95729158221945,1.0
273.4743860597305,1.0
274.9914805372415,1.0
276.4743860597305,0.0
285.6863667222605,1.0
286.6863667222605,0.0
306.18573080518206,1.0
307.05940217910666,1.0
307.18573080518206,1.0
307.31205943125747,1.0
310.18573080518206,0.0
331.56146175675764,1.0
333.56146175675764,0.0
344.55741765652635,1.0
345.55741765652635,0.0
355.5555552864476,1.0
356.5555552864476,0.0
360.83969595007807,1.0
361.83969595007807,0.0
371.98097212922465,1.0
374.98097212922465,0.0
377.88937159762264,1.0
378.17506204751095,1.0
379.88937159762264,1.0
381.60368114773433,1.0
381.88937159762264,0.0
412.1976575854972,1.0
413.1976575854972,0.0
432.70851415206516,1.0
433.70851415206516,0.0
441.502939695131,1.0
442.502939695131,0.0
446.6293983961327,1.0
448.05809129031286,1.0
448.6293983961327,1.0
449.2007055019525,1.0
450.6293983961327,0.0
464.11730260918654,1.0
467.11730260918654,0.0
467.7193801758767,1.0
468.7193801758767,0.0
503.484807997843,1.0
504.484807997843,0.0
528.9268935228331,1.0
531.9268935228331,0.0
540.7535892338225,1.0
543.7535892338225,0.0
550.4548294956118,1.0
551.4548294956118,0.0
573.1162850358222,1.0
575.1162850358222,0.0
586.2208306121952,1.0
589.2208306121952,0.0
