Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
2.2564939108309163,1
2.2964939108309164,0
2.837630757237393,1
2.877630757237393,0
3.1137516103870526,1
3.1537516103870527,0
8.314931900422613,1
8.354931900422612,0
8.915962091613565,1
8.955962091613564,0
9.398344499168397,1
9.438344499168396,0
9.827622708341936,1
9.867622708341935,0
12.527540560963384,1
12.567540560963383,0
12.714791773351793,1
12.754791773351792,0
13.671847950590013,1
13.711847950590013,0
16.141923572493464,1
16.181923572493464,0
17.958209029866005,1
17.998209029866004,0
22.29751043259315,1
22.33751043259315,0
24.6945555699759,1
24.71020123299313,2
24.7345555699759,2
24.75890990695867,1
24.7745555699759,0
26.749999188505946,1
26.789999188505945,0
31.19477995106461,1
31.23477995106461,0
31.914700107032942,1
31.95470010703294,0
33.348687295001646,1
33.388687295001645,0
33.89499437352356,1
33.93499437352356,0
35.44523512246838,1
35.47315491073601,2
35.48523512246838,2
35.4967898595121,3
35.497315334200756,3
35.497578071545085,2
35.553417648080334,1
35.56523512246838,0
41.18603823256103,1
41.22603823256103,0
50.0435002514613,1
50.0835002514613,0
54.272579472393005,1
54.312579472393004,0
55.93032337376508,1
55.970323373765076,0
56.05205240436196,1
56.09205240436196,0
57.99408685360239,1
58.03408685360239,0
58.32998162257467,1
58.36998162257467,0
59.46230582419003,1
59.50230582419003,0
61.848907983685095,1
61.888907983685094,0
65.09983780478062,1
65.13983780478063,0
65.19788771885914,1
65.23788771885914,0
65.70841797022898,1
65.74841797022899,0
70.88052075273812,1
70.92052075273813,0
73.55425957105983,1
73.59425957105984,0
76.69441510844912,1
76.73441510844913,0
77.2613725536466,1
77.3013725536466,0
78.0909983058717,1
78.1309983058717,0
79.65582830824212,1
79.69582830824213,0
80.31832906912611,1
80.35832906912611,0
84.9240687384838,1
84.9640687384838,0
89.32072274414641,1
89.36072274414641,0
91.34298330485326,1
91.38298330485327,0
92.38664154855283,1
92.42664154855284,0
96.57388979042717,1
96.61388979042718,0
96.72023257347793,1
96.76023257347794,0
97.71363503397242,1
97.75363503397243,0
98.81363503397243,1
98.85363503397244,0
99.15773956404485,1
99.19773956404485,0
100.0913285282871,1
100.1313285282871,0
100.18533238329987,1
100.22533238329987,0
101.73355295952993,1
101.77355295952994,0
102.40432323167003,1
102.44432323167004,0
102.50388723813714,1
102.54388723813715,0
102.79596263734983,1
102.83596263734984,0
103.14531733457396,1
103.18531733457397,0
106.29359704047559,1
106.3335970404756,0
107.27777347199797,1
107.31777347199798,0
108.60066139339364,1
108.64066139339364,0
112.46413272327385,1
112.50413272327386,0
113.17900013195663,1
113.21900013195663,0
117.34761837492046,1
117.38761837492046,0
120.21512121581827,1
120.25512121581828,0
123.36770824590486,1
123.40770824590487,0
123.86131059479929,1
123.9013105947993,0
128.89062840037138,1
128.93062840037138,0
129.48150602638827,1
129.52150602638827,0
132.26157331460317,1
132.30157331460316,0
134.46250703701105,1
134.50250703701104,0
139.30017092494236,1
139.34017092494236,0
139.61215957654514,1
139.62805451676795,2
139.65215957654513,2
139.67626463632234,1
139.69215957654515,0
140.14631975852555,1
140.18631975852554,0
141.96027722557358,1
142.00027722557357,0
142.4466263626134,1
142.48662636261338,0
145.3877218658339,1
145.4277218658339,0
145.55519462355952,1
145.5951946235595,0
149.0055133872751,1
149.0455133872751,0
149.24100060429092,1
149.2810006042909,0
149.71793770138927,1
149.75793770138927,0
153.6210976636937,1
153.66109766369368,0
157.84563640003324,1
157.88563640003323,0
158.94903653823775,1
158.98903653823774,0
159.46105041431272,1
159.50105041431272,0
160.46666572922993,1
160.50666572922992,0
161.85276002233144,1
161.89276002233143,0
163.4862319537725,1
163.52623195377248,0
163.60351457919612,1
163.6435145791961,0
166.30140666125416,1
166.34140666125415,0
166.5411183102105,1
166.58111831021048,0
167.65841797019456,1
