Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
2.201493910830916,1
2.241493910830916,0
2.782630757237393,1
2.822630757237393,0
3.0587516103870525,1
3.0987516103870525,0
8.259931900422613,1
8.299931900422612,0
8.860962091613565,1
8.900962091613565,0
9.343344499168397,1
9.383344499168397,0
9.772622708341936,1
9.812622708341936,0
12.472540560963385,1
12.512540560963384,0
12.659791773351794,1
12.699791773351793,0
13.616847950590014,1
13.656847950590013,0
16.086923572493465,1
16.126923572493464,0
17.903209029866005,1
17.943209029866004,0
22.24251043259315,1
22.28251043259315,0
24.61520123299313,1
24.630846896010357,2
24.65520123299313,2
24.6795555699759,1
24.695201232993128,0
26.694999188505946,1
26.734999188505945,0
31.13977995106461,1
31.17977995106461,0
31.859700107032943,1
31.899700107032942,0
33.29368729500165,1
33.333687295001646,0
33.83999437352356,1
33.87999437352356,0
35.3617898595121,1
35.37574975364591,2
35.4017898595121,2
35.423019651198096,3
35.42782996537829,3
35.43023512246838,2
35.458154910736006,1
35.4817898595121,0
41.13103823256103,1
41.17103823256103,0
49.9885002514613,1
50.0285002514613,0
54.217579472393005,1
54.257579472393004,0
55.87532337376508,1
55.91532337376508,0
55.99705240436196,1
56.03705240436196,0
57.93908685360239,1
57.97908685360239,0
58.27498162257467,1
58.31498162257467,0
59.40730582419003,1
59.44730582419003,0
61.793907983685095,1
61.833907983685094,0
65.03164090969176,1
65.07164090969177,0
65.14288771885913,1
65.18288771885913,0
65.65341797022897,1
65.69341797022898,0
70.82552075273811,1
70.86552075273812,0
73.49925957105982,1
73.53925957105983,0
76.63941510844911,1
76.67941510844912,0
77.20637255364659,1
77.2463725536466,0
78.03599830587169,1
78.07599830587169,0
79.60082830824211,1
79.64082830824212,0
80.2633290691261,1
80.30332906912611,0
84.86906873848379,1
84.9090687384838,0
89.2657227441464,1
89.30572274414641,0
91.28798330485326,1
91.32798330485326,0
92.33164154855282,1
92.37164154855283,0
96.51888979042717,1
96.55888979042717,0
96.66523257347792,1
96.70523257347793,0
97.65863503397242,1
97.69863503397242,0
98.75686844824503,1
98.79686844824504,0
99.10273956404484,1
99.14273956404485,0
100.03632852828709,1
100.07632852828709,0
100.13033238329986,1
100.17033238329986,0
101.67855295952992,1
101.71855295952993,0
102.34932323167003,1
102.38932323167003,0
102.44888723813713,1
102.48888723813714,0
102.74096263734982,1
102.78096263734983,0
103.09031733457395,1
103.13031733457396,0
106.23859704047558,1
106.27859704047559,0
107.22277347199797,1
107.26277347199797,0
108.54278200003492,1
108.58278200003492,0
