Point in Time[s],State of Active Resource[]
344.05539578617856,1
345.05539578617856,0
347.5105554136066,1
348.5105554136066,0
354.3380528325559,1
356.3380528325559,0
362.83488582022994,1
363.93931094304304,2
364.83488582022994,2
365.73046069741685,1
366.83488582022994,0
367.52808398822265,1
368.6474808452403,2
369.52808398822265,2
370.408687131205,1
372.52808398822265,0
379.5424928203085,1
382.5424928203085,0
394.77593456151953,1
395.6158023478501,2
396.77593456151953,2
397.6158023478501,1
397.77593456151953,0
406.3042105792447,1
409.3042105792447,0
421.25014989564005,1
424.25014989564005,0
446.629739778212,1
447.629739778212,0
452.76072168816734,1
454.76072168816734,0
457.7325546452423,1
459.7325546452423,0
474.43094129400345,1
476.43094129400345,0
477.85536678286604,1
478.92950266213523,2
479.85536678286604,2
480.78123090359685,1
481.85536678286604,0
491.54956935289994,1
494.54956935289994,0
527.2399376059458,1
529.2399376059458,0
530.3110366757401,1
531.3110366757401,0
532.9925712927604,1
533.9925712927604,0
535.781477255848,1
536.781477255848,0
544.28650415833,1
546.28650415833,0
549.7892055248965,1
550.7892055248965,0
559.8286423546749,1
560.139372889981,2
561.8286423546749,2
563.5179118193688,1
564.8286423546749,0
573.5720784016662,1
575.5720784016662,0
581.3505035613783,1
583.3505035613783,0
588.0910597721565,1
589.0910597721565,0
