Point in Time[s],Utilization of Active Resource[]
344.05539578617856,1.0
345.05539578617856,0.0
347.5105554136066,1.0
348.5105554136066,0.0
354.3380528325559,1.0
356.3380528325559,0.0
362.83488582022994,1.0
363.93931094304304,1.0
364.83488582022994,1.0
365.73046069741685,1.0
366.83488582022994,0.0
367.52808398822265,1.0
368.6474808452403,1.0
369.52808398822265,1.0
370.408687131205,1.0
372.52808398822265,0.0
379.5424928203085,1.0
382.5424928203085,0.0
394.77593456151953,1.0
395.6158023478501,1.0
396.77593456151953,1.0
397.6158023478501,1.0
397.77593456151953,0.0
406.3042105792447,1.0
409.3042105792447,0.0
421.25014989564005,1.0
424.25014989564005,0.0
446.629739778212,1.0
447.629739778212,0.0
452.76072168816734,1.0
454.76072168816734,0.0
457.7325546452423,1.0
459.7325546452423,0.0
474.43094129400345,1.0
476.43094129400345,0.0
477.85536678286604,1.0
478.92950266213523,1.0
479.85536678286604,1.0
480.78123090359685,1.0
481.85536678286604,0.0
491.54956935289994,1.0
494.54956935289994,0.0
527.2399376059458,1.0
529.2399376059458,0.0
530.3110366757401,1.0
531.3110366757401,0.0
532.9925712927604,1.0
533.9925712927604,0.0
535.781477255848,1.0
536.781477255848,0.0
544.28650415833,1.0
546.28650415833,0.0
549.7892055248965,1.0
550.7892055248965,0.0
559.8286423546749,1.0
560.139372889981,1.0
561.8286423546749,1.0
563.5179118193688,1.0
564.8286423546749,0.0
573.5720784016662,1.0
575.5720784016662,0.0
581.3505035613783,1.0
583.3505035613783,0.0
588.0910597721565,1.0
589.0910597721565,0.0
