Point in Time[s],State of Active Resource[]
0.11,1
2.7700546589692028,2
3.11,2
3.449945341030797,1
3.5597527221355287,2
3.5997527221355288,3
4.109999999999999,3
4.660247277864471,3
5.190494555728942,2
7.848922016958514,3
8.09,3
8.210538991520743,2
8.250538991520743,1
9.11,0
9.246969108059165,1
9.522357205131966,2
10.437241227593468,3
11.215772458803116,4
11.246969108059165,4
11.65495338164671,5
12.436310323730613,6
12.971581010986364,6
13.437241227593468,6
14.177730817190252,6
14.808425176076138,6
15.013059296085531,7
15.282848146545241,7
15.327812954955194,6
16.71754161352046,7
16.853997373616018,8
16.930832305133883,8
16.96638075373612,8
16.982435522324707,7
21.359895421932965,8
23.829266553478114,9
23.92881915327208,9
24.295808257749098,9
24.35412597078297,8
26.383706400021424,9
26.618506597711235,9
26.64785662242246,8
30.603374510449846,9
30.744858779738674,10
31.613906613838708,11
32.31631369713136,11
32.530431095466554,11
32.72882801943632,11
32.84032015999608,10
34.022225340058604,9
34.93966616888421,10
35.428667835809634,10
35.4830013543569,9
36.575878976887566,10
38.17442132651184,11
39.34812481288928,11
39.65615212800058,11
39.67733915133803,12
39.80432520814945,12
39.81586939513231,11
40.528010738118724,12
40.717457260141174,12
40.734679671234126,11
41.57931215868938,12
42.02204239342217,13
42.87554057277105,13
42.99337951950575,13
43.07432428001272,12
43.10432428001272,13
44.821025493050065,14
45.94978909468569,14
46.17895315639789,15
46.18691116257511,15
46.29197929100011,15
46.30005258632884,14
46.54540793338788,15
48.65176198031937,16
48.760753703260534,16
48.91899268682287,16
48.93680806725643,15
50.38601605351954,16
51.43386151283726,17
52.38185908525831,18
52.61950950896822,18
52.7684090726648,18
52.85181829515402,18
52.864126488681414,19
52.87946295455965,19
52.880314980441774,18
53.09815143041377,19
54.18793380468644,20
55.76385905825594,20
55.911953926469394,20
56.00269182761586,19
57.110128179243766,20
57.65388271240593,20
57.68250137204605,19
58.852325953649654,18
61.83974766240702,19
63.3045945419969,20
64.46860075404588,20
64.61464814802582,20
64.68359833781682,19
66.1615909897833,20
69.8166500451903,21
70.26302713809669,21
70.47889219853424,21
70.51200430620143,20
71.67229500778934,19
72.07320756164782,20
73.51726438573941,20
73.59326737648108,19
74.6913726745549,18
76.38350196279114,17
78.429264057281,16
82.50362325443626,15
84.60997730136775,14
86.52611488533151,15
86.63378240957091,15
86.64147294701658,14
87.13654206229859,13
87.7625298278834,14
88.1357899718674,14
88.1645022906354,13
88.23849793695885,12
88.39394654752567,11
88.8214909580337,10
90.49662414104165,9
90.85367537815499,8
92.577664977926,7
93.25662880959992,6
94.93933796904827,5
98.05703210829058,4
98.36542092504635,3
98.80563875525615,2
99.1557635859055,1
99.24696910805916,0
105.29180107178287,1
106.29180107178287,0
110.29449054050495,1
111.29449054050495,0
116.48731214489156,1
118.48731214489156,0
137.48638434127088,1
138.48638434127088,0
141.87675178788658,1
142.87675178788658,0
161.04168989201895,1
162.04168989201895,0
177.7095194434111,1
179.7095194434111,0
179.93711738643228,1
182.93711738643228,0
185.5000863969949,1
187.5000863969949,0
205.34815563444496,1
206.34815563444496,0
207.98358253294563,1
208.38587796708256,2
208.98358253294563,2
209.5812870988087,1
210.4197855868705,2
211.98358253294563,2
212.4197855868705,1
212.98358253294563,0
214.21821948462886,1
214.6714915956103,2
215.58451636357643,3
216.6714915956103,3
216.8780379626828,4
217.21497921162722,4
217.21821948462886,4
217.32729296127536,3
218.04211752862543,4
221.96747662833107,4
223.2759296615663,3
226.0052831464598,2
226.86763087919738,1
227.21821948462886,0
239.01439468411266,1
242.01439468411266,0
243.30695117239043,1
244.30695117239043,0
247.53601590100922,1
249.53601590100922,0
257.5269900774608,1
260.5269900774608,0
281.74043372718467,1
283.74043372718467,0
299.16142914398995,1
301.16142914398995,0
317.9156849113222,1
320.9156849113222,0
323.75410296624835,1
324.3901439048335,2
326.75410296624835,2
328.3901439048335,1
328.75410296624835,0
329.653816152877,1
330.653816152877,0
330.8294309038259,1
331.22293946937594,2
331.5913821593227,3
331.8294309038259,3
332.4359223382758,3
332.8581924277524,2
336.01365224879925,1
336.8294309038259,0
340.9782873219535,1
341.9782873219535,0
359.8633539912568,1
361.8633539912568,0
366.0639550793583,1
367.0639550793583,0
374.35965278386004,1
376.35965278386004,0
404.2592105792447,1
406.2592105792447,0
411.84800882025894,1
414.84800882025894,0
419.18791492192275,1
422.18791492192275,0
439.05811613732936,1
440.05811613732936,0
444.9750796683524,1
445.9750796683524,0
453.58893378428826,1
456.58893378428826,0
464.0627513156657,1
465.0627513156657,0
503.64078034272615,1
505.64078034272615,0
509.44873344989986,1
510.45463127633485,2
511.44873344989986,2
512.4428356234648,1
512.4487334498998,0
523.1627175642327,1
525.1627175642327,0
545.5959769800322,1
546.5959769800322,0
558.5578930780096,1
560.5578930780096,0
591.8336496169352,1
594.8336496169352,0
596.2388276745028,1
598.2388276745028,0
