Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
2.7150546589692026,1
2.7550546589692027,0
3.5023744048267202,1
3.5423744048267203,0
3.5447527221355286,1
3.5847527221355286,0
7.793922016958514,1
7.833922016958514,0
9.191969108059165,1
9.231969108059165,0
9.467357205131966,1
9.507357205131965,0
10.382241227593468,1
10.422241227593467,0
11.160772458803116,1
11.200772458803115,0
11.59995338164671,1
11.63995338164671,0
12.381310323730613,1
12.421310323730612,0
14.958059296085532,1
14.99805929608553,0
16.66254161352046,1
16.70254161352046,0
16.798997373616018,1
16.838997373616017,0
21.304895421932965,1
21.344895421932964,0
23.774266553478114,1
23.814266553478113,0
26.328706400021424,1
26.368706400021424,0
30.548374510449847,1
30.588374510449846,0
30.689858779738675,1
30.729858779738674,0
31.558906613838708,1
31.598906613838707,0
34.88466616888421,1
34.92466616888421,0
36.520878976887566,1
36.560878976887565,0
38.11942132651184,1
38.15942132651184,0
39.62233915133803,1
39.66233915133803,0
40.473010738118724,1
40.51301073811872,0
41.52431215868938,1
41.56431215868938,0
41.96704239342217,1
42.00704239342217,0
43.04786826022619,1
43.08786826022619,0
44.766025493050066,1
44.806025493050065,0
46.12395315639789,1
46.16395315639789,0
46.49040793338788,1
46.53040793338788,0
48.59676198031937,1
48.63676198031937,0
50.33101605351954,1
50.37101605351954,0
51.37886151283726,1
51.41886151283726,0
52.32685908525831,1
52.36685908525831,0
52.809126488681414,1
52.849126488681414,0
53.04315143041377,1
53.08315143041377,0
54.13293380468644,1
54.17293380468644,0
57.055128179243766,1
57.095128179243765,0
61.78474766240702,1
61.82474766240702,0
62.32583701808875,1
62.36583701808875,0
63.2495945419969,1
63.2895945419969,0
65.28392058527642,1
65.32392058527643,0
66.1065909897833,1
66.1465909897833,0
66.64716666647452,1
66.68716666647452,0
67.33554767173287,1
67.37554767173287,0
69.40916673110264,1
69.44916673110265,0
69.7616500451903,1
69.8016500451903,0
72.01820756164781,1
72.05820756164782,0
72.13109412021387,1
72.17109412021388,0
75.45560998394505,1
75.49560998394506,0
86.31756976716524,1
86.35756976716524,0
86.4711148853315,1
86.51111488533151,0
87.70752982788339,1
87.7475298278834,0
97.95026415810726,1
97.99026415810727,0
101.05026415810727,1
101.09026415810727,0
105.23680107178286,1
105.27680107178287,0
105.32891614583185,1
105.36891614583186,0
105.72559850227269,1
105.7655985022727,0
105.86892839089698,1
105.90892839089699,0
106.53372236906107,1
106.57372236906107,0
107.20346952606961,1
107.24346952606962,0
110.09434445464272,1
110.13434445464273,0
110.23949054050495,1
110.27949054050495,0
112.99157473096575,1
113.03157473096576,0
114.65038478837066,1
114.69038478837066,0
115.12548557012963,1
115.16548557012963,0
116.43231214489155,1
116.47231214489156,0
118.669388637829,1
118.70938863782901,0
119.7912402154376,1
119.8312402154376,0
122.06214556934135,1
122.10214556934136,0
128.2473391338087,1
128.2873391338087,0
132.4733358200962,1
132.5133358200962,0
132.76942780949912,1
132.8094278094991,0
133.06895234880471,1
133.1089523488047,0
137.4313843412709,1
137.4713843412709,0
139.2575221483927,1
139.2975221483927,0
141.8217517878866,1
141.8617517878866,0
146.24753697803143,1
146.28753697803143,0
147.35857129099324,1
147.39857129099323,0
147.5439716636779,1
147.5839716636779,0
149.07312806748024,1
149.11312806748023,0
150.84483793470855,1
150.88483793470854,0
152.95760066926272,1
152.9976006692627,0
155.91461885107333,1
155.95461885107332,0
156.01188034173072,1
156.0518803417307,0
158.25043253132895,1
158.29043253132895,0
159.5303670140507,1
159.5703670140507,0
160.98668989201897,1
161.02668989201896,0
166.18671671298918,1
166.22671671298917,0
168.3547434925235,1
168.3947434925235,0
169.93223717733713,1
169.97223717733712,0
174.62451944341115,1
174.66451944341114,0
176.10876839085836,1
176.14876839085835,0
177.6491969229843,1
177.68919692298428,0
179.8821173864323,1
