Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
2.6600546589692025,1
2.7000546589692025,0
3.44737440482672,1
3.48737440482672,0
3.4897527221355285,1
3.5297527221355285,0
7.738922016958514,1
7.778922016958514,0
9.136969108059166,1
9.176969108059165,0
9.412357205131967,1
9.452357205131966,0
10.327241227593468,1
10.367241227593468,0
11.105772458803116,1
11.145772458803116,0
11.54495338164671,1
11.58495338164671,0
12.326310323730613,1
12.366310323730612,0
14.903059296085532,1
14.943059296085531,0
16.60754161352046,1
16.64754161352046,0
16.74399737361602,1
16.783997373616018,0
21.249895421932965,1
21.289895421932965,0
23.719266553478114,1
23.759266553478113,0
26.273706400021425,1
26.313706400021424,0
30.493374510449847,1
30.533374510449846,0
30.634858779738675,1
30.674858779738674,0
31.50390661383871,1
31.543906613838708,0
34.82966616888421,1
34.86966616888421,0
36.465878976887566,1
36.505878976887566,0
38.06442132651184,1
38.10442132651184,0
39.56733915133803,1
39.60733915133803,0
40.418010738118724,1
40.45801073811872,0
41.469312158689384,1
41.50931215868938,0
41.91204239342217,1
41.95204239342217,0
42.99286826022619,1
43.03286826022619,0
44.711025493050066,1
44.751025493050065,0
46.06895315639789,1
46.10895315639789,0
46.43540793338788,1
46.47540793338788,0
48.54176198031937,1
48.58176198031937,0
50.27601605351954,1
50.31601605351954,0
51.32386151283726,1
51.36386151283726,0
52.27185908525831,1
52.31185908525831,0
52.754126488681415,1
52.794126488681414,0
52.98815143041377,1
53.02815143041377,0
54.07793380468644,1
54.11793380468644,0
57.00012817924377,1
57.040128179243766,0
61.72974766240702,1
61.76974766240702,0
62.27083701808875,1
62.31083701808875,0
63.1945945419969,1
63.2345945419969,0
65.22892058527641,1
65.26892058527642,0
66.05159098978329,1
66.0915909897833,0
66.59216666647451,1
66.63216666647452,0
67.28054767173286,1
67.32054767173287,0
69.35416673110264,1
69.39416673110264,0
69.70665004519029,1
69.7466500451903,0
71.9632075616478,1
72.00320756164781,0
72.07609412021387,1
72.11609412021387,0
75.40060998394505,1
75.44060998394505,0
86.26256976716523,1
86.30256976716524,0
86.4161148853315,1
86.4561148853315,0
87.65252982788338,1
87.69252982788339,0
97.89526415810725,1
97.93526415810726,0
100.9880394872428,1
101.02803948724281,0
105.18180107178286,1
105.22180107178286,0
105.27391614583185,1
105.31391614583185,0
105.67059850227268,1
105.71059850227269,0
105.81392839089698,1
105.85392839089698,0
106.47872236906106,1
106.51872236906107,0
107.1484695260696,1
107.18846952606961,0
110.03934445464272,1
110.07934445464272,0
110.18449054050494,1
