Point in Time[s],State of Active Resource[]
360.54130158080454,1
363.54130158080454,0
397.4608810121958,1
399.4608810121958,0
424.44620453796284,1
425.44620453796284,0
441.042239202202,1
443.042239202202,0
460.20534555295967,1
463.20534555295967,0
465.9438858699818,1
466.7259317150139,2
467.9438858699818,2
469.16184002494964,1
469.9438858699818,0
476.89893281929255,1
478.89893281929255,0
489.33142231251924,1
491.33142231251924,0
500.5927598103206,1
502.5927598103206,0
505.5397955181268,1
507.5397955181268,0
523.7815565824403,1
524.7815565824403,0
542.0294250060728,1
544.0294250060728,0
560.8426254958781,1
562.8426254958781,0
568.0021562967535,1
569.0021562967535,0
588.3017811949722,1
590.3017811949722,0
593.7049483418834,1
594.7049483418834,0
