Point in Time[s],Utilization of Active Resource[]
360.54130158080454,1.0
363.54130158080454,0.0
397.4608810121958,1.0
399.4608810121958,0.0
424.44620453796284,1.0
425.44620453796284,0.0
441.042239202202,1.0
443.042239202202,0.0
460.20534555295967,1.0
463.20534555295967,0.0
465.9438858699818,1.0
466.7259317150139,1.0
467.9438858699818,1.0
469.16184002494964,1.0
469.9438858699818,0.0
476.89893281929255,1.0
478.89893281929255,0.0
489.33142231251924,1.0
491.33142231251924,0.0
500.5927598103206,1.0
502.5927598103206,0.0
505.5397955181268,1.0
507.5397955181268,0.0
523.7815565824403,1.0
524.7815565824403,0.0
542.0294250060728,1.0
544.0294250060728,0.0
560.8426254958781,1.0
562.8426254958781,0.0
568.0021562967535,1.0
569.0021562967535,0.0
588.3017811949722,1.0
590.3017811949722,0.0
593.7049483418834,1.0
594.7049483418834,0.0
