Point in Time[s],State of Active Resource[]
0.11,1
0.9204107465889612,2
1.11,2
1.299589253411039,1
2.1100000000000003,0
5.349509257422566,1
6.349509257422566,0
6.434509257422565,1
8.434509257422565,0
10.06087109598463,1
10.095794334453121,2
13.06087109598463,2
15.607811781351032,3
16.02594785751614,3
16.235015895598693,2
16.304862372535673,1
17.06087109598463,0
18.341581610838603,1
18.815465110261606,2
21.341581610838603,2
21.93831207835224,3
22.815465110261606,3
22.832854415060652,4
23.128329822672534,5
23.25404162621629,5
23.394437363268167,5
23.460964248417078,4
24.4252544446198,5
25.14073987418279,6
25.565430250725065,6
25.85047420225138,6
25.9924210678651,5
28.02920413923557,4
29.25960187603393,3
29.68889313377172,2
30.0434008319358,1
30.341581610838603,0
32.94462643075007,1
33.94462643075007,0
34.888883566538354,1
35.40776047323414,2
36.888883566538354,2
38.370006659842566,1
39.12181974895102,2
39.888883566538354,2
40.65594738412569,1
41.28747395261378,2
41.31844902263984,3
42.59650703416787,4
42.888883566538354,4
44.49029318046293,4
46.07621525937447,4
47.20020031301089,5
47.23611800111001,5
47.24509742313479,4
47.37822742025881,5
48.83945896743649,5
49.20476685423091,4
49.80408868249808,5
51.74353530705323,5
52.22839696319202,4
52.25839696319202,5
53.75157865042182,5
54.12487407222927,4
54.66224576044432,3
55.53727500581106,2
55.839121645232574,1
57.88888356653836,0
62.76892222626621,1
63.67301916551075,2
63.76892222626621,2
63.864825287021674,1
64.76892222626621,0
66.3351925213091,1
68.3351925213091,0
70.61685208261244,1
72.61685208261244,0
74.33503360473851,1
76.33503360473851,0
79.52838791557116,1
79.88487254000775,2
81.5592223511262,3
82.52838791557116,3
83.88487254000775,3
85.04769763444853,2
86.33472838557535,1
86.52838791557116,0
93.1560688187734,1
95.1560688187734,0
117.06126858803088,1
118.06126858803088,0
137.9715927544498,1
138.9715927544498,0
144.79533590990513,1
145.79533590990513,0
180.23245422100902,1
180.6357048669037,2
182.23245422100902,2
183.82920357511435,1
184.23245422100902,0
228.7346490623379,1
229.7346490623379,0
239.29780124420768,1
240.29780124420768,0
243.30658688532816,1
245.30658688532816,0
251.41485246862484,1
253.41485246862484,0
262.7246250870282,1
265.7246250870282,0
275.53406846583005,1
277.53406846583005,0
283.93051477665625,1
285.93051477665625,0
299.2361084711907,1
301.2361084711907,0
304.7740123605597,1
307.7740123605597,0
307.8040123605597,1
310.8040123605597,0
322.7465100002587,1
324.0884211422533,2
324.7465100002587,2
325.4045988582641,1
327.7465100002587,0
330.904496285917,1
332.904496285917,0
364.7469746595221,1
366.7469746595221,0
373.5259623943613,1
374.5259623943613,0
414.04362624152265,1
415.04362624152265,0
416.01919862181455,1
418.01919862181455,0
426.5864038303675,1
428.5864038303675,0
506.9239543667637,1
507.9239543667637,0
521.4163111207483,1
521.4950007088329,2
522.4163111207483,2
523.3376215326638,1
524.4163111207483,0
567.4422260042817,1
569.4422260042817,0
