Point in Time[s],Utilization of Active Resource[]
0.11,1.0
0.9204107465889612,1.0
1.11,1.0
1.299589253411039,1.0
2.1100000000000003,0.0
5.349509257422566,1.0
6.349509257422566,0.0
6.434509257422565,1.0
8.434509257422565,0.0
10.06087109598463,1.0
10.095794334453121,1.0
13.06087109598463,1.0
15.607811781351032,1.0
16.02594785751614,1.0
16.235015895598693,1.0
16.304862372535673,1.0
17.06087109598463,0.0
18.341581610838603,1.0
18.815465110261606,1.0
21.341581610838603,1.0
21.93831207835224,1.0
22.815465110261606,1.0
22.832854415060652,1.0
23.128329822672534,1.0
23.25404162621629,1.0
23.394437363268167,1.0
23.460964248417078,1.0
24.4252544446198,1.0
25.14073987418279,1.0
25.565430250725065,1.0
25.85047420225138,1.0
25.9924210678651,1.0
28.02920413923557,1.0
29.25960187603393,1.0
29.68889313377172,1.0
30.0434008319358,1.0
30.341581610838603,0.0
32.94462643075007,1.0
33.94462643075007,0.0
34.888883566538354,1.0
35.40776047323414,1.0
36.888883566538354,1.0
38.370006659842566,1.0
39.12181974895102,1.0
39.888883566538354,1.0
40.65594738412569,1.0
41.28747395261378,1.0
41.31844902263984,1.0
42.59650703416787,1.0
42.888883566538354,1.0
44.49029318046293,1.0
46.07621525937447,1.0
47.20020031301089,1.0
47.23611800111001,1.0
47.24509742313479,1.0
47.37822742025881,1.0
48.83945896743649,1.0
49.20476685423091,1.0
49.80408868249808,1.0
51.74353530705323,1.0
52.22839696319202,1.0
52.25839696319202,1.0
53.75157865042182,1.0
54.12487407222927,1.0
54.66224576044432,1.0
55.53727500581106,1.0
55.839121645232574,1.0
57.88888356653836,0.0
62.76892222626621,1.0
63.67301916551075,1.0
63.76892222626621,1.0
63.864825287021674,1.0
64.76892222626621,0.0
66.3351925213091,1.0
68.3351925213091,0.0
70.61685208261244,1.0
72.61685208261244,0.0
74.33503360473851,1.0
76.33503360473851,0.0
79.52838791557116,1.0
79.88487254000775,1.0
81.5592223511262,1.0
82.52838791557116,1.0
83.88487254000775,1.0
85.04769763444853,1.0
86.33472838557535,1.0
86.52838791557116,0.0
93.1560688187734,1.0
95.1560688187734,0.0
117.06126858803088,1.0
118.06126858803088,0.0
137.9715927544498,1.0
138.9715927544498,0.0
144.79533590990513,1.0
145.79533590990513,0.0
180.23245422100902,1.0
180.6357048669037,1.0
182.23245422100902,1.0
183.82920357511435,1.0
184.23245422100902,0.0
228.7346490623379,1.0
229.7346490623379,0.0
239.29780124420768,1.0
240.29780124420768,0.0
243.30658688532816,1.0
245.30658688532816,0.0
251.41485246862484,1.0
253.41485246862484,0.0
262.7246250870282,1.0
265.7246250870282,0.0
275.53406846583005,1.0
277.53406846583005,0.0
283.93051477665625,1.0
285.93051477665625,0.0
299.2361084711907,1.0
301.2361084711907,0.0
304.7740123605597,1.0
307.7740123605597,0.0
307.8040123605597,1.0
310.8040123605597,0.0
322.7465100002587,1.0
324.0884211422533,1.0
324.7465100002587,1.0
325.4045988582641,1.0
327.7465100002587,0.0
330.904496285917,1.0
332.904496285917,0.0
364.7469746595221,1.0
366.7469746595221,0.0
373.5259623943613,1.0
374.5259623943613,0.0
414.04362624152265,1.0
415.04362624152265,0.0
416.01919862181455,1.0
418.01919862181455,0.0
426.5864038303675,1.0
428.5864038303675,0.0
506.9239543667637,1.0
507.9239543667637,0.0
521.4163111207483,1.0
521.4950007088329,1.0
522.4163111207483,1.0
523.3376215326638,1.0
524.4163111207483,0.0
567.4422260042817,1.0
569.4422260042817,0.0
