Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.8654107465889611,1
0.9054107465889611,0
5.2945092574225665,1
5.3345092574225665,0
6.379509257422566,1
6.419509257422566,0
10.00079433445312,1
10.03571757292161,2
10.04079433445312,2
10.04587109598463,1
10.08079433445312,0
15.552811781351032,1
15.592811781351031,0
18.286581610838603,1
18.326581610838602,0
18.760465110261606,1
18.800465110261605,0
21.88331207835224,1
21.92331207835224,0
22.777854415060652,1
22.81785441506065,0
23.073329822672534,1
23.113329822672533,0
24.3702544446198,1
24.4102544446198,0
25.08573987418279,1
25.125739874182788,0
32.88962643075007,1
32.92962643075007,0
34.833883566538354,1
34.87388356653835,0
35.35276047323414,1
35.39276047323414,0
39.06681974895102,1
39.10681974895102,0
41.22344902263984,1
41.2544240926659,2
41.26344902263984,2
41.27247395261378,1
41.30344902263984,0
42.54150703416787,1
42.58150703416787,0
47.14520031301089,1
47.18520031301089,0
47.32322742025881,1
47.36322742025881,0
49.74908868249808,1
49.78908868249808,0
52.19009643565591,1
52.23009643565591,0
62.71392222626621,1
62.75392222626621,0
63.61801916551075,1
63.65801916551075,0
66.28019252130909,1
66.3201925213091,0
70.24588275602943,1
70.28588275602944,0
70.56185208261243,1
70.60185208261244,0
72.40329255045782,1
72.44329255045783,0
73.95372856342529,1
73.9937285634253,0
74.2800336047385,1
74.32003360473851,0
74.53723514041974,1
74.57723514041975,0
77.56757721721915,1
77.60757721721916,0
78.04250746143332,1
78.08250746143332,0
79.47338791557115,1
79.51338791557116,0
79.82987254000774,1
79.86987254000775,0
80.51460242246813,1
80.55460242246814,0
81.50422235112619,1
81.5442223511262,0
82.25436332976486,1
82.29436332976486,0
82.54464966194628,1
82.58464966194629,0
82.71996458882599,1
82.759964588826,0
83.89856468738216,1
83.93856468738217,0
92.42156849759625,1
92.46156849759626,0
93.1010688187734,1
93.1410688187734,0
96.10502062491774,1
96.14502062491775,0
96.38397510432199,1
96.423975104322,0
103.28240476080417,1
103.32240476080418,0
105.42502401636712,1
105.46502401636712,0
106.4924655436869,1
106.53246554368691,0
110.51002401636713,1
110.55002401636713,0
117.00626858803088,1
117.04626858803088,0
118.49145140319662,1
118.53145140319663,0
118.56145140319663,1
118.60145140319663,0
119.1738666648677,1
119.21386666486771,0
119.95325725804081,1
119.99325725804081,0
124.33556972144173,1
124.37556972144174,0
126.67960522235704,1
126.71960522235705,0
126.85303921153175,1
126.89303921153176,0
132.36438918829876,1
132.40438918829875,0
134.12269943482534,1
134.16269943482533,0
137.91659275444982,1
137.95659275444982,0
140.083215675335,1
140.123215675335,0
141.2587545620871,1
141.29875456208708,0
143.24485171717154,1
143.28485171717153,0
143.36779958954185,1
143.40779958954184,0
144.74033590990516,1
144.78033590990515,0
149.3298517171715,1
149.36985171717149,0
150.0392624146049,1
150.0792624146049,0
151.73096568626528,1
151.77096568626527,0
156.85412045190847,1
156.89412045190846,0
157.7262873548423,1
157.7662873548423,0
163.41540858230468,1
163.45540858230467,0
166.68376230250828,1
166.72376230250828,0
177.08205103295617,1
177.12205103295616,0
180.17745422100904,1
180.21745422100904,0
180.58070486690372,1
180.6207048669037,0
184.11689479232885,1
184.15689479232884,0
189.12665077565993,1
189.16665077565992,0
195.7167357363317,1
195.7567357363317,0
202.99704825285363,1
203.03704825285362,0
206.39732588439617,1
206.43732588439616,0
207.5689493009679,1
207.60894930096788,0
207.9615935142813,1
208.0015935142813,0
208.34124297271492,1
208.38124297271492,0
210.67222029303795,1
210.71222029303794,0
215.99555659397257,1
216.03555659397256,0
217.4058536436238,1
217.4458536436238,0
218.4400981703342,1
218.4800981703342,0
220.19907778032945,1
220.23907778032944,0
226.2956233309289,1
226.33562333092888,0
227.36836263234747,1
227.40836263234746,0
228.67964906233792,1
228.7196490623379,0
232.7469819746777,1
