Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.8104107465889611,1
0.8504107465889611,0
5.239509257422567,1
5.279509257422567,0
6.314868232523637,1
6.354868232523637,0
9.94071757292161,1
9.9756408113901,2
9.980717572921609,2
9.98579433445312,1
10.02071757292161,0
15.497811781351032,1
15.537811781351031,0
18.231581610838603,1
18.271581610838602,0
18.705465110261606,1
18.745465110261605,0
21.82831207835224,1
21.86831207835224,0
22.722854415060652,1
22.76285441506065,0
23.018329822672534,1
23.058329822672533,0
24.3152544446198,1
24.3552544446198,0
25.03073987418279,1
25.070739874182788,0
32.83462643075007,1
32.87462643075007,0
34.778883566538354,1
34.818883566538354,0
35.29776047323414,1
35.33776047323414,0
39.01181974895102,1
39.05181974895102,0
41.1594240926659,1
41.19039916269196,2
41.1994240926659,2
41.20844902263984,1
41.2394240926659,0
42.48650703416787,1
42.52650703416787,0
47.09020031301089,1
47.13020031301089,0
47.26822742025881,1
47.30822742025881,0
49.694088682498084,1
49.73408868249808,0
52.13509643565591,1
52.17509643565591,0
62.65892222626621,1
62.69892222626621,0
63.56301916551075,1
63.60301916551075,0
66.22519252130908,1
66.26519252130909,0
70.19088275602942,1
70.23088275602943,0
70.50685208261243,1
70.54685208261243,0
72.34829255045781,1
72.38829255045782,0
73.89872856342528,1
73.93872856342529,0
74.2250336047385,1
74.2650336047385,0
74.48223514041973,1
74.52223514041974,0
77.51257721721915,1
77.55257721721915,0
77.98750746143331,1
78.02750746143332,0
79.41838791557115,1
79.45838791557115,0
79.77487254000773,1
79.81487254000774,0
80.45960242246812,1
80.49960242246813,0
81.44922235112618,1
81.48922235112619,0
82.19936332976485,1
82.23936332976486,0
82.48964966194627,1
82.52964966194628,0
82.66496458882598,1
82.70496458882599,0
83.84356468738216,1
83.88356468738216,0
92.36656849759625,1
92.40656849759625,0
93.04606881877339,1
93.0860688187734,0
96.05002062491774,1
96.09002062491774,0
96.32897510432198,1
96.36897510432199,0
103.22740476080416,1
103.26740476080417,0
105.37002401636711,1
105.41002401636712,0
106.4374655436869,1
106.4774655436869,0
110.45113068100977,1
110.49113068100978,0
116.95126858803087,1
116.99126858803088,0
118.43645140319661,1
118.47645140319662,0
118.49317006162642,1
118.53317006162642,0
119.1188666648677,1
119.1588666648677,0
119.8982572580408,1
119.9382572580408,0
124.28056972144172,1
124.32056972144173,0
126.62460522235703,1
126.66460522235704,0
126.79803921153174,1
126.83803921153175,0
132.30938918829878,1
132.34938918829877,0
134.06769943482536,1
134.10769943482535,0
137.86159275444984,1
