Point in Time[s],Utilization of Active Resource[]
432.1470809683246,1.0
435.1470809683246,0.0
470.5849301679592,1.0
472.5849301679592,0.0
486.03820019555394,1.0
487.03820019555394,0.0
506.6911315682978,1.0
508.6911315682978,0.0
509.27512991362636,1.0
512.2751299136264,0.0
532.1097240418594,1.0
533.1097240418594,0.0
567.0061921232914,1.0
568.0061921232914,0.0
579.2779173291528,1.0
581.2779173291528,0.0
588.3679112750499,1.0
590.458333762771,1.0
591.3679112750499,1.0
592.2774887873288,1.0
592.3679112750499,0.0
