Point in Time[s],State of Active Resource[]
464.17170196654115,1
466.17170196654115,0
469.9744941635326,1
470.9744941635326,0
470.98267502461016,1
471.98267502461016,0
484.07979938126704,1
484.3242431658917,2
486.3242431658917,1
487.07979938126704,1
487.3329158929759,2
488.07979938126704,2
488.82668286955817,1
491.07979938126704,0
491.4021375121913,1
493.4021375121913,0
518.5871657677858,1
521.5871657677858,0
565.246283196865,1
566.246283196865,0
583.3942139287758,1
584.3942139287758,0
585.3084955433351,1
587.3084955433351,0
