Point in Time[s],State of Active Resource[]
0.11,1
1.1969020652040936,2
1.6097984088051471,3
3.11,3
3.9908633439692776,4
4.983582939036152,5
5.023097934795906,5
6.729747697791288,5
7.64270914906529,5
7.942761939866292,6
8.307490701572574,6
8.38043645391383,5
8.814946779934298,4
8.815492714021913,3
9.310816653895815,4
9.434427778857781,4
9.475631487178438,3
10.225022103915983,4
11.146815730970916,5
11.376743519140808,5
11.529637393785709,6
11.760650657549082,6
11.775940082198257,7
11.914109389193625,7
11.991003788275208,7
12.026847739288034,6
14.475832938291864,5
18.43766725109176,6
19.06047334424811,6
19.18503456287938,5
19.99879779197212,6
20.435731054975545,7
20.6400374657119,7
20.64195131054545,8
20.768285400459856,8
20.82371112470724,8
20.84967681244464,7
23.28611912421279,6
24.704369204653446,5
25.227522818988426,6
25.924748703995174,7
26.140938526902534,7
26.32362166848536,7
26.390100495900388,6
26.827033758903813,5
28.256404413959405,4
28.56266174421124,3
29.70883029723883,2
30.12337261655094,3
30.27876107442559,3
30.356455303362914,2
30.648629995044807,3
31.12747888095747,4
32.20106684548826,4
32.33980561881682,5
32.97728527071,5
33.5938874006275,5
33.907407846080176,4
33.9216740117099,5
34.93024371203259,6
36.895800862473315,7
37.54314046412712,7
38.448507077231426,7
38.81601249936585,8
39.15215975027119,8
39.52821956490417,8
39.62996343140964,7
42.91483617553679,8
42.951216440404934,8
42.95641362110038,7
43.123339107559225,8
43.77929242025515,9
45.07798541235424,9
45.35722059875353,9
45.554461621065826,8
45.91861530758083,9
46.00375062844706,10
48.09115751594664,10
48.36272529199236,10
48.62483358794184,9
50.4402590485227,8
50.588267794973106,7
50.83918877648711,8
50.99807247699516,9
51.83658698366404,10
51.8725073485615,10
52.02012428742927,10
52.147880763733525,10
52.18246896151903,9
52.92041643830195,8
53.26949489945175,7
54.66337287783238,6
55.11451601369972,5
57.37670672006977,4
57.4561485703238,3
57.46170672006977,4
57.75228696295359,4
57.84914704391487,3
57.89414704391487,4
58.8666879157982,5
60.16286562500814,6
61.93891971212759,6
63.287177268198505,6
64.39229960629858,6
65.23818640255666,5
66.26928375680525,6
67.93759821739575,6
68.27126110951384,5
68.72783891919772,4
68.81001699529573,3
69.53942264920822,2
70.0578937328922,1
70.11,0
89.11383784759016,1
89.92156246936528,2
90.11383784759016,2
90.30611322581504,1
91.11383784759016,0
97.4512618960193,1
98.4512618960193,0
101.87371545358499,1
104.87371545358499,0
123.58661633954803,1
124.21799913359627,2
125.58661633954803,2
125.59574048388546,3
126.9552335454998,3
127.63498007630696,2
130.89774566440343,1
131.58661633954802,0
140.81957430236065,1
142.81957430236065,0
146.30339964280836,1
148.30339964280836,0
153.93438729653883,1
155.12251404715377,2
155.93438729653883,2
156.7462605459239,1
157.0932677475549,2
157.93438729653883,2
158.77550684552276,1
160.93438729653883,0
171.7106972704115,1
172.9724301993584,2
174.7106972704115,2
174.89377556215496,3
175.47468877280613,4
176.44896434146457,4
177.22655873111938,4
177.59040011345647,5
177.81051538389048,5
177.86554420149898,4
178.75516664287974,3
178.8731485986849,2
180.62140725326216,3
182.23962510557408,3
183.04873403173002,2
183.99087836140487,1
184.7106972704115,0
199.41827611338692,1
202.41827611338692,0
211.13836885900943,1
212.13836885900943,0
222.55825779941765,1
225.55825779941765,0
227.0491808788283,1
230.0491808788283,0
253.33230335850732,1
256.3323033585073,0
266.06886722149954,1
268.06886722149954,0
290.76161944563717,1
291.76161944563717,0
292.2460847345538,1
294.2460847345538,0
332.61893355013285,1
334.61893355013285,0
339.2613148678312,1
342.2613148678312,0
358.6442872089925,1
360.6442872089925,0
360.87307887661893,1
361.87307887661893,0
362.3875381696655,1
364.34512160780133,2
365.3875381696655,2
366.34512160780133,1
366.3875381696655,0
372.06006169128324,1
375.06006169128324,0
381.5254084266359,1
384.5254084266359,0
398.9434359811474,1
400.9434359811474,0
405.89821972149656,1
406.89821972149656,0
409.2626054729294,1
411.2626054729294,0
412.3983239986732,1
414.3983239986732,0
415.76565002832507,1
418.76565002832507,0
418.92816859664777,1
419.4804907852516,2
419.92816859664777,2
420.3758464080439,1
422.92816859664777,0
423.49078098256155,1
425.49078098256155,0
426.8881689463885,1
427.187097829601,2
428.69540295275095,3
428.8881689463885,3
429.79339156858,4
430.58924006317596,4
431.53615861838847,4
432.1170809683246,3
433.01386761796215,2
434.5221727411121,1
434.8881689463885,0
439.82301422714437,1
441.82301422714437,0
456.3435182864305,1
457.3435182864305,0
473.46575665968095,1
474.46575665968095,0
481.46148901393167,1
484.46148901393167,0
489.08773662700077,1
490.08773662700077,0
519.2101712812962,1
522.2101712812962,0
522.808750642735,1
525.808750642735,0
530.9072746462349,1
531.0205394617518,2
532.9072746462349,2
534.794009830718,1
535.9072746462349,0
540.3062055680349,1
542.3062055680349,0
564.892535344084,1
565.892535344084,0
569.2717435291011,1
570.2717435291011,0
598.8382862359924,1
