Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
1.1419020652040937,1
1.1819020652040937,0
1.5547984088051472,1
1.5947984088051472,0
3.9358633439692774,1
3.9758633439692774,0
4.928582939036152,1
4.9685829390361524,0
7.887761939866293,1
7.927761939866293,0
9.255816653895815,1
9.295816653895814,0
10.170022103915983,1
10.210022103915982,0
11.091815730970916,1
11.131815730970915,0
11.47463739378571,1
11.514637393785708,0
11.720940082198258,1
11.760940082198257,0
18.38266725109176,1
18.42266725109176,0
19.94379779197212,1
19.98379779197212,0
20.380731054975545,1
20.420731054975544,0
20.58695131054545,1
20.62695131054545,0
25.172522818988426,1
25.212522818988425,0
25.869748703995175,1
25.909748703995174,0
30.068372616550942,1
30.10837261655094,0
30.593629995044807,1
30.633629995044807,0
31.07247888095747,1
31.112478880957468,0
32.28480561881682,1
32.32480561881682,0
33.8666740117099,1
33.906674011709896,0
34.87524371203259,1
34.91524371203259,0
36.840800862473316,1
36.880800862473315,0
38.76101249936585,1
38.80101249936585,0
42.85983617553679,1
42.89983617553679,0
43.068339107559225,1
43.108339107559225,0
43.72429242025515,1
43.76429242025515,0
45.86361530758083,1
45.90361530758083,0
45.94875062844706,1
45.98875062844706,0
50.78418877648711,1
50.82418877648711,0
50.94307247699516,1
50.98307247699516,0
51.78158698366404,1
51.82158698366404,0
57.40670672006977,1
57.44670672006977,0
57.824152902125725,1
57.864152902125724,0
58.8116879157982,1
58.8516879157982,0
60.10786562500814,1
60.14786562500814,0
63.7214375347611,1
63.7614375347611,0
66.21428375680524,1
66.25428375680525,0
67.47417462335653,1
67.51417462335654,0
72.29108174841446,1
72.33108174841446,0
78.94528617149633,1
78.98528617149634,0
80.34740432489573,1
80.38740432489574,0
81.63977643814674,1
81.67977643814675,0
82.18228308890811,1
82.22228308890811,0
88.85219072579521,1
88.89219072579522,0
89.05883784759015,1
89.09883784759016,0
89.86656246936528,1
89.90656246936528,0
90.0386432701636,1
90.07864327016361,0
92.49188828951637,1
92.53188828951637,0
94.18943283984092,1
94.22943283984092,0
94.69909486333476,1
94.73909486333477,0
97.3962618960193,1
97.4362618960193,0
100.41470426934514,1
100.45470426934514,0
101.09707344887005,1
101.13707344887005,0
101.81871545358499,1
101.85871545358499,0
103.2645211735789,1
103.3045211735789,0
104.2825449943278,1
104.3225449943278,0
105.78495200971489,1
105.82495200971489,0
106.50750878487723,1
106.54750878487724,0
107.8241149882521,1
107.86411498825211,0
109.40102764602135,1
109.44102764602135,0
110.02551417370194,1
110.06551417370194,0
112.44630313669684,1
112.48630313669685,0
114.50452521956046,1
114.54452521956047,0
116.12246001080132,1
116.16246001080133,0
118.64824432599512,1
118.68824432599513,0
118.9584076985507,1
118.99840769855071,0
121.78388930838075,1
121.82388930838076,0
123.53161633954802,1
123.57161633954803,0
124.16299913359626,1
124.20299913359626,0
125.54074048388546,1
125.58074048388546,0
126.51270909522157,1
126.55270909522157,0
127.42924595774484,1
127.46924595774485,0
137.87030995079627,1
137.91030995079626,0
140.76457430236067,1
140.80457430236066,0
145.13891204253443,1
145.17891204253442,0
146.24839964280838,1
146.28839964280837,0
150.4452724962489,1
150.48527249624888,0
153.87938729653885,1
153.91938729653884,0
155.0675140471538,1
155.10751404715378,0
156.179345679096,1
156.219345679096,0
156.71332120928682,1
156.7533212092868,0
157.03826774755493,1
157.07826774755492,0
161.04017116836036,1
161.08017116836035,0
164.39241900351198,1
164.43241900351197,0
167.2216197326512,1
167.26161973265118,0
171.6556972704115,1
171.6956972704115,0
172.91743019935842,1
172.9574301993584,0
174.83877556215498,1
174.87877556215497,0
175.41968877280615,1
175.45968877280615,0
177.5354001134565,1
177.57540011345648,0
177.82697459075456,1
177.86697459075455,0
180.56640725326218,1
180.60640725326218,0
181.1912443019694,1
181.23124430196938,0
181.35851820620238,1
