Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
1.0869020652040937,1
1.1269020652040938,0
1.4997984088051473,1
1.5397984088051473,0
3.8808633439692772,1
3.9208633439692773,0
4.873582939036153,1
4.913582939036153,0
7.832761939866293,1
7.872761939866293,0
9.200816653895815,1
9.240816653895815,0
10.115022103915983,1
10.155022103915982,0
11.036815730970917,1
11.076815730970916,0
11.41963739378571,1
11.459637393785709,0
11.665940082198258,1
11.705940082198257,0
18.32766725109176,1
18.36766725109176,0
19.88879779197212,1
19.92879779197212,0
20.325731054975545,1
20.365731054975544,0
20.531951310545452,1
20.57195131054545,0
25.117522818988427,1
25.157522818988426,0
25.814748703995175,1
25.854748703995174,0
30.013372616550942,1
30.05337261655094,0
30.538629995044808,1
30.578629995044807,0
31.01747888095747,1
31.05747888095747,0
32.22980561881682,1
32.26980561881682,0
33.8116740117099,1
33.851674011709896,0
34.82024371203259,1
34.86024371203259,0
36.785800862473316,1
36.825800862473315,0
38.70601249936585,1
38.74601249936585,0
42.80483617553679,1
42.84483617553679,0
43.013339107559226,1
43.053339107559225,0
43.669292420255154,1
43.70929242025515,0
45.80861530758083,1
45.84861530758083,0
45.89375062844706,1
45.93375062844706,0
50.72918877648711,1
50.76918877648711,0
50.88807247699516,1
50.92807247699516,0
51.72658698366404,1
51.76658698366404,0
57.340226569439494,1
57.38022656943949,0
57.769152902125725,1
57.809152902125724,0
58.7566879157982,1
58.7966879157982,0
60.05286562500814,1
60.09286562500814,0
63.6664375347611,1
63.7064375347611,0
66.15928375680524,1
66.19928375680524,0
67.41917462335653,1
67.45917462335653,0
72.23608174841445,1
72.27608174841446,0
78.89028617149633,1
78.93028617149633,0
80.29240432489573,1
80.33240432489573,0
81.58477643814673,1
81.62477643814674,0
82.1272830889081,1
82.1672830889081,0
88.7971907257952,1
88.83719072579521,0
89.00383784759015,1
89.04383784759015,0
89.81156246936527,1
89.85156246936528,0
89.9836432701636,1
90.0236432701636,0
92.43688828951636,1
92.47688828951637,0
94.13443283984091,1
94.17443283984092,0
94.64409486333476,1
94.68409486333476,0
97.34126189601929,1
97.3812618960193,0
100.35970426934513,1
100.39970426934514,0
101.04207344887004,1
101.08207344887005,0
101.76371545358498,1
101.80371545358499,0
103.20952117357889,1
103.2495211735789,0
104.22754499432779,1
104.26754499432779,0
105.72995200971488,1
105.76995200971488,0
106.45250878487722,1
106.49250878487723,0
107.7691149882521,1
107.8091149882521,0
109.34602764602134,1
109.38602764602135,0
109.97051417370193,1
110.01051417370194,0
112.39130313669683,1
