Point in Time[s],State of Active Resource[]
0.11,1
2.501122430327769,2
3.11,2
3.7188775696722307,1
4.019957318635494,2
6.019957318635494,1
6.109999999999999,1
7.109999999999999,0
7.562880288505166,1
9.023560525968575,2
9.063560525968574,3
9.332554776029038,4
9.99209260384277,5
10.562880288505166,5
11.714509308983644,6
12.102200051041757,6
12.957866828367782,7
13.332554776029038,7
13.621519813578349,7
14.167670319075604,7
14.338154924403982,8
14.658302521093997,8
14.9417084698817,8
15.027930404949945,7
15.493770889926845,8
16.182121603623976,8
16.280457419866426,7
17.080390666325005,8
18.13385130880745,8
18.284345686304942,7
18.84233518456114,6
20.085692703945277,5
22.08110799727759,6
22.898525622978514,6
23.062009148118698,5
24.220280702800604,6
24.598928512743196,7
25.8268448192474,8
26.117882222923203,8
26.497402526947724,8
26.813814862648478,8
26.954810583134346,7
27.094810583134343,6
27.1154674728458,5
27.879320351741956,4
28.075834228413054,3
32.26124773664275,2
32.387463673290284,1
32.52701998934731,2
32.56288028850517,2
32.59874058766303,1
33.56288028850517,0
39.90354792895721,1
41.241332881839135,2
42.90354792895721,2
44.565762976075284,1
44.90354792895721,0
47.02829600299979,1
48.02829600299979,0
49.861384855169696,1
50.6117588788085,2
50.918353495533005,3
51.861384855169696,3
53.11101083153089,3
53.918353495533005,2
54.09783733843315,3
54.11101083153089,3
54.11759757807976,2
54.901842200836754,3
56.10442408498202,3
56.70571502705465,2
57.503133142909384,1
57.861384855169696,0
59.4202541806889,1
62.4202541806889,0
65.52746278650145,1
67.5023836081314,2
67.52746278650145,2
67.5525419648715,1
68.30730740345412,2
70.52746278650145,2
70.90680458082119,3
72.74761816954877,3
73.66802496391256,2
73.78318855137685,3
75.2277141978179,3
75.94997702103844,2
76.50545137459738,1
77.52746278650145,0
89.40778676654887,1
90.40778676654887,0
91.9722860417903,1
93.9722860417903,0
94.75935066626212,1
95.75935066626212,0
106.11076537114,1
107.11076537114,0
117.52685962964294,1
118.52685962964294,0
121.30430217914771,1
121.66819623746649,2
123.30430217914771,2
123.66819623746649,1
124.30430217914771,0
125.490625653085,1
126.490625653085,0
127.55175634756014,1
128.55175634756014,0
136.54584013182,1
138.54584013182,0
146.63175859729526,1
148.63175859729526,0
153.0088778728257,1
156.0088778728257,0
159.57814981812118,1
161.57814981812118,0
166.68564040435024,1
169.68564040435024,0
170.91323986262833,1
172.91323986262833,0
174.94827394141322,1
177.94827394141322,0
187.92919659586283,1
188.92919659586283,0
189.23058963370914,1
189.8147592286972,2
190.03725662041097,3
190.23058963370914,3
190.6464200387211,3
190.95100174787615,2
194.34183832956603,1
195.23058963370914,0
197.64579479112507,1
199.64579479112507,0
218.15576766460927,1
221.15576766460927,0
237.33611304331671,1
238.33611304331671,0
242.78317544817634,1
245.78317544817634,0
256.7479451580108,1
257.5600664697248,2
257.7479451580108,2
257.9358238462968,1
258.7479451580108,0
259.04566119752275,1
261.04566119752275,0
263.4158328706428,1
264.4158328706428,0
265.3082673517765,1
266.3082673517765,0
268.00298646318885,1
269.00298646318885,0
270.96016197305534,1
272.96016197305534,0
274.47170017123676,1
275.47170017123676,0
278.38631611066575,1
280.38631611066575,0
286.8846198419757,1
288.8846198419757,0
289.7306380067276,1
291.7306380067276,0
292.6385449034872,1
294.625090338568,2
295.6385449034872,2
296.25734696253267,3
296.625090338568,3
296.8089620265856,2
296.835871156424,1
298.6385449034872,0
302.60968294234135,1
303.60968294234135,0
309.60345053285744,1
312.60345053285744,0
330.6713626862434,1
332.6713626862434,0
332.7804145611247,1
333.7804145611247,0
337.21959051454274,1
338.21959051454274,0
348.13944421357223,1
349.13944421357223,0
354.92040376922756,1
355.92040376922756,0
358.3988811971579,1
360.3988811971579,0
374.6090777134628,1
375.6090777134628,0
384.7308576768777,1
386.7308576768777,0
387.08010405483543,1
390.08010405483543,0
392.10286357593026,1
394.10286357593026,0
396.1687869995286,1
397.1687869995286,0
398.57380184522555,1
399.57380184522555,0
408.40139399603714,1
409.40139399603714,0
410.32371671295857,1
410.7909630622844,2
413.32371671295857,2
414.7909630622844,1
415.32371671295857,0
415.85966278832126,1
415.8996627883213,2
417.85966278832126,2
417.8996627883213,1
418.85966278832126,0
420.1146835106799,1
421.1146835106799,0
425.2189964016072,1
427.2189964016072,0
437.0845233762373,1
437.92827877730116,2
438.0845233762373,2
438.24076797517347,1
441.0845233762373,0
453.04499634068475,1
454.04499634068475,0
459.02444314430113,1
460.02444314430113,0
471.2846293116894,1
472.2846293116894,0
477.8768718309838,1
479.8768718309838,0
488.87065184236485,1
491.87065184236485,0
495.34854452595357,1
496.34854452595357,0
501.5133206813255,1
502.5133206813255,0
503.56490370570106,1
504.56490370570106,0
521.3560340066225,1
522.3560340066225,0
522.9971494341697,1
523.9971494341697,0
524.7572517662967,1
527.7572517662967,0
531.1854259966011,1
534.1854259966011,0
534.7532097208432,1
535.7532097208432,0
536.5703213891104,1
538.5703213891104,0
542.7155406143467,1
543.4046816711135,2
544.7155406143467,2
546.0263995575798,1
546.7155406143467,0
573.3316221832463,1
574.3316221832463,0
576.9607603253799,1
579.0516257733348,2
579.9607603253799,2
580.8698948774249,1
581.1410208186146,2
582.9607603253799,2
584.7804998321451,1
584.9607603253799,0
592.4291244570774,1
595.4291244570774,0
598.7493060153903,1
