Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
2.446122430327769,1
2.486122430327769,0
3.9649573186354945,1
4.004957318635494,0
7.5078802885051665,1
7.547880288505167,0
8.958822140805506,1
8.998822140805505,0
9.008560525968575,1
9.048560525968574,0
9.277554776029039,1
9.317554776029038,0
9.937092603842771,1
9.97709260384277,0
11.659509308983644,1
11.699509308983643,0
12.902866828367783,1
12.942866828367782,0
14.283154924403982,1
14.323154924403982,0
15.438770889926845,1
15.478770889926844,0
17.025390666325006,1
17.065390666325005,0
22.02610799727759,1
22.06610799727759,0
24.165280702800604,1
24.205280702800604,0
24.543928512743197,1
24.583928512743196,0
25.7718448192474,1
25.811844819247398,0
32.47201998934731,1
32.51201998934731,0
39.84854792895721,1
39.88854792895721,0
41.186332881839135,1
41.226332881839134,0
46.97329600299979,1
47.01329600299979,0
49.806384855169696,1
49.846384855169696,0
50.5567588788085,1
50.5967588788085,0
50.863353495533005,1
50.903353495533004,0
54.04283733843315,1
54.08283733843315,0
54.846842200836754,1
54.88684220083675,0
59.3652541806889,1
59.4052541806889,0
65.47246278650144,1
65.51246278650144,0
67.44738360813139,1
67.4873836081314,0
68.25230740345411,1
68.29230740345412,0
70.85180458082118,1
70.89180458082119,0
73.72818855137685,1
73.76818855137685,0
79.51573928610634,1
79.55573928610634,0
81.17655557992839,1
81.2165555799284,0
81.82382087997401,1
81.86382087997401,0
84.27120990744771,1
84.31120990744772,0
84.56305515569656,1
84.60305515569657,0
88.20699463899888,1
88.24699463899888,0
88.48468869754424,1
88.52468869754425,0
88.61130544926598,1
88.65130544926599,0
89.35278676654886,1
89.39278676654887,0
91.91728604179029,1
91.9572860417903,0
94.70435066626212,1
94.74435066626212,0
97.3297477748562,1
97.36974777485621,0
99.94079958274989,1
99.9807995827499,0
101.19692307864908,1
101.23692307864908,0
104.13575516515178,1
104.17575516515178,0
106.05576537114,1
106.09576537114,0
107.23575516515179,1
107.27575516515179,0
113.49456068828886,1
113.53456068828886,0
113.78652801889056,1
113.82652801889057,0
116.43526974031636,1
116.47526974031636,0
117.31200501748609,1
117.35200501748609,0
117.47185962964294,1
117.51185962964294,0
121.2493021791477,1
121.28930217914771,0
121.61319623746648,1
121.65319623746649,0
122.25856217202183,1
122.29856217202183,0
125.36431123034681,1
125.40431123034682,0
125.435625653085,1
125.475625653085,0
127.49675634756014,1
127.53675634756014,0
136.1214765440185,1
136.16147654401848,0
136.49084013182002,1
136.53084013182,0
143.75651406617007,1
143.79651406617006,0
144.91763912771634,1
144.95763912771633,0
146.53675859729526,1
146.5541506510163,2
146.57675859729525,2
146.59936654357423,1
146.61675859729527,0
147.79598100338654,1
147.83598100338654,0
149.45730422819148,1
149.49730422819147,0
149.77617794852688,1
149.81617794852687,0
150.63268775102975,1
150.67268775102974,0
152.95387787282573,1
152.99387787282572,0
153.22639111659421,1
153.2663911165942,0
156.40029623998726,1
156.44029623998725,0
159.5231498181212,1
159.5631498181212,0
162.8991822338146,1
162.9391822338146,0
166.63064040435026,1
166.67064040435025,0
166.9772459406356,1
167.0172459406356,0
168.58706953840775,1
168.62706953840774,0
170.83863648201836,1
170.8590331014084,2
170.87863648201835,2
170.89823986262834,1
170.91863648201837,0
173.04347283086398,1
173.08347283086397,0
173.4618497673343,1
173.50184976733428,0
174.89327394141324,1
174.93327394141323,0
179.39603448453153,1
179.43603448453152,0
179.76770045936144,1
179.80770045936143,0
182.05796136034115,1
182.09796136034115,0
184.97342667914688,1
185.01342667914687,0
186.3466506598162,1
186.38665065981618,0
187.87419659586286,1
187.91419659586285,0
189.17558963370917,1
189.21558963370916,0
189.75975922869722,1
189.7997592286972,0
189.982256620411,1
190.02225662041099,0
190.8548272040366,1
190.8948272040366,0
194.071488922522,1
194.111488922522,0
194.99490952684243,1
195.03490952684243,0
