Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
2.3911224303277687,1
2.4311224303277688,0
3.9099573186354943,1
3.9499573186354944,0
7.452880288505167,1
7.492880288505167,0
8.903822140805506,1
8.943822140805505,0
8.953560525968575,1
8.993560525968574,0
9.222554776029039,1
9.262554776029038,0
9.882092603842771,1
9.92209260384277,0
11.604509308983644,1
11.644509308983643,0
12.847866828367783,1
12.887866828367782,0
14.228154924403983,1
14.268154924403982,0
15.383770889926845,1
15.423770889926844,0
16.970390666325006,1
17.010390666325005,0
21.971107997277592,1
22.01110799727759,0
24.110280702800605,1
24.150280702800604,0
24.488928512743197,1
24.528928512743196,0
25.7168448192474,1
25.756844819247398,0
32.41701998934731,1
32.45701998934731,0
39.79354792895721,1
39.83354792895721,0
41.131332881839135,1
41.171332881839135,0
46.91829600299979,1
46.95829600299979,0
49.7513848551697,1
49.791384855169696,0
50.5017588788085,1
50.5417588788085,0
50.808353495533005,1
50.848353495533004,0
53.98783733843315,1
54.02783733843315,0
54.791842200836754,1
54.83184220083675,0
59.3102541806889,1
59.3502541806889,0
65.41746278650143,1
65.45746278650144,0
67.39238360813138,1
67.43238360813139,0
68.1973074034541,1
68.23730740345411,0
70.79680458082117,1
70.83680458082118,0
73.67318855137684,1
73.71318855137685,0
79.46073928610633,1
79.50073928610634,0
81.12155557992838,1
81.16155557992839,0
81.768820879974,1
81.80882087997401,0
84.2162099074477,1
84.25620990744771,0
84.50805515569655,1
84.54805515569656,0
88.15199463899887,1
88.19199463899888,0
88.42968869754424,1
88.46968869754424,0
88.55630544926598,1
88.59630544926598,0
89.29778676654885,1
89.33778676654886,0
91.86228604179028,1
91.90228604179029,0
94.64935066626211,1
94.68935066626211,0
97.2747477748562,1
97.3147477748562,0
99.88579958274988,1
99.92579958274989,0
101.14192307864907,1
101.18192307864908,0
104.08075516515177,1
104.12075516515178,0
106.00076537113999,1
106.04076537114,0
107.16940205316733,1
107.20940205316734,0
113.43956068828885,1
113.47956068828886,0
113.73152801889056,1
113.77152801889056,0
116.38026974031635,1
116.42026974031636,0
117.25700501748608,1
117.29700501748609,0
117.41685962964293,1
117.45685962964293,0
121.1943021791477,1
121.2343021791477,0
121.55819623746648,1
121.59819623746648,0
122.20356217202182,1
122.24356217202183,0
125.30931123034681,1
125.34931123034681,0
125.38062565308499,1
125.420625653085,0
127.44175634756013,1
127.48175634756014,0
136.0664765440185,1
136.1064765440185,0
136.43584013182004,1
136.47584013182004,0
143.7015140661701,1
143.74151406617008,0
144.86263912771636,1
