Point in Time[s],State of Active Resource[]
0.11,1
1.88496011258588,2
2.11,2
2.33503988741412,1
4.109999999999999,0
6.092766669491246,1
8.092766669491246,0
9.527079613346574,1
11.527079613346574,0
16.715040101031292,1
17.377495122984936,2
17.900182165072515,3
19.715040101031292,3
21.377495122984936,3
21.782725255637423,4
22.43369617189935,5
23.116151601941148,5
23.560627050709055,5
23.84235977041148,4
24.88773385458664,3
25.116338225594337,2
25.40452362073652,3
27.877782830096773,3
29.114412434776902,2
29.199412434776903,3
29.923844958198703,4
30.641153225416648,4
31.00861868413872,5
31.096246454683165,6
31.36202362073652,6
31.39535458114175,7
31.841416508249125,7
32.049615964276725,7
32.24028986619544,7
32.381112413704386,6
32.824433667392256,5
32.92446342673119,6
33.4619589016738,7
35.058034851756005,7
35.48474913676097,7
35.82188084260883,6
37.44904143151886,5
38.32397779610262,6
39.40741574485453,6
39.62410333460491,5
40.10237432480788,4
42.22316029841252,3
42.37271436164181,2
44.842145111624575,1
45.66212256814895,2
45.71504010103129,2
45.76795763391364,1
48.11781351690988,2
48.71504010103129,2
49.312266685152714,1
50.71504010103129,0
52.76986394747887,1
54.76986394747887,0
56.12805977214313,1
57.724101561005476,2
58.45735871183198,3
59.10803811155864,4
59.12805977214313,4
59.68647601414193,5
59.724101561005476,5
60.357472985592224,5
60.77395127693675,5
61.04582009263546,4
62.66165293718608,3
66.20034342973953,2
67.76655716325509,1
68.12805977214313,0
81.52809350959541,1
82.52809350959541,0
82.68106769698899,1
83.68106769698899,0
84.325803026477,1
87.325803026477,0
88.78215691747549,1
90.78215691747549,0
98.32244633522986,1
101.32244633522986,0
106.18198769757957,1
107.18198769757957,0
144.45406477825233,1
146.45406477825233,0
161.04326339479618,1
163.04326339479618,0
172.69983511661795,1
174.69983511661795,0
205.26346494717117,1
207.26346494717117,0
239.81869271639468,1
240.81869271639468,0
246.56109986341116,1
249.21640710494535,2
249.56109986341116,2
249.90579262187697,1
252.56109986341116,0
278.2318699835828,1
281.2318699835828,0
294.5881705251261,1
295.5881705251261,0
332.16090999066586,1
335.16090999066586,0
346.44013404092317,1
347.44013404092317,0
382.33670263515086,1
383.33670263515086,0
408.29085447226083,1
410.29085447226083,0
417.70994736932636,1
418.70994736932636,0
420.3708301632132,1
422.3708301632132,0
437.2614719260229,1
437.64748805228254,2
439.3722171479915,3
439.64748805228254,3
439.78512350442804,2
440.2614719260229,2
441.509852600137,1
442.2614719260229,0
450.248361673803,1
453.248361673803,0
473.92660393619633,1
475.92660393619633,0
480.1825340100882,1
483.1825340100882,0
522.9320289810726,1
525.9320289810726,0
536.5196707364894,1
536.7080222958748,2
538.5196707364894,2
538.7080222958748,1
539.5196707364894,0
558.8932218029513,1
559.8932218029513,0
560.8034465533964,1
563.8034465533964,0
