Point in Time[s],Utilization of Active Resource[]
0.11,1.0
1.88496011258588,1.0
2.11,1.0
2.33503988741412,1.0
4.109999999999999,0.0
6.092766669491246,1.0
8.092766669491246,0.0
9.527079613346574,1.0
11.527079613346574,0.0
16.715040101031292,1.0
17.377495122984936,1.0
17.900182165072515,1.0
19.715040101031292,1.0
21.377495122984936,1.0
21.782725255637423,1.0
22.43369617189935,1.0
23.116151601941148,1.0
23.560627050709055,1.0
23.84235977041148,1.0
24.88773385458664,1.0
25.116338225594337,1.0
25.40452362073652,1.0
27.877782830096773,1.0
29.114412434776902,1.0
29.199412434776903,1.0
29.923844958198703,1.0
30.641153225416648,1.0
31.00861868413872,1.0
31.096246454683165,1.0
31.36202362073652,1.0
31.39535458114175,1.0
31.841416508249125,1.0
32.049615964276725,1.0
32.24028986619544,1.0
32.381112413704386,1.0
32.824433667392256,1.0
32.92446342673119,1.0
33.4619589016738,1.0
35.058034851756005,1.0
35.48474913676097,1.0
35.82188084260883,1.0
37.44904143151886,1.0
38.32397779610262,1.0
39.40741574485453,1.0
39.62410333460491,1.0
40.10237432480788,1.0
42.22316029841252,1.0
42.37271436164181,1.0
44.842145111624575,1.0
45.66212256814895,1.0
45.71504010103129,1.0
45.76795763391364,1.0
48.11781351690988,1.0
48.71504010103129,1.0
49.312266685152714,1.0
50.71504010103129,0.0
52.76986394747887,1.0
54.76986394747887,0.0
56.12805977214313,1.0
57.724101561005476,1.0
58.45735871183198,1.0
59.10803811155864,1.0
59.12805977214313,1.0
59.68647601414193,1.0
59.724101561005476,1.0
60.357472985592224,1.0
60.77395127693675,1.0
61.04582009263546,1.0
62.66165293718608,1.0
66.20034342973953,1.0
67.76655716325509,1.0
68.12805977214313,0.0
81.52809350959541,1.0
82.52809350959541,0.0
82.68106769698899,1.0
83.68106769698899,0.0
84.325803026477,1.0
87.325803026477,0.0
88.78215691747549,1.0
90.78215691747549,0.0
98.32244633522986,1.0
101.32244633522986,0.0
106.18198769757957,1.0
107.18198769757957,0.0
144.45406477825233,1.0
146.45406477825233,0.0
161.04326339479618,1.0
163.04326339479618,0.0
172.69983511661795,1.0
174.69983511661795,0.0
205.26346494717117,1.0
207.26346494717117,0.0
239.81869271639468,1.0
240.81869271639468,0.0
246.56109986341116,1.0
249.21640710494535,1.0
249.56109986341116,1.0
249.90579262187697,1.0
252.56109986341116,0.0
278.2318699835828,1.0
281.2318699835828,0.0
294.5881705251261,1.0
295.5881705251261,0.0
332.16090999066586,1.0
335.16090999066586,0.0
346.44013404092317,1.0
347.44013404092317,0.0
382.33670263515086,1.0
383.33670263515086,0.0
408.29085447226083,1.0
410.29085447226083,0.0
417.70994736932636,1.0
418.70994736932636,0.0
420.3708301632132,1.0
422.3708301632132,0.0
437.2614719260229,1.0
437.64748805228254,1.0
439.3722171479915,1.0
439.64748805228254,1.0
439.78512350442804,1.0
440.2614719260229,1.0
441.509852600137,1.0
442.2614719260229,0.0
450.248361673803,1.0
453.248361673803,0.0
473.92660393619633,1.0
475.92660393619633,0.0
480.1825340100882,1.0
483.1825340100882,0.0
522.9320289810726,1.0
525.9320289810726,0.0
536.5196707364894,1.0
536.7080222958748,1.0
538.5196707364894,1.0
538.7080222958748,1.0
539.5196707364894,0.0
558.8932218029513,1.0
559.8932218029513,0.0
560.8034465533964,1.0
563.8034465533964,0.0
