Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
1.82996011258588,1
1.86996011258588,0
6.037766669491246,1
6.077766669491246,0
9.472079613346574,1
9.512079613346573,0
16.660040101031292,1
16.70004010103129,0
17.322495122984936,1
17.362495122984935,0
17.845182165072515,1
17.885182165072514,0
21.727725255637424,1
21.767725255637423,0
22.37869617189935,1
22.41869617189935,0
25.34952362073652,1
25.38952362073652,0
29.144412434776903,1
29.184412434776903,0
29.868844958198704,1
29.908844958198703,0
30.95361868413872,1
30.99361868413872,0
31.041246454683165,1
31.081246454683164,0
31.34035458114175,1
31.38035458114175,0
32.86946342673119,1
32.909463426731186,0
33.4069589016738,1
33.4469589016738,0
38.26897779610262,1
38.30897779610262,0
45.60712256814895,1
45.64712256814895,0
48.06281351690988,1
48.102813516909876,0
52.71486394747887,1
52.75486394747887,0
56.07305977214313,1
56.11305977214313,0
57.669101561005476,1
57.709101561005475,0
58.40235871183198,1
58.44235871183198,0
59.05303811155864,1
59.09303811155864,0
59.63147601414193,1
59.67147601414193,0
62.53063916781857,1
62.57063916781857,0
62.691652937186085,1
62.731652937186084,0
66.893507809606,1
66.93350780960601,0
69.87834776258389,1
69.91834776258389,0
70.3980967967749,1
70.4380967967749,0
73.130086096071,1
73.170086096071,0
74.36986314491551,1
74.40986314491552,0
77.52322848432074,1
77.56322848432075,0
79.38819084785474,1
79.42819084785475,0
79.89132069499797,1
79.93132069499798,0
81.20157369300696,1
81.24157369300697,0
81.4730935095954,1
81.51309350959541,0
82.6126966787619,1
82.65269667876191,0
84.270803026477,1
84.310803026477,0
86.44267409087148,1
86.48267409087148,0
87.19389982178784,1
87.23389982178784,0
88.57079026104157,1
88.61079026104157,0
88.72715691747548,1
88.76715691747549,0
96.10995493182385,1
96.14995493182386,0
96.91262508243477,1
96.95262508243478,0
98.26744633522985,1
98.30744633522986,0
99.25098915050467,1
99.29098915050467,0
102.4657743596246,1
102.50577435962461,0
102.81883417506742,1
102.85883417506743,0
103.58977871764809,1
103.6297787176481,0
104.78019796789779,1
104.8201979678978,0
106.12698769757957,1
106.16698769757957,0
106.20345029969008,1
106.24345029969008,0
106.56732618705247,1
106.60732618705248,0
106.91841402511731,1
106.95841402511732,0
107.14274436841511,1
107.18274436841511,0
107.9155730131104,1
107.95557301311041,0
109.59569523957393,1
109.63535254179875,2
109.63569523957393,2
109.6360379373491,1
109.67569523957393,0
116.25012290329343,1
116.29012290329344,0
117.61378642768364,1
117.63806096582569,2
117.65378642768364,2
117.66951188954158,1
117.69378642768363,0
118.53279216545238,1
118.57279216545238,0
123.53650260996965,1
123.57650260996965,0
124.50011812218901,1
124.54011812218901,0
126.76624519708551,1
126.80624519708552,0
127.11341176239618,1
127.15341176239619,0
135.7123633446817,1
135.7523633446817,0
135.98754151851324,1
136.02754151851323,0
138.0887820502939,1
138.1287820502939,0
143.56895786285406,1
143.60895786285406,0
144.39906477825235,1
144.43906477825234,0
148.74922332168322,1
148.7892233216832,0
153.19861511083505,1
153.23861511083504,0
153.65906810505257,1
153.69906810505256,0
155.97043874334065,1
156.01043874334064,0
160.68116928529435,1
160.72116928529434,0
160.9882633947962,1
161.0282633947962,0
165.3637108279162,1
165.4037108279162,0
165.8493862884757,1
165.8893862884757,0
170.7583568978967,1
170.7983568978967,0
171.50218174224872,1
171.54218174224872,0
172.64483511661797,1
172.68483511661796,0
174.91783740237994,1
174.95783740237994,0
175.73453403182302,1
175.774534031823,0
176.46961298035615,1
176.50961298035614,0
176.602607574786,1
176.64260757478598,0
176.9310457285756,1
176.9710457285756,0
177.23720398601495,1
177.27720398601494,0
177.93413983137066,1
177.97413983137065,0
179.64125845926523,1
179.68125845926522,0
190.86346887601943,1
190.90346887601942,0
193.10489271020052,1
193.1198927102005,2
193.1448927102005,2
193.16989271020054,1
