Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
1.77496011258588,1
1.81496011258588,0
5.982766669491246,1
6.022766669491246,0
9.417079613346575,1
9.457079613346574,0
16.605040101031292,1
16.64504010103129,0
17.267495122984936,1
17.307495122984935,0
17.790182165072515,1
17.830182165072515,0
21.672725255637424,1
21.712725255637423,0
22.32369617189935,1
22.36369617189935,0
25.29452362073652,1
25.33452362073652,0
29.08709499843552,1
29.12709499843552,0
29.813844958198704,1
29.853844958198703,0
30.89861868413872,1
30.93861868413872,0
30.986246454683165,1
31.026246454683164,0
31.28535458114175,1
31.32535458114175,0
32.81446342673119,1
32.854463426731186,0
33.351958901673804,1
33.3919589016738,0
38.21397779610262,1
38.25397779610262,0
45.55212256814895,1
45.59212256814895,0
48.00781351690988,1
48.047813516909876,0
52.65986394747887,1
52.69986394747887,0
56.01805977214313,1
56.05805977214313,0
57.61410156100548,1
57.654101561005476,0
58.34735871183198,1
58.38735871183198,0
58.99803811155864,1
59.03803811155864,0
59.57647601414193,1
59.61647601414193,0
62.47563916781857,1
62.51563916781857,0
62.62446101753847,1
62.66446101753847,0
66.838507809606,1
66.878507809606,0
69.82334776258388,1
69.86334776258389,0
70.34309679677489,1
70.3830967967749,0
73.07508609607099,1
73.115086096071,0
74.3148631449155,1
74.35486314491551,0
77.46822848432073,1
77.50822848432074,0
79.33319084785474,1
79.37319084785474,0
79.83632069499797,1
79.87632069499797,0
81.14657369300696,1
81.18657369300696,0
81.4180935095954,1
81.4580935095954,0
82.5576966787619,1
82.5976966787619,0
84.21580302647699,1
84.255803026477,0
86.38767409087147,1
86.42767409087148,0
87.13889982178783,1
87.17889982178784,0
88.51579026104156,1
88.55579026104157,0
88.67215691747548,1
88.71215691747548,0
96.05495493182384,1
96.09495493182385,0
96.85762508243477,1
96.89762508243477,0
98.21244633522984,1
98.25244633522985,0
99.19598915050466,1
99.23598915050466,0
102.4107743596246,1
102.4507743596246,0
102.76383417506742,1
102.80383417506742,0
103.53477871764808,1
103.57477871764809,0
104.72519796789778,1
104.76519796789779,0
106.07198769757956,1
106.11198769757956,0
106.14845029969007,1
106.18845029969007,0
106.51232618705247,1
106.55232618705247,0
106.86341402511731,1
106.90341402511731,0
107.0877443684151,1
107.12774436841511,0
107.8605730131104,1
107.9005730131104,0
109.54035254179875,1
109.58000984402358,2
109.58035254179876,2
109.58069523957393,1
109.62035254179875,0
116.19512290329342,1
116.23512290329343,0
117.54306096582569,1
117.56733550396774,2
117.5830609658257,2
117.59878642768363,1
117.62306096582569,0
