Point in Time[s],State of Active Resource[]
106.6335037905995,1
107.35875994290345,2
107.39875994290345,3
108.6335037905995,3
109.40781575317865,4
109.90824763829556,4
111.16299148599163,4
111.74805006359594,3
112.2697448582934,4
113.92381852050777,4
114.47517640791256,3
115.82110274569818,2
116.30318906069124,1
116.6335037905995,0
121.0822179091588,1
124.0822179091588,0
172.19939369114238,1
174.19939369114238,0
205.91181610806612,1
208.91181610806612,0
209.0531784734407,1
212.0531784734407,0
216.6853797674436,1
219.6853797674436,0
243.89655624608076,1
246.89655624608076,0
312.2605381444895,1
313.2605381444895,0
324.7026819368266,1
327.7026819368266,0
352.9461329092721,1
355.9461329092721,0
360.2228678594247,1
361.2228678594247,0
363.32854957440367,1
365.32854957440367,0
367.71353660474733,1
369.71353660474733,0
379.56979323423724,1
380.56979323423724,0
396.26931113395295,1
399.26931113395295,0
403.29704313195924,1
404.915301629376,2
405.29704313195924,2
405.67878463454247,1
408.29704313195924,0
423.8711164580895,1
426.8711164580895,0
442.46745366114334,1
445.46745366114334,0
482.91127264427917,1
484.5976256035849,2
485.91127264427917,2
486.5976256035849,1
486.91127264427917,0
487.64975176806365,1
487.7299753190762,2
489.7299753190762,1
490.64975176806365,1
491.64975176806365,0
506.2143938035631,1
509.2143938035631,0
509.5623859291438,1
511.5623859291438,0
531.0890777487557,1
532.0890777487557,0
543.8602812867823,1
545.8602812867823,0
547.0230379379408,1
547.3259416234433,2
550.0230379379408,2
551.3259416234433,1
552.0230379379408,0
552.7416968798614,1
554.7416968798614,0
567.6890906855157,1
568.6890906855157,0
579.480791771222,1
579.5065610984326,2
581.480791771222,2
583.4550224440114,1
583.480791771222,0
