Point in Time[s],Utilization of Active Resource[]
106.6335037905995,1.0
107.35875994290345,1.0
107.39875994290345,1.0
108.6335037905995,1.0
109.40781575317865,1.0
109.90824763829556,1.0
111.16299148599163,1.0
111.74805006359594,1.0
112.2697448582934,1.0
113.92381852050777,1.0
114.47517640791256,1.0
115.82110274569818,1.0
116.30318906069124,1.0
116.6335037905995,0.0
121.0822179091588,1.0
124.0822179091588,0.0
172.19939369114238,1.0
174.19939369114238,0.0
205.91181610806612,1.0
208.91181610806612,0.0
209.0531784734407,1.0
212.0531784734407,0.0
216.6853797674436,1.0
219.6853797674436,0.0
243.89655624608076,1.0
246.89655624608076,0.0
312.2605381444895,1.0
313.2605381444895,0.0
324.7026819368266,1.0
327.7026819368266,0.0
352.9461329092721,1.0
355.9461329092721,0.0
360.2228678594247,1.0
361.2228678594247,0.0
363.32854957440367,1.0
365.32854957440367,0.0
367.71353660474733,1.0
369.71353660474733,0.0
379.56979323423724,1.0
380.56979323423724,0.0
396.26931113395295,1.0
399.26931113395295,0.0
403.29704313195924,1.0
404.915301629376,1.0
405.29704313195924,1.0
405.67878463454247,1.0
408.29704313195924,0.0
423.8711164580895,1.0
426.8711164580895,0.0
442.46745366114334,1.0
445.46745366114334,0.0
482.91127264427917,1.0
484.5976256035849,1.0
485.91127264427917,1.0
486.5976256035849,1.0
486.91127264427917,0.0
487.64975176806365,1.0
487.7299753190762,1.0
489.7299753190762,1.0
490.64975176806365,1.0
491.64975176806365,0.0
506.2143938035631,1.0
509.2143938035631,0.0
509.5623859291438,1.0
511.5623859291438,0.0
531.0890777487557,1.0
532.0890777487557,0.0
543.8602812867823,1.0
545.8602812867823,0.0
547.0230379379408,1.0
547.3259416234433,1.0
550.0230379379408,1.0
551.3259416234433,1.0
552.0230379379408,0.0
552.7416968798614,1.0
554.7416968798614,0.0
567.6890906855157,1.0
568.6890906855157,0.0
579.480791771222,1.0
579.5065610984326,1.0
581.480791771222,1.0
583.4550224440114,1.0
583.480791771222,0.0
