Point in Time[s],State of Active Resource[]
0.11,1
0.47901967463966016,2
2.11,2
3.74098032536034,1
4.5092460051327246,2
4.789146582660258,3
4.804146582660258,4
5.11,4
5.710753994867275,4
5.8015559282510045,5
6.1715577009707845,5
6.627361407074293,5
6.833812776780115,4
8.430796797311013,3
9.613704672795373,2
13.105,1
13.110000000000001,0
16.56702478573835,1
16.809034527791635,2
18.56702478573835,2
19.1857899507014,3
19.282005650434694,4
20.325015043685067,4
20.894627590176903,4
21.432168236757636,3
22.0398947321302,4
22.15819746291749,4
22.197631706513253,3
22.762764840877896,2
24.233997190804303,3
26.307140930776608,3
27.34371280076276,2
27.863480510686244,1
28.02829469487646,2
28.936982830282272,3
29.56702478573835,3
30.365988940928407,4
31.105754876600237,4
32.19014089975922,4
32.798191552702825,3
35.54503348322588,2
35.719624096772435,3
36.49770422365663,3
36.886744287098736,2
37.025385411262164,1
38.895007244025585,2
39.30688991488098,3
39.56702478573835,3
39.780518947881475,4
40.239042327451116,4
40.705118533736176,4
41.01331839568775,3
41.80538653519689,4
43.08871880983304,4
43.51649623471176,3
43.706839354834045,4
43.85614135132853,5
45.23316396007561,5
45.74193882848946,5
46.21338819777969,4
46.83014431557118,5
47.29299251996058,5
47.408704571057925,4
48.751855836140386,5
50.58493922934713,5
50.59099864574725,6
51.043210077648816,6
51.133652364029125,5
51.322831410044735,6
51.58479878568088,6
51.637192260808106,5
52.71972940541349,6
53.89469159764793,6
54.129684036094815,5
56.610217323618855,4
57.0488660673571,5
58.167935632680866,5
58.4477030240118,4
58.59700502050629,3
58.66180721407037,4
59.32412779234627,5
59.67262439917127,6
59.74262439917127,7
61.12344250348383,7
61.94398759995499,7
62.59895255185716,7
63.18421818239434,7
63.757817146264856,6
63.946019301237826,7
64.83454656743794,7
64.98263444513796,6
65.9761153125518,5
67.26504507390399,4
68.21680619997599,3
68.7886234318037,2
69.57869145240502,1
70.56702478573835,0
74.91920788296822,1
75.91920788296822,0
85.75597493175216,1
87.75597493175216,0
92.63637376544769,1
93.63637376544769,0
110.97265433521768,1
111.97265433521768,0
114.43271521931011,1
116.43271521931011,0
121.79743259537508,1
122.79743259537508,0
159.33796169758588,1
161.33796169758588,0
163.3386677878586,1
166.3386677878586,0
173.55624651766644,1
174.55624651766644,0
198.7794943591866,1
201.7794943591866,0
206.65405782603028,1
208.65405782603028,0
216.61537976744364,1
217.61537976744364,0
235.5114514019457,1
237.5114514019457,0
247.08019319633743,1
249.08019319633743,0
311.2347616140802,1
311.3047616140802,2
313.2347616140802,2
315.1647616140802,1
315.2347616140802,0
338.29055497684664,1
341.29055497684664,0
343.31276291570515,1
345.31276291570515,0
347.9308106678318,1
349.9308106678318,0
358.5657322807993,1
359.5657322807993,0
362.92907850503536,1
365.92907850503536,0
367.096146243783,1
368.9180897047574,2
370.096146243783,2
370.9180897047574,1
371.096146243783,0
413.1643593037818,1
415.1643593037818,0
418.2057124300256,1
420.2057124300256,0
431.4367134121058,1
434.4367134121058,0
435.46733343692074,1
437.46733343692074,0
437.6719339190276,1
440.6719339190276,0
472.9258504670819,1
474.9258504670819,0
491.7012933786209,1
493.7012933786209,0
506.24439380356307,1
507.24439380356307,0
512.8109174812431,1
514.8109174812431,0
515.1063371368614,1
518.1063371368614,0
545.487686143942,1
548.487686143942,0
562.9214870860294,1
564.3399713351154,2
564.9214870860294,2
565.5030028369434,1
565.9214870860294,0
570.0701002395305,1
572.0701002395305,0
586.889380217711,1
587.889380217711,0
593.5104056640788,1
596.5104056640788,0
