Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.42401967463966017,1
0.46401967463966015,0
4.454246005132725,1
4.494246005132725,0
4.709146582660258,1
4.724146582660258,2
4.749146582660258,2
4.774146582660259,1
4.789146582660258,0
5.746555928251005,1
5.786555928251005,0
16.51202478573835,1
16.55202478573835,0
16.754034527791635,1
16.794034527791634,0
19.1307899507014,1
19.170789950701398,0
19.227005650434695,1
19.267005650434694,0
21.9848947321302,1
22.0248947321302,0
24.178997190804303,1
24.218997190804302,0
27.97329469487646,1
28.01329469487646,0
28.881982830282272,1
28.92198283028227,0
30.310988940928407,1
30.350988940928406,0
35.664624096772435,1
35.704624096772434,0
38.840007244025585,1
38.880007244025585,0
39.251889914880984,1
39.29188991488098,0
39.725518947881476,1
39.765518947881475,0
41.75038653519689,1
41.79038653519689,0
43.651839354834046,1
43.691839354834045,0
43.80114135132853,1
43.84114135132853,0
46.77514431557118,1
46.81514431557118,0
48.69685583614039,1
48.736855836140386,0
50.53599864574725,1
50.57599864574725,0
51.267831410044735,1
51.307831410044734,0
52.66472940541349,1
52.70472940541349,0
56.993866067357104,1
57.0338660673571,0
58.60680721407037,1
58.64680721407037,0
59.26912779234627,1
59.30912779234627,0
59.61762439917127,1
59.65762439917127,0
59.68762439917127,1
59.72762439917127,0
62.157892674336324,1
62.19789267433632,0
63.891019301237826,1
63.931019301237825,0
66.0211153125518,1
66.0611153125518,0
66.75948366192165,1
66.79948366192166,0
71.78287562964259,1
71.8228756296426,0
74.86420788296822,1
74.90420788296822,0
75.2859962318143,1
75.3259962318143,0
76.8084267607615,1
76.84842676076151,0
77.9753856355596,1
78.01538563555961,0
78.15119229028682,1
78.19119229028682,0
79.59987061253675,1
79.63987061253675,0
80.08800562046426,1
80.10300562046426,2
80.12800562046426,2
80.15300562046426,1
80.16800562046426,0
82.5951271326461,1
82.6351271326461,0
85.66097493175216,1
85.67597493175217,2
85.70097493175217,2
85.72597493175216,1
85.74097493175216,0
89.52710901385687,1
89.56710901385688,0
89.6389519566014,1
89.67895195660141,0
90.3879734568896,1
90.4279734568896,0
90.60927103735968,1
90.64927103735968,0
91.87440817336875,1
91.91440817336876,0
92.58137376544768,1
92.62137376544769,0
93.53235105951119,1
93.57235105951119,0
97.67368806483834,1
97.71368806483835,0
99.30235589423519,1
99.3423558942352,0
99.50795126226191,1
99.54795126226192,0
103.66808640234218,1
103.70808640234219,0
104.99663779183692,1
105.03663779183692,0
106.5785037905995,1
106.6185037905995,0
107.29679841771511,1
107.33679841771512,0
107.34375994290345,1
107.38375994290345,0
109.35281575317865,1
109.39281575317865,0
110.07834742921183,1
110.11834742921184,0
110.91765433521768,1
110.95765433521768,0
110.98765433521768,1
111.02765433521769,0
111.65013775990808,1
111.67867313494897,2
111.69013775990808,2
111.70160238486719,1
111.73013775990808,0
112.21474485829339,1
112.25474485829339,0
112.4761264814164,1
112.5161264814164,0
113.39821629986749,1
113.43821629986749,0
114.3777152193101,1
114.41771521931011,0
118.0266438353144,1
118.06664383531441,0
119.75941575970832,1
119.79941575970832,0
120.9872179091588,1
121.01072290675587,2
121.02721790915881,2
121.04371291156173,1
121.0672179091588,0
121.74243259537508,1
121.78243259537508,0
123.13169703765939,1
123.1716970376594,0
127.04014362197246,1
127.08014362197247,0
128.4503801471688,1
128.4903801471688,0
130.0589989290919,1
130.0989989290919,0
133.2325128092473,1
133.2725128092473,0
135.10693752413528,1
135.14693752413527,0
144.19544165045943,1
144.23544165045942,0
155.7377252956825,1
155.7777252956825,0
156.88909082994616,1
156.92909082994615,0
159.2829616975859,1
159.3229616975859,0
161.51361721266107,1
161.55361721266107,0
163.10984005989403,1
163.14984005989402,0
163.28366778785863,1
163.32366778785862,0
165.55083223227396,1
165.59083223227395,0
167.3649088709882,1
167.40490887098818,0
