Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.3690196746396602,1
0.40901967463966016,0
4.399246005132725,1
4.439246005132725,0
4.621546591548728,1
4.628946600437197,2
4.661546591548728,2
4.694146582660259,1
4.701546591548728,0
5.691555928251005,1
5.731555928251005,0
16.45702478573835,1
16.49702478573835,0
16.699034527791635,1
16.739034527791635,0
19.0757899507014,1
19.115789950701398,0
19.172005650434695,1
19.212005650434694,0
21.9298947321302,1
21.9698947321302,0
24.123997190804303,1
24.163997190804302,0
27.91829469487646,1
27.95829469487646,0
28.826982830282272,1
28.86698283028227,0
30.255988940928408,1
30.295988940928407,0
35.609624096772436,1
35.649624096772435,0
38.785007244025586,1
38.825007244025585,0
39.196889914880984,1
39.23688991488098,0
39.670518947881476,1
39.710518947881475,0
41.69538653519689,1
41.73538653519689,0
43.596839354834046,1
43.636839354834045,0
43.74614135132853,1
43.78614135132853,0
46.72014431557118,1
46.76014431557118,0
48.64185583614039,1
48.681855836140386,0
50.48099864574725,1
50.52099864574725,0
51.212831410044735,1
51.252831410044735,0
52.60972940541349,1
52.64972940541349,0
56.938866067357104,1
56.9788660673571,0
58.55180721407037,1
58.59180721407037,0
59.21412779234627,1
59.25412779234627,0
59.56262439917127,1
59.60262439917127,0
59.62739252914397,1
59.66739252914397,0
62.102892674336324,1
62.14289267433632,0
63.836019301237826,1
63.876019301237825,0
65.95606961445051,1
65.99606961445052,0
66.70448366192164,1
66.74448366192165,0
71.72787562964258,1
71.76787562964259,0
74.80920788296821,1
74.84920788296822,0
75.23099623181429,1
75.2709962318143,0
76.7534267607615,1
76.7934267607615,0
77.9203856355596,1
77.9603856355596,0
78.09619229028681,1
78.13619229028681,0
79.54487061253674,1
79.58487061253675,0
80.00180877060097,1
80.01061192073769,2
80.04180877060098,2
80.07300562046426,1
80.08180877060097,0
82.54012713264609,1
82.5801271326461,0
85.57180276229947,1
85.57763059284677,2
85.61180276229948,2
85.64597493175216,1
85.65180276229947,0
89.47210901385687,1
89.51210901385687,0
89.5839519566014,1
89.6239519566014,0
90.33297345688959,1
90.3729734568896,0
90.55427103735967,1
90.59427103735968,0
91.81940817336874,1
91.85940817336875,0
92.52637376544767,1
92.56637376544768,0
93.47735105951118,1
93.51735105951118,0
97.61868806483834,1
97.65868806483834,0
99.24735589423518,1
99.28735589423519,0
99.4529512622619,1
99.49295126226191,0
103.61308640234218,1
103.65308640234218,0
104.94163779183691,1
104.98163779183692,0
106.52350379059949,1
106.5635037905995,0
107.2417984177151,1
107.28179841771511,0
