Point in Time[s],State of Active Resource[]
170.80200711199666,1
171.80200711199666,0
195.22935564410264,1
197.22935564410264,0
214.17688112382788,1
217.17688112382788,0
222.693761670783,1
223.693761670783,0
278.9870712695561,1
281.9870712695561,0
294.4074706618385,1
296.4074706618385,0
310.8014978897636,1
313.8014978897636,0
332.7408146812721,1
335.7408146812721,0
341.88655230917533,1
343.15434995291525,2
343.88655230917533,2
344.6187546654354,1
344.88655230917533,0
349.79929880194106,1
351.79929880194106,0
358.69311957089633,1
361.69311957089633,0
379.9095493562853,1
382.9095493562853,0
394.9917601709809,1
395.9917601709809,0
421.73419689404847,1
422.73419689404847,0
493.50196065290845,1
495.50196065290845,0
523.9042647043347,1
525.9042647043347,0
534.7192407704897,1
537.7192407704897,0
557.02121054688,1
558.02121054688,0
558.4379765437021,1
560.0607345160249,2
560.4379765437021,2
560.8152185713793,1
561.4379765437021,0
561.983531660436,1
564.983531660436,0
571.9927562234188,1
573.9927562234188,0
574.2301321200741,1
575.2301321200741,0
588.0105905272331,1
591.0105905272331,0
599.6464705149399,1
