Point in Time[s],Utilization of Active Resource[]
170.80200711199666,1.0
171.80200711199666,0.0
195.22935564410264,1.0
197.22935564410264,0.0
214.17688112382788,1.0
217.17688112382788,0.0
222.693761670783,1.0
223.693761670783,0.0
278.9870712695561,1.0
281.9870712695561,0.0
294.4074706618385,1.0
296.4074706618385,0.0
310.8014978897636,1.0
313.8014978897636,0.0
332.7408146812721,1.0
335.7408146812721,0.0
341.88655230917533,1.0
343.15434995291525,1.0
343.88655230917533,1.0
344.6187546654354,1.0
344.88655230917533,0.0
349.79929880194106,1.0
351.79929880194106,0.0
358.69311957089633,1.0
361.69311957089633,0.0
379.9095493562853,1.0
382.9095493562853,0.0
394.9917601709809,1.0
395.9917601709809,0.0
421.73419689404847,1.0
422.73419689404847,0.0
493.50196065290845,1.0
495.50196065290845,0.0
523.9042647043347,1.0
525.9042647043347,0.0
534.7192407704897,1.0
537.7192407704897,0.0
557.02121054688,1.0
558.02121054688,0.0
558.4379765437021,1.0
560.0607345160249,1.0
560.4379765437021,1.0
560.8152185713793,1.0
561.4379765437021,0.0
561.983531660436,1.0
564.983531660436,0.0
571.9927562234188,1.0
573.9927562234188,0.0
574.2301321200741,1.0
575.2301321200741,0.0
588.0105905272331,1.0
591.0105905272331,0.0
599.6464705149399,1.0
