Point in Time[s],State of Active Resource[]
0.11,1
0.37427156423719915,2
2.11,2
2.374271564237199,1
3.11,0
3.4973981363841773,1
4.35082451804193,2
4.877846625297225,3
5.102908684377297,4
5.497398136384177,4
6.643971754726425,4
7.527034319441025,4
8.335076197795601,3
8.910950562731873,2
10.23388708275653,1
11.497398136384177,0
12.688760139156992,1
13.42962556032472,2
14.688760139156992,2
15.300741643029772,3
15.340613448467458,4
15.42962556032472,4
15.494067518972194,4
15.545218875807105,3
15.55978749039628,4
15.980202617651209,5
16.322622612303924,5
16.576900986273138,5
16.726075578428617,4
19.70896208255176,3
20.02427342799296,2
20.159256663624696,3
20.825645082102994,4
21.378425707428455,5
21.914980905459934,6
23.67546953734443,6
24.825645082102994,6
25.4335759742043,6
25.68744992577163,6
26.441943729833966,5
26.541943729833967,6
27.132919511490794,6
27.251114667822158,5
28.941119417210377,6
29.028217540596966,7
29.24002370633417,7
29.29980456415893,7
29.345069068085927,6
29.4248126789613,5
33.40578695768727,6
35.56782748559915,6
35.70804471469299,7
36.00023559118153,7
36.04893407059629,6
37.161271311555964,7
38.85474808317885,7
39.03876469446251,8
39.136994211782664,8
39.15102699997125,7
40.76585637187069,6
40.85295449525728,5
43.284210624400274,6
43.49939219472341,6
43.542428508788035,5
45.169740616745656,4
47.64093119971495,3
49.938667140990844,2
50.308343801878245,3
50.4342504173433,3
50.49720372507583,2
50.68363973261002,3
51.006223168703215,3
51.167514886749814,2
52.53258882765737,1
53.688760139157,0
53.91140579069586,1
54.28464905486968,2
56.37473762507828,3
56.91140579069586,3
59.155165454116336,4
59.37473762507828,4
59.44792834873226,3
59.538162526522036,3
61.1930657008979,2
61.93955222924554,1
62.91140579069586,0
68.4263396905171,1
69.4263396905171,0
75.68198414817228,1
78.68198414817228,0
80.4893987362166,1
82.4893987362166,0
83.28393485051976,1
85.28393485051976,0
98.72821619710166,1
100.72821619710166,0
111.59568340905366,1
113.59568340905366,0
121.18304622806968,1
124.18304622806968,0
130.22133104480633,1
133.22133104480633,0
134.09682072209722,1
135.09682072209722,0
139.5829341114439,1
142.5829341114439,0
147.2489238328247,1
148.20390249213378,2
149.2489238328247,2
150.2939451735156,1
151.2489238328247,0
153.53762894559353,1
155.53762894559353,0
158.5869849986407,1
160.5869849986407,0
163.47221121122675,1
165.47221121122675,0
167.88411995874705,1
168.84110409826297,2
170.84110409826297,1
170.88411995874705,1
171.88411995874705,0
188.87507322847122,1
191.87507322847122,0
206.71055111573955,1
209.71055111573955,0
209.71569554522577,1
211.71569554522577,0
220.79871204673856,1
222.79871204673856,0
238.80868585444276,1
240.80868585444276,0
246.24591631662776,1
249.24591631662776,0
274.37154888187143,1
277.21582959534607,2
277.37154888187143,2
277.5272681683968,1
280.37154888187143,0
290.7242430966201,1
293.7242430966201,0
305.8423648933967,1
306.8423648933967,0
311.4588435149389,1
313.4588435149389,0
349.72929880194107,1
351.72929880194107,0
386.41205582975914,1
387.41205582975914,0
395.4073632703937,1
398.4073632703937,0
403.5373543850607,1
405.5373543850607,0
412.51804408982025,1
415.51804408982025,0
415.9325821557464,1
417.9325821557464,0
433.272746665981,1
434.0819791801477,2
434.272746665981,2
434.4635141518143,1
435.272746665981,0
454.91296143590426,1
455.91296143590426,0
460.37975468157623,1
462.37975468157623,0
463.1247042686604,1
464.1247042686604,0
472.4317809781567,1
474.4317809781567,0
485.8803540432825,1
486.8803540432825,0
500.12340438483994,1
501.12340438483994,0
503.67890680870363,1
504.67890680870363,0
514.377300719444,1
515.377300719444,0
533.8890412454635,1
535.8890412454635,0
540.4457702385339,1
542.4457702385339,0
557.640861034607,1
559.640861034607,0
587.4715669299861,1
590.4715669299861,0
592.9506428127953,1
593.9506428127953,0
