Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.31927156423719916,1
0.35927156423719914,0
3.442398136384177,1
3.482398136384177,0
4.29582451804193,1
4.33582451804193,0
4.822846625297225,1
4.862846625297225,0
5.047908684377298,1
5.087908684377298,0
12.633760139156992,1
12.673760139156991,0
13.37462556032472,1
13.414625560324719,0
15.245613448467457,1
15.285485253905144,2
15.285613448467457,2
15.285741643029771,1
15.325613448467458,0
15.50478749039628,1
15.54478749039628,0
15.925202617651209,1
15.965202617651208,0
20.104256663624696,1
20.144256663624695,0
20.770645082102995,1
20.810645082102994,0
21.323425707428456,1
21.363425707428455,0
21.859980905459935,1
21.899980905459934,0
26.486943729833968,1
26.526943729833967,0
28.886119417210377,1
28.926119417210376,0
28.973217540596966,1
29.013217540596965,0
33.35078695768727,1
33.39078695768727,0
35.65304471469299,1
35.69304471469299,0
37.106271311555965,1
37.146271311555964,0
38.98376469446251,1
39.02376469446251,0
43.229210624400274,1
43.26921062440027,0
50.253343801878245,1
50.293343801878244,0
50.62863973261002,1
50.66863973261002,0
53.85640579069586,1
53.89640579069586,0
54.22964905486968,1
54.26964905486968,0
56.31973762507828,1
56.35973762507828,0
59.100165454116336,1
59.140165454116335,0
63.51179580236446,1
63.55179580236446,0
66.51438332069102,1
66.55438332069103,0
68.37133969051709,1
68.4113396905171,0
70.15160783473078,1
70.19160783473079,0
71.06087159049352,1
71.10087159049353,0
71.59173480208216,1
71.63173480208216,0
74.71630740243131,1
74.75630740243132,0
75.42278837712547,1
75.46278837712548,0
75.62698414817227,1
75.66698414817228,0
76.58020147001079,1
76.6202014700108,0
76.7439259069498,1
76.7839259069498,0
79.21894677605924,1
79.25894677605925,0
79.96048226596348,1
80.00048226596348,0
80.4343987362166,1
80.4743987362166,0
81.41513175180548,1
81.45513175180548,0
83.22893485051975,1
83.26893485051976,0
86.35016965033095,1
86.39016965033096,0
89.43218331608252,1
89.47218331608252,0
93.48804297977352,1
93.52804297977353,0
97.0337425992853,1
97.07374259928531,0
97.46384048790911,1
97.50384048790912,0
97.78202045942831,1
97.82202045942832,0
98.67321619710165,1
98.71321619710166,0
99.20744213658274,1
99.24744213658275,0
104.03892094591318,1
104.07892094591318,0
111.54068340905366,1
111.58068340905366,0
111.75407783758759,1
111.7940778375876,0
111.8240778375876,1
111.8640778375876,0
112.57087322199611,1
112.61087322199612,0
114.74890668070563,1
114.78890668070564,0
118.57615686410692,1
118.61615686410693,0
118.8705160193611,1
118.91051601936111,0
119.75365445296887,1
119.79365445296888,0
121.12804622806968,1
121.16804622806968,0
125.39197921463337,1
125.43197921463337,0
127.07662496939153,1
127.11662496939154,0
128.03518659112805,1
128.07518659112804,0
130.16633104480636,1
130.20633104480635,0
131.0295723303473,1
131.06957233034728,0
131.61562193783385,1
131.65562193783384,0
131.96004239760973,1
132.00004239760972,0
132.6499484416954,1
132.67786373640766,2
132.68994844169538,2
132.70203314698313,1
132.7299484416954,0
134.04182072209724,1
134.08182072209723,0
136.18705035748084,1
136.22705035748083,0
137.4312596634688,1
137.4712596634688,0
137.7077841654824,1
137.7477841654824,0
139.52793411144393,1
139.56793411144392,0
145.34872431796848,1
145.38872431796847,0
147.1939238328247,1
147.2339238328247,0
148.1489024921338,1
148.1889024921338,0
153.48262894559355,1
153.52262894559354,0
154.97209063349482,1
155.0120906334948,0
155.15289163667583,1
155.19289163667582,0
155.88460221536297,1
155.92460221536297,0
158.53198499864072,1
158.57198499864072,0
160.80915373409135,1
160.84915373409135,0
161.85905892167378,1
161.89905892167377,0
163.41721121122677,1
163.45721121122676,0
164.4195126926743,1
164.45951269267428,0
166.61223489523246,1
166.65223489523245,0
167.82911995874707,1
167.86911995874706,0
168.786104098263,1
168.826104098263,0
169.14842530004935,1
169.18842530004935,0
169.74099006796675,1
