Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.26427156423719916,1
0.30427156423719914,0
3.387398136384177,1
3.427398136384177,0
4.24082451804193,1
4.28082451804193,0
4.767846625297225,1
4.807846625297225,0
4.992908684377298,1
5.032908684377298,0
12.578760139156993,1
12.618760139156992,0
13.31962556032472,1
13.35962556032472,0
15.190485253905143,1
15.230357059342829,2
15.230485253905142,2
15.230613448467457,1
15.270485253905143,0
15.44978749039628,1
15.48978749039628,0
15.87020261765121,1
15.910202617651208,0
20.049256663624696,1
20.089256663624695,0
20.715645082102995,1
20.755645082102994,0
21.268425707428456,1
21.308425707428455,0
21.804980905459935,1
21.844980905459934,0
26.429740311471605,1
26.469740311471604,0
28.831119417210378,1
28.871119417210377,0
28.918217540596967,1
28.958217540596966,0
33.29578695768727,1
33.33578695768727,0
35.59804471469299,1
35.63804471469299,0
37.051271311555965,1
37.091271311555964,0
38.92876469446251,1
38.96876469446251,0
43.174210624400274,1
43.21421062440027,0
50.198343801878245,1
50.238343801878244,0
50.57363973261002,1
50.61363973261002,0
53.80140579069586,1
53.84140579069586,0
54.17464905486968,1
54.21464905486968,0
56.26473762507828,1
56.30473762507828,0
59.045165454116336,1
59.085165454116336,0
63.45679580236446,1
63.49679580236446,0
66.45938332069102,1
66.49938332069102,0
68.31633969051708,1
68.35633969051709,0
70.09660783473078,1
70.13660783473078,0
71.00587159049351,1
71.04587159049352,0
71.53673480208215,1
71.57673480208216,0
74.6613074024313,1
74.70130740243131,0
75.36778837712546,1
75.40778837712547,0
75.57198414817226,1
75.61198414817227,0
76.52520147001078,1
76.56520147001079,0
76.68892590694979,1
76.7289259069498,0
79.16394677605923,1
79.20394677605924,0
79.90548226596347,1
79.94548226596348,0
80.37939873621659,1
80.41939873621659,0
81.36013175180547,1
81.40013175180547,0
83.17393485051974,1
83.21393485051975,0
86.29516965033095,1
86.33516965033095,0
89.37718331608251,1
89.41718331608251,0
93.43304297977352,1
93.47304297977352,0
96.9787425992853,1
97.0187425992853,0
97.4088404879091,1
97.44884048790911,0
97.7270204594283,1
97.76702045942831,0
98.61821619710165,1
98.65821619710165,0
99.15244213658274,1
99.19244213658274,0
103.98392094591317,1
104.02392094591318,0
111.48568340905365,1
111.52568340905366,0
111.69907783758758,1
111.73907783758759,0
111.76610199011716,1
111.80610199011717,0
112.5158732219961,1
112.55587322199611,0
114.69390668070562,1
114.73390668070563,0
118.52115686410691,1
118.56115686410692,0
118.8155160193611,1
118.8555160193611,0
119.69865445296887,1
119.73865445296887,0
