Point in Time[s],Utilization of Active Resource[]
125.55141206390954,1.0
127.55141206390954,0.0
153.84130241053182,1.0
154.84130241053182,0.0
167.5103580556237,1.0
169.5103580556237,0.0
347.44745695718854,1.0
349.44745695718854,0.0
351.6693084525056,1.0
352.6693084525056,0.0
420.67081049094793,1.0
422.67081049094793,0.0
426.0504145188178,1.0
427.0504145188178,0.0
428.5232648696652,1.0
430.5232648696652,0.0
492.6154980252336,1.0
494.6154980252336,0.0
522.4569035587637,1.0
523.4569035587637,0.0
554.2991702469251,1.0
557.2991702469251,0.0
