Point in Time[s],State of Active Resource[]
114.7067445523447,1
115.7067445523447,0
144.3377678425817,1
145.3377678425817,0
163.8559724746853,1
165.8559724746853,0
170.59355024260734,1
173.59355024260734,0
199.7963451303807,1
200.7963451303807,0
236.98303094198982,1
238.98303094198982,0
270.49672453854083,1
272.49672453854083,0
297.61468000719503,1
300.61468000719503,0
334.6750554788327,1
336.6750554788327,0
345.1244418326101,1
346.1244418326101,0
373.9276321687196,1
374.9276321687196,0
402.63654149472546,1
403.63654149472546,0
439.9881111000125,1
441.9881111000125,0
581.6043317066119,1
582.6043317066119,0
