Point in Time[s],State of Active Resource[]
0.11,1
2.11,0
3.3492944307089467,1
5.349294430708946,0
6.447276253465328,1
7.447276253465328,0
8.865581623738358,1
9.865581623738358,0
12.900388944964128,1
13.796501119246471,2
14.8233646372874,3
14.900388944964128,3
16.004276770681784,3
16.022712156859633,4
16.594732837378977,4
16.78540639755209,3
18.014038197460515,2
18.46276911720185,3
18.987174679419585,3
19.249377460528454,2
23.075805991617536,1
23.900388944964128,0
24.41111601812401,1
25.41111601812401,0
28.348289962518347,1
30.532874681583056,2
30.681909075946177,3
31.348289962518347,3
32.163705243453634,3
32.90460332720737,2
33.15387621812228,3
33.27377276533679,3
33.33372103894404,2
33.45161584680867,3
33.48275543330716,3
33.4983252265564,2
35.16090146128048,3
35.229394284978774,3
35.26364069682793,2
36.325225514348695,3
37.64650225807074,4
37.8044743145104,5
39.19514787312963,5
39.241934592762355,6
39.325225514348695,6
39.55405751329266,7
39.88479993310801,7
40.404881337757416,7
40.62863872264841,8
40.63747068675643,8
40.81803954900039,8
40.845096809907815,7
41.088734557626324,8
41.16618884172872,9
43.88982506564109,9
44.28998085250034,9
44.68045485384679,8
44.724170068648505,7
45.023948948496106,8
45.75791388141803,8
45.86276601469259,7
46.42905733159409,8
47.207436320125744,9
47.48206109753057,9
47.63249020695006,9
47.6856219428031,8
48.56915713981771,9
50.41404360030583,10
51.34265739659444,11
51.923583255301864,12
52.05824107201305,13
52.96952160355957,13
53.5195671615273,13
53.864625334996354,13
54.116822128836546,13
54.31620748097606,13
54.50437134838965,12
54.544361830237975,11
55.766678154464536,12
56.587621651389064,12
56.662252878382205,11
58.651369009765254,12
58.74905155915972,13
59.53183397789176,13
59.61187624772144,13
59.68377830510158,12
60.94296656688179,11
66.8880562222687,12
67.9060023101451,13
68.9894006699714,13
69.18043198339892,13
69.28663445617008,12
69.29996944534594,11
70.89937658592565,12
71.5608224143534,12
71.62095385330137,11
72.40794268176722,10
73.31167512014252,9
74.14742753680227,8
74.56991907040766,7
76.76678197733392,6
78.34838304928984,5
79.96479950516631,6
80.51730178896129,6
80.62780224572029,5
82.04536904841262,4
82.3846844110381,3
82.9538859263021,2
85.07984699148493,1
86.34828996251835,0
88.24572380655732,1
90.02671792227426,2
90.24572380655732,2
90.46472969084039,1
92.24572380655732,0
95.92130023828615,1
96.92130023828615,0
104.68788895278622,1
106.68788895278622,0
196.83842357091092,1
198.83842357091092,0
232.4016334997135,1
234.4016334997135,0
268.4230612555652,1
269.4230612555652,0
307.9773113854896,1
309.9773113854896,0
310.9288139334344,1
312.9288139334344,0
324.8057411160606,1
326.8057411160606,0
344.79552955297424,1
345.79552955297424,0
428.36339879948383,1
431.36339879948383,0
443.1372357343064,1
445.1372357343064,0
