Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
3.2942944307089466,1
3.3342944307089466,0
6.392276253465329,1
6.432276253465329,0
8.810581623738358,1
8.850581623738357,0
12.845388944964128,1
12.885388944964127,0
13.741501119246472,1
13.781501119246471,0
14.7683646372874,1
14.808364637287399,0
15.967712156859632,1
16.007712156859633,0
18.407769117201852,1
18.44776911720185,0
24.35611601812401,1
24.396116018124008,0
28.293289962518347,1
28.333289962518347,0
30.477874681583057,1
30.517874681583056,0
30.626909075946177,1
30.666909075946176,0
33.09887621812228,1
33.13887621812228,0
33.39661584680867,1
33.43661584680867,0
35.10590146128048,1
35.14590146128048,0
36.270225514348695,1
36.310225514348694,0
37.59150225807074,1
37.63150225807074,0
37.7494743145104,1
37.7894743145104,0
39.186934592762356,1
39.226934592762355,0
39.49905751329266,1
39.53905751329266,0
40.57363872264841,1
40.61363872264841,0
41.033734557626325,1
41.073734557626324,0
41.11118884172872,1
41.15118884172872,0
44.968948948496106,1
45.008948948496105,0
46.37405733159409,1
46.41405733159409,0
47.152436320125744,1
47.19243632012574,0
48.51415713981771,1
48.55415713981771,0
50.35904360030583,1
50.39904360030583,0
51.28765739659444,1
51.32765739659444,0
51.868583255301864,1
51.90858325530186,0
52.00324107201305,1
52.043241072013046,0
55.711678154464536,1
55.751678154464535,0
58.596369009765255,1
58.636369009765254,0
58.69405155915972,1
58.73405155915972,0
61.039798608822586,1
61.079798608822585,0
61.44106388390399,1
61.48106388390399,0
63.24962215033632,1
63.28962215033632,0
65.84665117432088,1
65.88665117432089,0
66.8330562222687,1
66.8730562222687,0
67.16372226535215,1
67.20372226535216,0
67.85100231014509,1
67.8910023101451,0
70.84437658592564,1
70.88437658592565,0
72.16673648258902,1
72.20673648258902,0
74.98119924665102,1
75.02119924665102,0
76.25274593529359,1
76.2927459352936,0
78.76497954206802,1
78.80497954206803,0
79.9097995051663,1
79.94979950516631,0
80.7636731646922,1
80.8036731646922,0
81.04031108725485,1
81.08031108725486,0
83.81386904816115,1
83.85386904816116,0
84.92874403724709,1
84.96874403724709,0
87.09228437592874,1
87.13228437592875,0
88.19072380655732,1
88.23072380655732,0
89.41357892374096,1
89.45357892374096,0
89.97171792227425,1
90.01171792227426,0
95.86630023828614,1
95.90630023828615,0
98.42764893032603,1
98.46764893032604,0
99.81697632056267,1
99.85697632056268,0
100.49476636162235,1
100.53476636162236,0
103.97586554756224,1
104.01586554756224,0
104.63288895278622,1
104.67288895278622,0
105.05613107345721,1
105.09613107345722,0
114.13235457384339,1
114.17235457384339,0
114.6517445523447,1
114.6917445523447,0
115.24373196268199,1
115.283731962682,0
115.68598644413944,1
115.72598644413945,0
115.96566825439496,1
116.00566825439496,0
119.83262362749596,1
119.87262362749597,0
122.97828307959404,1
123.01828307959404,0
125.09999555242211,1
125.13999555242212,0
125.49641206390953,1
125.53641206390954,0
126.90812845091445,1
126.94812845091445,0
132.39898719688458,1
132.43898719688457,0
132.64824193029608,1
132.68824193029607,0
135.42601803347162,1
135.4660180334716,0
143.62137108602474,1
143.66137108602473,0
144.28276784258173,1
144.32276784258173,0
148.16145073952663,1
148.20145073952662,0
149.7311516647689,1
149.7711516647689,0
153.78630241053185,1
153.82630241053184,0
156.94636858887685,1
156.98636858887684,0
157.48215391491135,1
157.52215391491134,0
159.24883558573654,1
159.28883558573654,0
159.32735411896493,1
159.36735411896493,0
163.79780564744553,1
163.83780564744552,0
163.84097247468532,1
163.8809724746853,0
166.4757854206899,1
166.5157854206899,0
167.45535805562372,1
167.4953580556237,0
170.53855024260736,1
170.57855024260735,0
171.37607721407514,1
171.41607721407513,0
174.25708324651757,1
174.29708324651756,0
175.01501263886763,1
175.03195285055926,2
175.05501263886762,2
175.078072427176,1
175.09501263886764,0
180.8998872355906,1
180.9398872355906,0
