Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
3.2392944307089464,1
3.2792944307089464,0
6.337276253465329,1
6.377276253465329,0
8.755581623738358,1
8.795581623738357,0
12.790388944964128,1
12.830388944964128,0
13.686501119246472,1
13.726501119246471,0
14.7133646372874,1
14.7533646372874,0
15.912712156859632,1
15.952712156859631,0
18.352769117201852,1
18.39276911720185,0
24.30111601812401,1
24.34111601812401,0
28.238289962518348,1
28.278289962518347,0
30.422874681583057,1
30.462874681583056,0
30.571909075946177,1
30.611909075946176,0
33.04387621812228,1
33.08387621812228,0
33.34161584680867,1
33.38161584680867,0
35.05090146128048,1
35.09090146128048,0
36.215225514348695,1
36.255225514348695,0
37.53650225807074,1
37.57650225807074,0
37.6944743145104,1
37.7344743145104,0
39.131934592762356,1
39.171934592762355,0
39.44405751329266,1
39.48405751329266,0
40.51863872264841,1
40.55863872264841,0
40.978734557626325,1
41.018734557626324,0
41.05618884172872,1
41.09618884172872,0
44.913948948496106,1
44.953948948496105,0
46.31905733159409,1
46.35905733159409,0
47.097436320125745,1
47.137436320125744,0
48.45915713981771,1
48.49915713981771,0
50.30404360030583,1
50.34404360030583,0
51.23265739659444,1
51.27265739659444,0
51.813583255301864,1
51.853583255301864,0
51.94824107201305,1
51.98824107201305,0
55.65667815446454,1
55.696678154464536,0
58.541369009765255,1
58.581369009765254,0
58.63905155915972,1
58.67905155915972,0
60.98479860882259,1
61.024798608822586,0
61.386063883903994,1
61.42606388390399,0
63.19462215033632,1
63.23462215033632,0
65.79165117432088,1
65.83165117432088,0
66.77805622226869,1
66.8180562222687,0
67.10872226535214,1
67.14872226535215,0
67.79600231014508,1
67.83600231014509,0
70.78937658592564,1
70.82937658592564,0
72.11173648258901,1
72.15173648258902,0
74.92619924665101,1
74.96619924665102,0
76.19774593529358,1
76.23774593529359,0
78.70997954206801,1
78.74997954206802,0
79.8547995051663,1
79.8947995051663,0
80.70867316469219,1
80.74867316469219,0
80.98531108725484,1
81.02531108725485,0
83.75886904816115,1
83.79886904816115,0
84.87374403724708,1
84.91374403724708,0
87.03728437592873,1
87.07728437592874,0
88.13572380655731,1
88.17572380655731,0
89.35857892374095,1
89.39857892374096,0
89.91671792227424,1
89.95671792227425,0
95.81130023828614,1
95.85130023828614,0
98.37264893032602,1
98.41264893032603,0
99.76197632056267,1
99.80197632056267,0
100.43976636162235,1
100.47976636162235,0
103.92086554756223,1
103.96086554756224,0
104.57788895278621,1
104.61788895278622,0
105.0011310734572,1
105.04113107345721,0
114.07735457384338,1
