Point in Time[s],State of Active Resource[]
62.89573619990926,1
64.89573619990927,0
83.42045739232908,1
86.42045739232908,0
87.73644038605936,1
88.73644038605936,0
91.97794259258109,1
93.97794259258109,0
94.28604544842916,1
96.28604544842916,0
106.90120185360753,1
108.90120185360753,0
121.92422334275294,1
124.92422334275294,0
133.8340443092767,1
135.8340443092767,0
141.50070854156107,1
143.50070854156107,0
144.18570161798272,1
144.93953353301342,2
146.18570161798272,2
146.93953353301342,1
147.18570161798272,0
152.0481860060002,1
155.0481860060002,0
164.797078151273,1
166.797078151273,0
173.8065274465142,1
175.8065274465142,0
179.4149247750383,1
179.75201189953006,2
181.4149247750383,2
181.75201189953006,1
182.4149247750383,0
206.0137039867351,1
207.84140819813726,2
209.0137039867351,2
210.18599977533293,1
212.0137039867351,0
218.55659078163205,1
219.55659078163205,0
222.8000775236996,1
223.8000775236996,0
230.42076227450548,1
230.91117686316383,2
231.42076227450548,2
231.93034768584712,1
232.42076227450548,0
232.92509395963702,1
234.92509395963702,0
251.0267476187749,1
252.0267476187749,0
263.6816212669696,1
265.1464170755311,2
266.1845609337938,3
266.6816212669696,3
268.21682545840815,3
269.2329577207153,2
270.16254933783824,1
271.6816212669696,0
285.9638742009062,1
287.9638742009062,0
299.7611658116536,1
300.7611658116536,0
308.9922303056785,1
309.98307337503707,2
309.9922303056785,2
310.00138723631994,1
310.866555051563,2
312.9922303056785,2
314.866555051563,1
314.9785483809801,2
314.9922303056785,2
315.0059122303769,1
316.9922303056785,0
319.23370102236913,1
321.23370102236913,0
322.39316963562527,1
324.39316963562527,0
326.46358199031175,1
328.46358199031175,0
332.13608525993834,1
334.13608525993834,0
337.93635663725365,1
339.93635663725365,0
341.3530730047213,1
344.3530730047213,0
356.58584969465664,1
359.58584969465664,0
360.0033352919497,1
362.0033352919497,0
381.3280269786102,1
384.3280269786102,0
384.6733070982528,1
386.6733070982528,0
394.72643379160417,1
396.72643379160417,0
400.5824163009621,1
403.5824163009621,0
405.3946673603172,1
407.3946673603172,0
422.78832071034805,1
425.78832071034805,0
448.7704874820579,1
449.08228498384693,2
450.7704874820579,2
451.08228498384693,1
451.7704874820579,0
452.65433545916994,1
453.65433545916994,0
453.95614834249716,1
454.46012664328657,2
455.95614834249716,2
457.45217004170775,1
457.95614834249716,0
465.10517681829265,1
467.4284094160006,2
468.10517681829265,2
468.7819442205847,1
469.7377807933927,2
471.10517681829265,2
472.4725728431926,1
474.10517681829265,0
474.88920549870033,1
476.88920549870033,0
508.10226945981475,1
509.51698370655475,2
511.10226945981475,2
511.51698370655475,1
512.1022694598148,0
523.88351499512,1
524.88351499512,0
525.5600601924192,1
527.5600601924192,0
536.6166678153339,1
537.2093308739179,2
538.5349240731847,3
539.6166678153339,3
539.9175449204001,4
541.2093308739179,4
542.5465342742846,4
543.4228640589126,3
544.6448748831607,2
546.0775414310724,1
546.6166678153339,0
549.2112708592396,1
550.2112708592396,0
554.2215049213794,1
555.2215049213794,0
565.1484106781872,1
566.1484106781872,0
571.8226884456682,1
574.8226884456682,0
575.8878502168318,1
576.8878502168318,0
582.0814216384902,1
584.9212655253676,2
585.0814216384902,2
585.2415777516127,1
587.0814216384902,0
