Point in Time[s],Utilization of Active Resource[]
83.95973202866935,1.0
84.95973202866935,0.0
96.4994558174876,1.0
99.4994558174876,0.0
103.81462726392479,1.0
105.81462726392479,0.0
110.64360954587407,1.0
111.64360954587407,0.0
119.92810825986285,1.0
122.92810825986285,0.0
127.34570082296112,1.0
129.34570082296113,0.0
136.99403054793854,1.0
137.94612981661555,1.0
138.99403054793854,1.0
140.04193127926152,1.0
140.45998296864474,1.0
140.99403054793854,1.0
141.52807812723233,1.0
143.99403054793854,0.0
162.2241042970482,1.0
164.2241042970482,0.0
177.22309994781753,1.0
180.22309994781753,0.0
183.0853619217177,1.0
184.0853619217177,0.0
185.41663222024675,1.0
188.41663222024675,0.0
188.99666519232602,1.0
189.99666519232602,0.0
191.59895165406104,1.0
192.59895165406104,0.0
193.84497167327348,1.0
195.84497167327348,0.0
198.31448975682395,1.0
199.74023931851767,1.0
199.76065758746373,1.0
200.31448975682395,1.0
200.88874019513023,1.0
201.45278149896347,1.0
204.30428062235092,1.0
204.31448975682395,0.0
220.9962202252008,1.0
222.9962202252008,0.0
231.70370206839365,1.0
232.70370206839365,0.0
234.70661184376144,1.0
235.70661184376144,0.0
250.4522676702351,1.0
251.4522676702351,0.0
252.81950714892264,1.0
255.81950714892264,0.0
264.4823970317917,1.0
267.4823970317917,0.0
273.3575043141807,1.0
275.3575043141807,0.0
289.1083101562557,1.0
291.67827377939676,1.0
292.1083101562557,1.0
292.53834653311463,1.0
294.1083101562557,0.0
320.07654807095366,1.0
322.07654807095366,0.0
322.90838507747276,1.0
324.90838507747276,0.0
336.3789741752355,1.0
337.95899764582833,1.0
338.3789741752355,1.0
338.79895070464266,1.0
339.3789741752355,0.0
340.4082623675039,1.0
343.4082623675039,0.0
354.36829404081186,1.0
357.36829404081186,0.0
358.0842888380029,1.0
359.0842888380029,0.0
369.3372865923544,1.0
372.3372865923544,0.0
378.2287554684362,1.0
379.2287554684362,0.0
383.2449398441973,1.0
383.7505891114711,1.0
385.2449398441973,1.0
385.2917933975117,1.0
385.7505891114711,1.0
385.97998696845076,1.0
386.9686884339032,1.0
388.2449398441973,0.0
389.75597919262657,1.0
391.75597919262657,0.0
404.66225237004306,1.0
406.645054557743,1.0
406.66225237004306,1.0
406.67945018234315,1.0
409.66225237004306,0.0
422.5872812655858,1.0
425.5872812655858,0.0
442.4539978429888,1.0
445.4375107357846,1.0
445.4539978429888,1.0
445.47048495019305,1.0
446.4539978429888,0.0
459.53177575754927,1.0
461.53177575754927,0.0
478.2272516062856,1.0
480.4217346675949,1.0
481.2272516062856,1.0
482.03276854497636,1.0
483.2272516062856,0.0
485.57253401433405,1.0
488.57253401433405,0.0
494.09531558376005,1.0
496.09531558376005,0.0
502.1916653429712,1.0
504.1916653429712,0.0
517.2525774540215,1.0
520.2525774540215,0.0
534.2505869442504,1.0
536.8704263282831,1.0
537.0255282203235,1.0
537.2505869442504,1.0
537.6307475602176,1.0
537.9333572301647,1.0
539.1730359982301,1.0
540.2505869442504,0.0
542.700687593687,1.0
544.700687593687,0.0
559.0595599761067,1.0
561.0595599761067,0.0
561.7586818766209,1.0
562.7586818766209,0.0
562.9628022548465,1.0
563.9628022548465,0.0
568.0300594620052,1.0
569.0300594620052,0.0
577.9223458791806,1.0
580.9223458791806,0.0
581.291609936488,1.0
583.291609936488,0.0
584.999126985072,1.0
586.6554891759396,1.0
586.999126985072,1.0
587.3427647942045,1.0
587.999126985072,0.0
588.9450747058219,1.0
591.0658675212886,1.0
591.9450747058219,1.0
592.8242818903551,1.0
593.9450747058219,0.0
