Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
2.0735401375095908,1
2.113540137509591,0
4.236275412382598,1
4.276275412382598,0
5.861785393046832,1
5.901785393046832,0
9.15747809784531,1
9.197478097845309,0
11.641974949629464,1
11.681974949629463,0
12.362704459502165,1
12.402704459502164,0
13.030354138895683,1
13.070354138895683,0
14.308274399935081,1
14.34827439993508,0
14.869925519997294,1
14.909925519997293,0
16.046838175627613,1
16.086838175627612,0
16.781916481165297,1
16.821916481165296,0
21.85962111226352,1
21.899621112263517,0
22.500140622924057,1
22.540140622924056,0
23.282613509319276,1
23.322613509319275,0
23.993421256692223,1
24.033421256692222,0
24.424951194284144,1
24.464951194284144,0
24.496488539921067,1
24.536488539921066,0
25.410998742849667,1
25.450998742849666,0
28.289839210372865,1
28.329839210372864,0
28.540547624743063,1
28.580547624743062,0
29.993011822531418,1
30.033011822531417,0
30.9937849484009,1
31.0337849484009,0
31.11747187042096,1
31.15747187042096,0
32.83681209127799,1
32.87681209127799,0
32.936608916502585,1
32.976608916502585,0
35.28808911364299,1
35.32808911364299,0
39.02049637984945,1
39.06049637984945,0
40.56937150898667,1
40.60937150898667,0
45.25153432025432,1
45.29153432025432,0
51.55312642914,1
51.59312642914,0
52.063385744646155,1
52.103385744646154,0
53.70244362635527,1
53.74244362635527,0
53.963365223745484,1
54.00336522374548,0
58.36792183091746,1
58.40792183091746,0
60.53672562069065,1
60.57672562069065,0
62.84073619990926,1
62.88073619990926,0
66.38115419708315,1
66.42115419708315,0
67.14554434472754,1
67.18554434472755,0
68.82511259126461,1
68.86511259126462,0
69.34816795716507,1
69.38816795716508,0
70.98168364034882,1
71.02168364034883,0
72.0154979196779,1
72.0554979196779,0
83.36545739232908,1
83.40545739232908,0
83.90473202866934,1
83.94473202866935,0
87.68144038605935,1
87.72144038605936,0
88.14516210617036,1
88.18516210617037,0
91.92294259258108,1
91.96294259258109,0
94.23104544842916,1
94.27104544842916,0
96.4444558174876,1
96.4844558174876,0
96.72836176688847,1
96.76836176688848,0
103.75962726392478,1
103.79962726392479,0
106.84620185360752,1
106.88620185360753,0
108.09429941014149,1
108.1342994101415,0
110.58860954587406,1
110.62860954587407,0
116.72142102735425,1
116.76142102735426,0
118.08908371513542,1
118.12908371513542,0
119.87310825986285,1
119.91310825986285,0
121.86922334275293,1
121.90922334275294,0
127.29070082296111,1
127.33070082296112,0
129.47271841572007,1
129.51271841572006,0
130.33065522374613,1
130.37065522374613,0
131.14534180038564,1
131.18534180038563,0
133.7390443092767,1
133.7587927345164,2
133.77904430927668,2
133.799295884037,1
133.8190443092767,0
136.46786841245864,1
136.50786841245863,0
136.93903054793856,1
136.97903054793855,0
137.89112981661557,1
137.93112981661557,0
140.40498296864476,1
140.44498296864475,0
141.10869774912683,1
141.14869774912682,0
141.4457085415611,1
141.48570854156108,0
144.13070161798274,1
144.17070161798273,0
144.88453353301344,1
144.92453353301343,0
151.32602105371856,1
151.36602105371855,0
151.99318600600023,1
152.03318600600022,0
152.16642752045084,1
152.20642752045083,0
160.22202428750703,1
160.26202428750702,0
160.45007765872447,1
160.49007765872446,0
162.16910429704822,1
162.2091042970482,0
164.74207815127303,1
164.78207815127303,0
173.75152744651422,1
173.7915274465142,0
176.29879859930185,1
176.33879859930184,0
177.16809994781755,1
177.20809994781754,0
179.3599247750383,1
179.3999247750383,0
179.69701189953008,1
179.73701189953007,0
179.93361432316453,1
179.97361432316453,0
182.24028915568763,1
182.28028915568763,0
183.0303619217177,1
183.0703619217177,0
184.56761483289236,1
184.60761483289235,0
185.36163222024678,1
185.40163222024677,0
188.94166519232604,1
188.98166519232603,0
191.54395165406106,1
191.58395165406105,0
193.5929938397719,1
193.6329938397719,0
193.7899716732735,1
193.8299716732735,0
198.25948975682397,1
198.29948975682396,0
