Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
2.0185401375095906,1
2.0585401375095906,0
4.181275412382599,1
4.221275412382599,0
5.806785393046832,1
5.846785393046832,0
9.10247809784531,1
9.14247809784531,0
11.586974949629465,1
11.626974949629464,0
12.307704459502165,1
12.347704459502165,0
12.975354138895684,1
13.015354138895683,0
14.253274399935082,1
14.29327439993508,0
14.814925519997294,1
14.854925519997293,0
15.991838175627612,1
16.031838175627612,0
16.726916481165297,1
16.766916481165296,0
21.80462111226352,1
21.844621112263518,0
22.445140622924058,1
22.485140622924057,0
23.227613509319276,1
23.267613509319276,0
23.938421256692223,1
23.978421256692222,0
24.369951194284145,1
24.409951194284144,0
24.441488539921068,1
24.481488539921067,0
25.355998742849668,1
25.395998742849667,0
28.234839210372865,1
28.274839210372864,0
28.485547624743063,1
28.525547624743062,0
29.93801182253142,1
29.978011822531418,0
30.9387849484009,1
30.9787849484009,0
31.06247187042096,1
31.10247187042096,0
32.78181209127799,1
32.82181209127799,0
32.881608916502586,1
32.921608916502585,0
35.23308911364299,1
35.27308911364299,0
38.96549637984945,1
39.00549637984945,0
40.51437150898667,1
40.55437150898667,0
45.19653432025432,1
45.23653432025432,0
51.49812642914,1
51.53812642914,0
52.008385744646155,1
52.048385744646154,0
53.64744362635527,1
53.68744362635527,0
53.908365223745484,1
53.94836522374548,0
58.31292183091746,1
58.35292183091746,0
60.48172562069065,1
60.52172562069065,0
62.78573619990926,1
62.82573619990926,0
66.32615419708314,1
66.36615419708315,0
67.09054434472753,1
67.13054434472754,0
68.7701125912646,1
68.81011259126461,0
69.29316795716507,1
69.33316795716507,0
70.92668364034881,1
70.96668364034882,0
71.96049791967789,1
72.0004979196779,0
83.31045739232907,1
83.35045739232908,0
83.84973202866934,1
83.88973202866934,0
87.62644038605934,1
87.66644038605935,0
88.09016210617035,1
88.13016210617036,0
91.86794259258107,1
91.90794259258108,0
94.17604544842915,1
94.21604544842916,0
96.38945581748759,1
96.4294558174876,0
96.67336176688846,1
96.71336176688847,0
103.70462726392478,1
103.74462726392478,0
106.79120185360752,1
106.83120185360752,0
108.03929941014148,1
108.07929941014149,0
110.53360954587406,1
110.57360954587406,0
116.66642102735425,1
116.70642102735425,0
118.03408371513541,1
118.07408371513542,0
119.81810825986284,1
119.85810825986285,0
121.81422334275292,1
121.85422334275293,0
127.2357008229611,1
127.27570082296111,0
129.4177184157201,1
129.45771841572008,0
130.27565522374616,1
130.31565522374615,0
131.09034180038566,1
131.13034180038565,0
133.6637927345164,1
