Point in Time[s],State of Active Resource[]
491.7558867104857,1
494.667083203336,2
494.7558867104857,2
494.8446902176354,1
496.7558867104857,0
496.97524768017877,1
499.97524768017877,0
503.4058437591937,1
504.4058437591937,0
522.5177384802324,1
525.5177384802324,0
526.9389379633927,1
528.9389379633927,0
545.2471660690504,1
548.2471660690504,0
549.6444613454786,1
550.6444613454786,0
556.4910438956822,1
557.4910438956822,0
575.3501099525009,1
577.1714036358326,2
578.3501099525009,2
579.5288162691693,1
580.3501099525009,0
